ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1720735,,kniender Ritter neben dem Nimbus eines sitzenden Buddha.,,AKuArchiv,,Malerei,1906 - 1907
1720799,,Wandmalerei: kniender Ritter,,AKuArchiv,,Allgemein,
1723718,,,,AKuArchiv,,Allgemein,
1723737,,Wandmalerei: Unterteil eines stehenden Buddha in Mandorla mit kleinem Mönch mit Weihrauchgefäß (rechts) und (zu einer ehemals links befindlichen) Figur abwendenen uigurischen Adorantin (links),,AKuArchiv,,Fotografie,1905
1723743,,Wandmalerei: Unterteil eines stehenden Buddha in Mandorla mit kleinem Mönch mit Weihrauchgefäß (rechts) und (zu einer ehemals links befindlichen) Figur abwendenen uigurischen Adorantin (links),,AKuArchiv,,Fotografie,1905
1850367,,Karte von Xinjiang und angrenzender Gebirge und Landschaften,,AKuArchiv,,Fotografie,
1850402,,Karte von Xinjiang und angrenzender Gebirge und Landschaften,,AKuArchiv,,Fotografie,
1850708,,russicher Offizier,"Grünwedel, Albert",AKuArchiv,"Foto, Fotografie",Fotografie,
1850787,,Repro einer Fotografie von Sengim Tempel 9,Unbekannt,AKuArchiv,"Foto, Fotografie",Fotografie,
1866006,,Gebäude,,AKuArchiv,Glasplattennegativ,Fotografie,1902-1914
1866709,,Gruppenfoto,,AKuArchiv,Glasplattennegativ,Fotografie,1902-1914
1881325,,Ruinenfeld,,AKuArchiv,Glasplattennegativ,Fotografie,1902-1914
1885725,,Handschrift,,AKuArchiv,,Fotografie,1906 - 1914
1882154,A 108,Wandmalerei,,AKuArchiv,,Fotografie,1906 - 1914
1881041,A 110,in situ,,AKuArchiv,"Glasplatte/ Fotografie, Glasplatte",Fotografie,1904 - 1914
1880308,A 120,Zeichnung,,AKuArchiv,,Allgemein,1903 - 1914
1882159,A 121,Zeichnung,,AKuArchiv,,Fotografie,1906 - 1914
1880309,A 122,Zeichnung,,AKuArchiv,,Allgemein,1906 - 1914
1880311,A 123,Zeichnung,,AKuArchiv,,Allgemein,1906 - 1914
1880312,A 124,Zeichnung,,AKuArchiv,,Allgemein,1903 - 1914
1880313,A 125,Zeichnung,,AKuArchiv,,Allgemein,1906 - 1914
1880314,A 126,Zeichnung,,AKuArchiv,,Allgemein,1903 - 1914
1880316,A 127,Zeichnung,,AKuArchiv,,Allgemein,1902 - 1914
1880317,A 128,Zeichnung,,AKuArchiv,,Allgemein,1906 - 1914
1880318,A 129,Zeichnung,,AKuArchiv,,Allgemein,
1881923,A 130,Zeichnung,,AKuArchiv,,Fotografie,1902-1914
1882602,A 131,Zeichnung,,AKuArchiv,,Allgemein,1906 - 1914
1880320,A 132,Zeichnung,,AKuArchiv,,Allgemein,1903 - 1907
1881025,A 133,Zeichnung-Karte,,AKuArchiv,,Fotografie,1904 - 1914
1881026,A 134,Karte,,AKuArchiv,,Fotografie,1904 - 1914
1880321,A 135,Zeichnung,,AKuArchiv,,Allgemein,1906 - 1914
1880324,A 136,Zeichnung,,AKuArchiv,,Allgemein,1906 - 1914
1880325,A 137,Zeichnung,,AKuArchiv,,Allgemein,1906 - 1914
1882201,A 138,Zeichnung,,AKuArchiv,,Fotografie,1906 - 1914
1882202,A 142,Zeichnung,,AKuArchiv,,Fotografie,1906 - 1914
1881924,A 145,Zeichnung,,AKuArchiv,,Fotografie,1902-1914
1881925,A 147,Zeichnung,,AKuArchiv,,Fotografie,1902-1914
1881927,A 148,Zeichnung,,AKuArchiv,,Fotografie,1902-1914
1882204,A 149, ,,AKuArchiv,,Fotografie,1906 - 1914
1881928,A 150,,,AKuArchiv,,Fotografie,1902-1914
1881930,A 151,Zeichnung,,AKuArchiv,,Fotografie,1902-1914
1881931,A 152,Relief,,AKuArchiv,,Fotografie,1902-1914
1881932,A 153,,,AKuArchiv,,Fotografie,1902-1925
1881009,A 154,,,AKuArchiv,,Fotografie,1904 - 1914
1882160,A 155,Wandmalerei,,AKuArchiv,,Fotografie,1906 - 1914
1881933,A 156,Zeichnung,,AKuArchiv,,Fotografie,1902-1914
1881935,A 157,,,AKuArchiv,,Fotografie,1902-1925
1881937,A 158,Relief,,AKuArchiv,,Fotografie,1902-1914
1881938,A 159,Relief,,AKuArchiv,,Fotografie,1902-1925
1882205,A 160, ,,AKuArchiv,,Fotografie,1906 - 1925
1882206,A 161, ,,AKuArchiv,,Fotografie,1906 - 1925
1882207,A 162, ,,AKuArchiv,,Fotografie,1906 - 1925
1881940,A 163,Zeichnung,,AKuArchiv,,Fotografie,1902-1925
1881942,A 164,,,AKuArchiv,,Fotografie,1902-1914
1881943,A 165,,,AKuArchiv,,Fotografie,1902-1925
1882210,A 166, ,,AKuArchiv,,Fotografie,1906 - 1925
1880460,A 167,Relief,,AKuArchiv,,Allgemein,1905 - 1914
1882211,A 168,Relief,,AKuArchiv,,Fotografie,1906 - 1925
1882213,A 169, ,,AKuArchiv,,Fotografie,1906 - 1925
1882214,A 170, ,,AKuArchiv,,Fotografie,1906 - 1925
1881944,A 171,,,AKuArchiv,,Fotografie,1902-1925
1882215,A 172, ,,AKuArchiv,,Fotografie,1906 - 1925
1881948,A 173,,,AKuArchiv,,Fotografie,1902-1925
1882216,A 174, ,,AKuArchiv,,Fotografie,1906 - 1925
1882217,A 175, ,,AKuArchiv,,Fotografie,1906 - 1925
1882220,A 176, ,,AKuArchiv,,Fotografie,1906 - 1925
1881949,A 177,,,AKuArchiv,,Fotografie,1902-1914
1881950,A 178,,,AKuArchiv,,Fotografie,1902-1925
1881951,A 179,,,AKuArchiv,,Fotografie,1902-1925
1881042,A 180,,,AKuArchiv,,Fotografie,1904 - 1925
1881952,A 181,,,AKuArchiv,,Fotografie,1902-1925
1850365,A 182,Karte von Xinjiang und angrenzender Gebirge und Landschaften,,AKuArchiv,,Fotografie,
1882221,A 182,Karte,,AKuArchiv,,Fotografie,
1881954,A 183,,,AKuArchiv,,Fotografie,1902-1914
1881955,A 184,,,AKuArchiv,,Fotografie,1902-1925
1881956,A 185,,,AKuArchiv,,Fotografie,1902-1925
1882223,A 186, ,,AKuArchiv,,Fotografie,1906 - 1925
1882225,A 187, ,,AKuArchiv,,Fotografie,1906 - 1925
1882227,A 188, ,,AKuArchiv,,Fotografie,1906 - 1925
1881957,A 189,,,AKuArchiv,,Fotografie,1902-1925
1882228,A 190, ,,AKuArchiv,,Fotografie,1906 - 1925
1882230,A 191, ,,AKuArchiv,,Fotografie,1906 - 1925
1882231,A 192, ,,AKuArchiv,,Fotografie,1906 - 1925
1881959,A 193,,,AKuArchiv,,Fotografie,1902-1925
1882233,A 194, ,,AKuArchiv,,Fotografie,1906 - 1925
1881044,A 195,,,AKuArchiv,,Fotografie,1904 - 1925
1881960,A 196,,,AKuArchiv,,Fotografie,1902-1925
1882236,A 197, ,,AKuArchiv,,Fotografie,1906 - 1925
1882238,A 197a, ,,AKuArchiv,,Fotografie,1906 - 1925
1881962,A 198,,,AKuArchiv,,Fotografie,1902-1925
1881963,A 199,,,AKuArchiv,,Fotografie,1902-1925
1881378,A 204,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881379,A 205,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881380,A 206,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881382,A 206a,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881383,A 207,Handschrift,,AKuArchiv,,Fotografie,1902-03
1881384,A 207a,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881387,A 208,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881389,A 209,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881391,A 210,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881392,A 211,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881393,A 212,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881394,A 213,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881395,A 214,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881403,A 215,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1885688,A 216,Inschrift,,AKuArchiv,,Fotografie,1902-1914
1881406,A 217,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881408,A 218,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881409,A 219,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881410,A 220,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881412,A 221,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881415,A 222,Handschrift,,AKuArchiv,,Fotografie,1904 - 1906
1881425,A 223,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881427,A 224,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881428,A 225,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881429,A 226,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881430,A 227,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881431,A 228,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881433,A 229,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881435,A 230,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881436,A 231,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881437,A 232,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881439,A 233,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1881440,A 234,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1882137,A 234x,,,AKuArchiv,,Fotografie,1902-1914
1881441,A 235,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1882142,A 236x,,,AKuArchiv,,Fotografie,1902-1914
1881917,A 25,,,AKuArchiv,,Fotografie,1902-1925
1881010,A 258,Portrait,,AKuArchiv,,Fotografie,1904 - 1914
1881045,A 259a,Bauten,,AKuArchiv,,Fotografie,1904 - 1914
1880326,A 261,Zeichnung,,AKuArchiv,Glasplattennegativ,Allgemein,1903 - 1907
1880330,A 263,Zeichnung,,AKuArchiv,,Allgemein,1902 - 1903
1881012,A 264,Portrait Albert von Le Coq,,AKuArchiv,,Fotografie,1904 - 1914
1881047,A 265,,,AKuArchiv,,Fotografie,1904 - 1914
1881048,A 266,,,AKuArchiv,,Fotografie,1904 - 1914
1881049,A 267,,,AKuArchiv,,Fotografie,1904 - 1914
1881050,A 268,,,AKuArchiv,,Fotografie,1904 - 1914
1885690,A 270,,,AKuArchiv,,Fotografie,1902-1914
1881443,A 271,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1885726,A 273,Handschrift,,AKuArchiv,,Fotografie,1902-1914
1882239,A 276, ,,AKuArchiv,,Fotografie,1906 - 1914
1880463,A 277,,,AKuArchiv,,Allgemein,
1880431,A 280,Wandmalerei,,AKuArchiv,,Allgemein,1906 - 1914
1880063,A 290,,,AKuArchiv,,Allgemein,1906 - 1914
1880999,A 291,,,AKuArchiv,,Fotografie,1906 - 1914
1880060,A 292,Stadtansicht,,AKuArchiv,,Allgemein,1906 - 1914
1881002,A 293,,,AKuArchiv,,Fotografie,1902- 1907
1880061,A 294,Der Bauer Saut auf seinem Hof,,AKuArchiv,,Allgemein,1906 - 1907
1880067,A 295,Arabas in Hof eines Rasthauses,,AKuArchiv,,Allgemein,1906 - 1914
1881027,A 296,,,AKuArchiv,,Fotografie,1904 - 1914
1880064,A 297,Arbeiter vor Rasthaus,,AKuArchiv,,Allgemein,1906 - 1914
1881007,A 298,Bartus mit Arbeitern in Kucha,,AKuArchiv,,Fotografie,1904 - 1914
1882143,A 302,,,AKuArchiv,,Fotografie,1957-1968
1881028,A 303,Zeichnung: Karte,,AKuArchiv,,Fotografie,1904 - 1914
