ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2574096,00001,Klischees (Druckplatten),,AKuArchivSSOZ,Metall,Allgemein,
2574097,00002,Druckplatte (Walsschmidt u. Frau?),,AKuArchivSSOZ,Metall,Allgemein,
2574098,00003,Holzdruckplatte (Asien),,AKuArchivSSOZ,Holz,Allgemein,
2574102,00004,Gedruckter Text mit Karte (Verbreitung des Buddismus),,AKuArchivSSOZ,,Allgemein,
2574106,00006,Gelb Kartei,,AKuArchivSSOZ,,Allgemein,
2574177,00007,1 Hölzerne Zigarrenkiste (glasplatten und Abzüge),,AKuArchivSSOZ,Glas,Allgemein,
2574187,00008,Abzüge einer Liste von Diapositiven,,AKuArchivSSOZ,Pappier,Allgemein,
2574188,00009,1 Blatt (Pappier) Sendeplan und Liste von Dias,,AKuArchivSSOZ,,Allgemein,
2574190,00010a,1 Karton Abzüge auf Pappe,,AKuArchivSSOZ,,Fotografie,
2574193,00010b,1 schwarzer Karton (Glasplatten),,AKuArchivSSOZ,,Fotografie,
2574196,00010c,1 schwarzer Karton (Ektas),,AKuArchivSSOZ,,Fotografie,
2574207,00010d,1 grüner Karton ohne Deckel (Glasplatten),,AKuArchivSSOZ,Glas,Fotografie,
2574212,00010e,1 Blechkiste (Postkarten),,AKuArchivSSOZ,,Allgemein,
2574213,00010f,1 Plastikbeutel (Abzüge) Nachlaß Cohn-Wiener,,AKuArchivSSOZ,,Fotografie,
2574214,00010g,1 Plastikbeutel (Abzüge) Nachlaß Neuermann,,AKuArchivSSOZ,,Fotografie,
2574224,00011,1 Gelber Karton (Glasplatten kaputt),,AKuArchivSSOZ,Glas,Allgemein,
2574234,00012,1 flacher Schwarzer Karton (Glasplatten) Gescant,,AKuArchivSSOZ,Glas,Fotografie,
2574236,00013,1 flacher Roter Karton (Glasplatten) Gescant,,AKuArchivSSOZ,Glas,Fotografie,
2574237,00014,1 flacher roter Karton (Glasplatten) Südindien,,AKuArchivSSOZ,Glas,Fotografie,
2574238,00015,1 Rote Mappe (Fotos) Das Buddistische Indien Tafel 1-48,,AKuArchivSSOZ,,Fotografie,
2574241,00016,1 Rote Mappe (Fotos) Das Buddistische Indien Tafel 49-98,,AKuArchivSSOZ,,Fotografie,
2574355,00017,1 Rote Mappe (Fotos) Das Buddistische Indien Tafel 99-150,,AKuArchivSSOZ,,Fotografie,
2574357,00018,1 Rote Mappe (Fotos) Das Buddistische Indien Tafel 99-150,,AKuArchivSSOZ,,Fotografie,
2574359,00019,1 Rote Mappe (Fotos) Das Islamische Indien,,AKuArchivSSOZ,,Fotografie,
2574383,00020,Karte (Abzug) Vrindavan Mathura Indien,,AKuArchivSSOZ,Pappier,Allgemein,
2574384,00021,1 Mappe (Abzüge) Malerei in Turkestan gr. 74a,,AKuArchivSSOZ,,Allgemein,
2574387,00022,1 Paket (Abzüge) Poster Moderner Indischer Kunst 1890-1994,,AKuArchivSSOZ,,Allgemein,
2574403,00023,1 flacher Pappkarton (Abzüge),,AKuArchivSSOZ,,Allgemein,
2574407,00024,"1 brauer Flacher Karton (Drucke) Indien, modern",,AKuArchivSSOZ,,Allgemein,
2574410,00025,I flacher weißer Karton Dokumentation Ausstellung (bis 1998),,AKuArchivSSOZ,,Allgemein,
2574412,00026,1 Paket (abzüge) Sandmandala,,AKuArchivSSOZ,,Allgemein,
2574447,00027,1 flacher brauner Karton (Zeichnungen),,AKuArchivSSOZ,Pappe,Allgemein,
2574463,00028,1 schwarze Mappe (Zeichnungen),,AKuArchivSSOZ,Pappe,Allgemein,
2574471,00029,1 Plastikfolie (Zeichnungen),,AKuArchivSSOZ,Papier,Allgemein,
2574478,00030,1 Plastikfolie (Zeichnungen),,AKuArchivSSOZ,Papier,Allgemein,
2574551,00031,1 flacher schwarzer Karton (Zeichnungen),,AKuArchivSSOZ,Papier,Allgemein,
2574562,00032,1 flacher roter Karton (Zeichnungen),,AKuArchivSSOZ,Papier,Allgemein,
2574571,00033,1 flacher roter Karton (landkarten),,AKuArchivSSOZ,"Papier, Glas",Allgemein,
2574575,00034,1 flacher roter Karton (Zeichnungen),,AKuArchivSSOZ,Papier,Allgemein,
2574577,00035,"1 stapel Loser Blätter, Plan zur Austellung Indischer Götterbilder, 1974",,AKuArchivSSOZ,Papier,Allgemein,
2574610,00036,1 Stapel Grundrisse und Karten Angkor Vat und Angkor Thom,,AKuArchivSSOZ,,Allgemein,
2574645,00037,1 Stapel Zeichnungen,,AKuArchivSSOZ,,Allgemein,
2574711,00038,1 Stapel Karten (Abzüge) Indien und Regionen Indiens,,AKuArchivSSOZ,,Allgemein,
2574844,00039,1 Stapel Karten (Abzüge) Sri Lanka,,AKuArchivSSOZ,,Allgemein,
2574845,00040,1 Stapel Karten (Abzüge) Nepal,,AKuArchivSSOZ,,Allgemein,
2574846,00041,1 Stapel Karten (Abzüge) Afghanistan,,AKuArchivSSOZ,,Allgemein,
2574847,00042,1 Stapel Karten (Abzüge) Südostasien,,AKuArchivSSOZ,,Allgemein,
2574848,00043,1 Stapel Karten (Abzüge) Pakistan,,AKuArchivSSOZ,,Allgemein,
2574849,00044,1 stapel (Abzüge) Dieverse Karten,,AKuArchivSSOZ,,Allgemein,
2574851,00045,1 stapel (Abzüge) Zeichnungen aus Turfan,,AKuArchivSSOZ,,Allgemein,
2574853,00046,1 Folie mit Karten,,AKuArchivSSOZ,,Allgemein,
2574854,00047,11 Karten (Ektas),,AKuArchivSSOZ,,Allgemein,
2574855,00048,1 Folie Zeichnungen,,AKuArchivSSOZ,,Allgemein,
2574856,00049,1 Stapel Karten und Grundrisse,,AKuArchivSSOZ,,Allgemein,
2574857,00050,1 Folie (Abzüge) Zeichnungen Brerschneiders Achilles Dias,,AKuArchivSSOZ,,Allgemein,
2574858,00051,1 Umschlag (Abzüge),,AKuArchivSSOZ,,Allgemein,
2574860,00052,Zeichnung eines Ornaments,,AKuArchivSSOZ,,Allgemein,
