ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
464595,,Im Garten,,AKuSudSudostundZentralasien,"Miniatur, Miniatur",Allgemein,18. Jh
464595,,Im Garten,,AKuSudSudostundZentralasien,"Miniatur, Miniatur",Allgemein,18. Jh
1652541,,Stehende Parvati,Parvati,AKuSudSudostundZentralasien,"Plastik / Bronze, Bronze, Plastik",Allgemein,15./16. Jh.
1855589,,Ruinenfeld,"Grünwedel, Albert",AKuSudSudostundZentralasien,"Andruck einer Federzeichnung, leichter Karton",Allgemein,1902 - 1903
1855691,,Grundriss,"Grünwedel, Albert",AKuSudSudostundZentralasien,"Andruck einer Federzeichnung, leichter Karton",Allgemein,1902 - 1903
1858702,,Ruine,"Grünwedel, Albert",AKuSudSudostundZentralasien,"Andruck einer Federzeichnung, leichter Karton",Allgemein,1902 - 1903
1903210,,Kopie  eines Wandgemäldes,"Grünwedel, Albert",AKuSudSudostundZentralasien,"Zeichnung, Papier/Pergamin, bemalt",Allgemein,1902 - 1903
1903406,,Fragment eines Seidenbildes,,AKuSudSudostundZentralasien,,Allgemein,
1920537,,Buddha Skulpturfragment,,AKuSudSudostundZentralasien,"Lehm, Lehm",Allgemein,6./7. Jahrhundert
1936568,,Detail vom Ost-Tor des Sanchi-Stupa I,,AKuSudSudostundZentralasien,"Gipsabguss, Gips",Allgemein,1. Jahrhundert
1936656,,diverse Notizen und Zeichnungen,,AKuSudSudostundZentralasien,"Bleistift, Tinte,, Zeichenpapier",Allgemein,1902 - 1903
1936920,,diverse Notizen und Zeichnungen,,AKuSudSudostundZentralasien,"Bleistift, Tinte,, Zeichenpapier",Allgemein,1902 - 1903
1937519,,"Balkenkopf, Detail vom Ost-Tor des Sanchi-Stupa I",,AKuSudSudostundZentralasien,"Gipsabguss, Gips",Allgemein,1. Jahrhundert
1941136,,Sockel einer Figur,,AKuSudSudostundZentralasien,"Holz, geschnitzt und bemalt",Allgemein,
1958197,,Teller(bati),,AKuSudSudostundZentralasien,Ton/Keramik/Porzellan,Allgemein,19. Jahrhundert
1964228,,,,AKuSudSudostundZentralasien,,Allgemein,
2010221,,"Buddhas"";"" Kuppel aus der Höhle der Ringtragenden Tauben",,AKuSudSudostundZentralasien,"Farben auf Lehm, Lehm, Farben",Allgemein,550
2011872,,Haarkämme,,AKuSudSudostundZentralasien,"Holz, zerbrochen",Allgemein,
2296450,,,,AKuSudSudostundZentralasien,,Allgemein,
2297656,,Pali,,AKuSudSudostundZentralasien,,Allgemein,
2299141,,,,AKuSudSudostundZentralasien,Terrakotta,Allgemein,
2299917,,,,AKuSudSudostundZentralasien,,Allgemein,
2299919,,,,AKuSudSudostundZentralasien,,Allgemein,
2300570,,"Telinga-Mädchen (Madras), 6 Jahre",Anthropologische Gesellschaft -> (s.u. Berliner Gesellschaft für Anthropologie),AKuSudSudostundZentralasien,"Stereoskopie, Albuminpapier auf Karton aufgezogen, Albuminpapierabzug, auf Karton, Albuminpapier, Karton, Stereoskopie",Fotografie,1857 - 1861
2307163,,Telinga-Kinder (Madras),"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",AKuSudSudostundZentralasien,"Stereoskopie, Albuminpapier auf Karton aufgezogen, Albuminpapierabzug, auf Karton, Albuminpapier, Karton, Stereoskopie",Fotografie,1857 - 1861
2313686,,Telinga-Frau (Madras) Kinderfrau,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",AKuSudSudostundZentralasien,"Stereoskopie, Albuminpapier auf Karton aufgezogen, Albuminpapierabzug, auf Karton, Albuminpapier, Karton, Stereoskopie",Fotografie,1857 - 1861
2313702,,Birmanen-Frauen,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",AKuSudSudostundZentralasien,"Stereoskopie, Albuminpapier auf Karton aufgezogen, Albuminpapierabzug, auf Karton, Albuminpapier, Karton, Stereoskopie",Fotografie,1857 - 1861
2313994,,Mischling (Telinga-Vater und Malayin),"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",AKuSudSudostundZentralasien,"Stereoskopie, Albuminpapier auf Karton aufgezogen, Albuminpapierabzug, auf Karton, Albuminpapier, Karton, Stereoskopie",Fotografie,1857 - 1861
