ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2439684,Archival./Akte/001,Weidenbach: Umzeichnung eines Blattes vom Papyrus Westcar,,AMPArchivalien,,Allgemein,
2439638,Archival./Buch/144,"Richard Parkinson: The Tale of Sinuhe. Oxford World's Classic, 2. Aufl. (2009)",,AMPArchivalien,Papier,Allgemein - ÄMP,2009
2439639,Archival./Buch/145,"Naguib Machfus: Cheops. (2. Aufl., Zürich 2007)",,AMPArchivalien,Papier,Allgemein - ÄMP,2007
2439643,Archival./Buch/146,"Stephanie Daily: Myths from Mesopotamia. Creation, The Flood, Gilgamesh and others. Oxford World's Classics (3. Aufl., New York, 2008)",,AMPArchivalien,Papier (Material),Allgemein - ÄMP,2008
2439649,Archival./Buch/147,"Deborah Manley: Women Travellers on the Nile. An Anthology pf Travel Writing Through the Centuries. (3. Aufl., New York, 2008)",,AMPArchivalien,Papier (Material),Allgemein - ÄMP,2016
2439652,Archival./Buch/148,"Ibn-Battuta: Die Wunder des Morgenlandes. Reise durch Afrika und Asien. Nach der arab. Ausgabe von Mohammed al-Bailuni ins Deutsche übertragen, kommentiert und mit einem Nachwort versehen von Ralf Elger",,AMPArchivalien,Papier (Material),Allgemein - ÄMP,2010
2439654,Archival./Buch/149,"Horst Künnemann/Mario Grasso: Die schönsten Märchen aus Tausendundeiner Nacht. (1. Aufl, Berlin, 2014)",,AMPArchivalien,Papier (Material),Allgemein - ÄMP,2014
2439656,Archival./Buch/150,Karl Richter in Zusammenarbeit mit Katharina Mommsen und Peter Ludwig: West-östlicher Diwan,,AMPArchivalien,Papier (Material),Allgemein - ÄMP,2006
2439658,Archival./Buch/151,J. W. Goethe: Faust 2,,AMPArchivalien,Ledereinband,Allgemein - ÄMP,
2439660,Archival./Buch/152,J. W. Goethe: Faust 1,,AMPArchivalien,Ledereinband,Allgemein - ÄMP,
2439659,Archival./Buch/153,Mutanabbi,,AMPArchivalien,Papier,Allgemein - ÄMP,
2439661,Archival./Buch/154,"Aesop, wiedererzählt von Hans Gärtner und illustriert von Lisbeth Zwerger. (Zürich, 2007)",,AMPArchivalien,Papier,Allgemein - ÄMP,
2439664,Archival./Buch/155,"Der Stricker. Erzählungen, Fabeln und Reden. Herausgegeben, übersetzt und kommentiert von Otfried Ehrismann (Stuttgart, 2011)",,AMPArchivalien,Papier (Material),Allgemein - ÄMP,2011
2439668,Archival./Buch/156,Layla wa al-Dhib,,AMPArchivalien,Papier (Material),Allgemein - ÄMP,
2439665,Archival./Buch/157,Layla wa al-Dhib mit Handy,,AMPArchivalien,Papier (Material),Allgemein - ÄMP,
2439669,Archival./Buch/158,"Dornröschen, Pop-up Buch",,AMPArchivalien,Papier (Material),Allgemein - ÄMP,
2439670,Archival./Buch/159,Dornröschen auf arabisch,,AMPArchivalien,Papier (Material),Allgemein - ÄMP,
2439671,Archival./Buch/160,"Mittelhochdeutsche und Neuhochdeutsche Fassung des Nibelungenliedes"";"" übersetzt und kommentiert von Siegfried Grosse (Stuttgart, 2016)",,AMPArchivalien,Papier (Material),Allgemein - ÄMP,
2605266,Archival./Buch/161,"Modernes arabisches Buch mit der Liebesgeschichte  ‘Antar und ‘Abla [‘Antar wa ‘Abla],  basierend auf dem originalen arabischen Epos",,AMPArchivalien,"Papier (Material), Papier",Allgemein - ÄMP,
2439672,Archival./Buch/162,Juha,,AMPArchivalien,Papier (Material),Allgemein - ÄMP,
2439677,Archival./Buch/163,"Erich Kästner: Till Eulenspiegel"";"" mit Illustrationen von Walter Trier   (6. Aufl., Hamburg und Trier, 2017)",,AMPArchivalien,Papier (Material),Allgemein - ÄMP,2017
2439678,Archival./Buch/164,"Patty Paine/Jesse Ulmer und Michael Hersrud: The Donkey Lady (2. Aufl., London, 2016)",,AMPArchivalien,Papier (Material),Allgemein - ÄMP,2016
2439680,Archival./Buch/165,Arabisches Cinderella (Disney),,AMPArchivalien,Papier (Material),Allgemein - ÄMP,
1609312,Archival.-Denkm./Abt. 5/Blatt 58,"Blatt aus: C. R. Lepsius, Denkmaeler aus Aegypten und Aethiopien: Abth. V. Blatt 58-Naga Löwentempel-Reliefs",,AMPArchivalien,Papier,Allgemein - ÄMP,1842-1845
1609314,Archival.-Denkm./Abt. 5/Blatt 62,"Blatt aus: C. R. Lepsius, Denkmaeler aus Aegypten und Aethiopien: Abth. 5. Blatt 62- Naga Löwentempel-Reliefs",,AMPArchivalien,Papier,Allgemein - ÄMP,1842-1845
1609315,Archival.-Denkm./Abt. 5/Blatt 67,"Blatt aus: C. R. Lepsius, Denkmaeler aus Aegypten und Aethiopien: Abth. V-Blatt 67- Naga Amuntempel-Reliefs",,AMPArchivalien,Papier,Allgemein - ÄMP,1842-1845
1609326,Archival.-Denkm./Abt. 5/Titelblatt,"Blatt aus: C. R. Lepsius, Denkmaeler aus Aegypten und Aethiopien: Lepsius Denkmäler Abth. V Titelblatt",,AMPArchivalien,Papier,Allgemein - ÄMP,1842-1845
1792139,Archival./Akte/67/43,"Grabungstagebuch 1912/1913, DOG-Grabung in Tell el-Amarna, Seite 43",,AMPArchivalien,Papier,Allgemein - ÄMP,11.12.1912 - 31.3.1913
1545882,Archival./Bild/9,"Richard Lepsius, Ritt auf dem Esel bei Assuan am 29.09.1844",,AMPArchivalien,,Allgemein - ÄMP,1844
1617375,Archival./Bild/10,Entwurf von Passalacqua für den Mythologischen Saal,,AMPArchivalien,,Allgemein - ÄMP,
1705471,Archival./Buch/101,"Steindorff, Georg: Aegypten in Vergangenheit und Gegenwart",,AMPArchivalien,,Allgemein - ÄMP,1916
1705476,Archival./Buch/102,"Steindorff, Georg: Catalogue of the Egyptian Sculpture in the Walters Art Gallery, Baltimore",,AMPArchivalien,,Allgemein - ÄMP,1946
1580746,Archival./Buch/109,"Georg Schweinfurth, Altaegyptische Gerätschaften",,AMPArchivalien,,Allgemein - ÄMP,1914
1580747,Archival./Buch/110,"Georg Schweinfurth, Artes Africanae",,AMPArchivalien,,Allgemein - ÄMP,1875
1580748,Archival./Buch/111,"Georg Schweinfurth, Zur Topographie der Ruinenstätten des alten Schet (Krokodilopolis - Arsinoe)",,AMPArchivalien,,Allgemein - ÄMP,1887
