ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1890990,G 12/02,Kopf einer Statue des Chephren,,AMPGipsabgusse,"Gips (Material), Gips, Granit",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1890990,G 12/02,Kopf einer Statue des Chephren,,AMPGipsabgusse,"Gips (Material), Gips, Granit",Allgemein - ÄMP,Chephren (Chaefre)
1660469,G 13,Stele,,AMPGipsabgusse,"Gips (Material), Gips, Kupfer",Allgemein - ÄMP,19. Jh.(1. Hälfte des)
1660475,G 15,Oberteil der Statue eines Mannes mit kurzer Perücke,,AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,19. Jh.(1. Hälfte des)
1660475,G 15,Oberteil der Statue eines Mannes mit kurzer Perücke,,AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,Altes Reich
1660478,G 16,Oberteil der Statue einer Frau mit großer Perücke,,AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,19. Jh.(1. Hälfte des)
1660478,G 16,Oberteil der Statue einer Frau mit großer Perücke,,AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,Altes Reich
1660479,G 18,Statuette eines Schreibers (?),,AMPGipsabgusse,"Gips (Material), Gips",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1660479,G 18,Statuette eines Schreibers (?),,AMPGipsabgusse,"Gips (Material), Gips",Allgemein - ÄMP,Sesostris I.
1660480,G 30,Statue Amenophis IV.,,AMPGipsabgusse,"Gips (Material), Gips, Alabaster",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1660480,G 30,Statue Amenophis IV.,,AMPGipsabgusse,"Gips (Material), Gips, Alabaster",Allgemein - ÄMP,Amenophis (Amenhotep) IV. / Echnaton.(2. Hälfte des)
1660481,G 35,"Verkleinerte Nachbildung einer Statue der Tia, Gemahlin Sethos I.",,AMPGipsabgusse,"Gips (Material), Gips, Granit",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1660481,G 35,"Verkleinerte Nachbildung einer Statue der Tia, Gemahlin Sethos I.",,AMPGipsabgusse,"Gips (Material), Gips, Granit",Allgemein - ÄMP,Sethos I.
1660482,G 46,Sitzstatue der Göttin Isis,,AMPGipsabgusse,"Gips (Material), Gips",Allgemein - ÄMP,19. Jh.
1891159,G 53/ 02,Oberteil einer Statue des Amunherchepeschef,,AMPGipsabgusse,"Gips (Material), Gips, Granit",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1891159,G 53/ 02,Oberteil einer Statue des Amunherchepeschef,,AMPGipsabgusse,"Gips (Material), Gips, Granit",Allgemein - ÄMP,Ramses II.
1886898,G 55,Oberteil einer Statuette einer Königin,,AMPGipsabgusse,"Gips (Material), Gips",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1886905,G 57,"Oberteil einer Statuette der Nefertari, Gemahlin Ramses II.",,AMPGipsabgusse,"Gips (Material), Gips, Granit",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1886905,G 57,"Oberteil einer Statuette der Nefertari, Gemahlin Ramses II.",,AMPGipsabgusse,"Gips (Material), Gips, Granit",Allgemein - ÄMP,Ramses II.
1886909,G 59,"Statuette des Chaemwaset, Sohn Ramses II.",,AMPGipsabgusse,"Gips (Material), Gips",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1886909,G 59,"Statuette des Chaemwaset, Sohn Ramses II.",,AMPGipsabgusse,"Gips (Material), Gips",Allgemein - ÄMP,Ramses II.
1886910,G 61,Oberteil einer Statuette der Ahmes-Nefertari,,AMPGipsabgusse,"Gips (Material), Gips, Holz",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1886910,G 61,Oberteil einer Statuette der Ahmes-Nefertari,,AMPGipsabgusse,"Gips (Material), Gips, Holz",Allgemein - ÄMP,Neues Reich
1886912,G 65,Modellkopf eines Königs,,AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1886913,G 67,Modellkopf eines Königs,,AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1886915,G 71,Modellkopf eines Königs,,AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1886916,G 73,Elle,"Lepsius, Karl Richard",AMPGipsabgusse,"Gips (Material), Gips, Granit",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1886917,G 74,Elle,"Lepsius, Karl Richard",AMPGipsabgusse,"Gips (Material), Gips, Bronze",Allgemein - ÄMP,19. Jh.(2. Hälfte des)
1886918,G 87,Relief aus der Kultkammer des Metjen,"Lepsius, Karl Richard",AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,19. Jh.(1. Hälfte des)
1886918,G 87,Relief aus der Kultkammer des Metjen,"Lepsius, Karl Richard",AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,4. Dynastie
1886919,G 92,Relief aus der Kultkammer des Metjen,,AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,19. Jh.
1886919,G 92,Relief aus der Kultkammer des Metjen,,AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,4. Dynastie
1938368,G 97,Stele des Jpy,"Lepsius, Karl Richard",AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,19. Jh.(1. Hälfte des)
1938368,G 97,Stele des Jpy,"Lepsius, Karl Richard",AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,Amenophis (Amenhotep) I.
1938367,G 97/02,Stele des Jpy,"Lepsius, Karl Richard",AMPGipsabgusse,"Gips (Material), Gips, Kalkstein",Allgemein - ÄMP,19. Jh.(1. Hälfte des)
