ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
722929,,,,ANTARGEPfanner,Gips,Allgemein,
722938,,,,ANTARGEPfanner,,Allgemein,
722970,,,,ANTARGEPfanner,Marmor,Allgemein,
723022,,,,ANTARGEPfanner,Marmor,Allgemein,
723023,,Verlag.nr. doppelt vergeben -> hier keine weiteren Einträge: s. AvP VII 61,,ANTARGEPfanner,Marmor,Allgemein,
723025,,,,ANTARGEPfanner,Marmor,Allgemein,
723026,,,,ANTARGEPfanner,,Allgemein,
723027,,,,ANTARGEPfanner,Marmor,Allgemein,
723028,,,,ANTARGEPfanner,Marmor,Allgemein,
723029,,,,ANTARGEPfanner,Marmor,Allgemein,
723030,,,,ANTARGEPfanner,Marmor,Allgemein,
723031,,,,ANTARGEPfanner,Marmor,Allgemein,
723032,,,,ANTARGEPfanner,Marmor,Allgemein,
723033,,,,ANTARGEPfanner,,Allgemein,
723034,,,,ANTARGEPfanner,Marmor,Allgemein,
723035,,,,ANTARGEPfanner,Marmor,Allgemein,
723036,,,,ANTARGEPfanner,Marmor,Allgemein,
723045,,,,ANTARGEPfanner,,Allgemein,
723046,,,,ANTARGEPfanner,Marmor,Allgemein,
723047,,,,ANTARGEPfanner,Marmor,Skulptur,
723050,,,,ANTARGEPfanner,Marmor,Skulptur,
723074,,,,ANTARGEPfanner,Marmor,Allgemein,
723076,,,,ANTARGEPfanner,Marmor,Allgemein,
723077,,,,ANTARGEPfanner,Marmor,Allgemein,
723078,,,,ANTARGEPfanner,Marmor,Allgemein,
723079,,,,ANTARGEPfanner,Marmor,Skulptur,
723080,,,,ANTARGEPfanner,Marmor,Allgemein,
723111,,,,ANTARGEPfanner,Marmor,Allgemein,
723151,,,,ANTARGEPfanner,Marmor,Allgemein,
723154,,,,ANTARGEPfanner,Marmor,Skulptur,
723155,,,,ANTARGEPfanner,Marmor,Allgemein,
723156,,,,ANTARGEPfanner,Marmor,Allgemein,
723157,,,,ANTARGEPfanner,Marmor,Allgemein,
723159,,,,ANTARGEPfanner,Marmor,Allgemein,
723160,,,,ANTARGEPfanner,Marmor,Skulptur,
723161,, ,,ANTARGEPfanner,Marmor,Skulptur,
723162,,,,ANTARGEPfanner,Marmor,Skulptur,
723164,,,,ANTARGEPfanner,Marmor,Skulptur,
723165,,,,ANTARGEPfanner,Marmor,Allgemein,
723166,,,,ANTARGEPfanner,Marmor,Skulptur,
723175,,,,ANTARGEPfanner,Marmor,Allgemein,
723177,,,,ANTARGEPfanner,Marmor,Skulptur,
723184,,,,ANTARGEPfanner,Alabaster,Allgemein,
723231,,,,ANTARGEPfanner,Kalksandstein,Architektur,
723234,,,,ANTARGEPfanner,Marmor,Allgemein,
723244,,,,ANTARGEPfanner,Marmor,Allgemein,
723245,,,,ANTARGEPfanner,Marmor,Allgemein,
723248,,,,ANTARGEPfanner,Marmor,Allgemein,
723254,,,,ANTARGEPfanner,Marmor,Allgemein,
723255,,,,ANTARGEPfanner,Marmor,Allgemein,
723256,,,,ANTARGEPfanner,Marmor,Allgemein,
723264,,,,ANTARGEPfanner,Marmor,Allgemein,
723265,,,,ANTARGEPfanner,Marmor,Allgemein,
723271,,,,ANTARGEPfanner,Marmor,Allgemein,
723273,,,,ANTARGEPfanner,Marmor,Allgemein,
723274,,,,ANTARGEPfanner,Marmor,Skulptur,
723277,,,,ANTARGEPfanner,Marmor,Allgemein,
723278,,,,ANTARGEPfanner,Marmor,Skulptur,
723279,,,,ANTARGEPfanner,Marmor,Skulptur,
723280,,,,ANTARGEPfanner,Marmor,Skulptur,
723281,,,,ANTARGEPfanner,Marmor,Skulptur,
723282,,,,ANTARGEPfanner,Marmor,Allgemein,
723283,,,,ANTARGEPfanner,Travertin,Allgemein,
723285,,,,ANTARGEPfanner,Marmor,Skulptur,
723286,,,,ANTARGEPfanner,Marmor,Architektur,
723287,,,,ANTARGEPfanner,Marmor,Allgemein,
723288,,,,ANTARGEPfanner,Marmor,Skulptur,
723289,,,,ANTARGEPfanner,Marmor,Allgemein,
723290,,,,ANTARGEPfanner,Marmor,Allgemein,
723291,,,,ANTARGEPfanner,Marmor,Allgemein,
723292,,,,ANTARGEPfanner,Marmor,Allgemein,
723293,,,,ANTARGEPfanner,Marmor,Skulptur,
723294,,,,ANTARGEPfanner,Marmor,Skulptur,
723296,,,,ANTARGEPfanner,Marmor,Skulptur,
723297,,,,ANTARGEPfanner,Marmor,Skulptur,
723298,,,,ANTARGEPfanner,Marmor,Skulptur,
723299,,,,ANTARGEPfanner,Marmor,Allgemein,
723300,,,,ANTARGEPfanner,Marmor,Allgemein,
723301,,,,ANTARGEPfanner,Marmor,Allgemein,
723302,,,,ANTARGEPfanner,Marmor,Allgemein,
723303,,,,ANTARGEPfanner,Marmor,Allgemein,
723304,,,,ANTARGEPfanner,Marmor,Allgemein,
723306,,,,ANTARGEPfanner,Marmor,Allgemein,
723308,,,,ANTARGEPfanner,Marmor,Allgemein,
723309,,,,ANTARGEPfanner,Marmor,Allgemein,
723310,,,,ANTARGEPfanner,Gips,Skulptur,
723311,,,,ANTARGEPfanner,Marmor,Skulptur,
723312,,,,ANTARGEPfanner,Marmor,Allgemein,
723314,,,,ANTARGEPfanner,Marmor,Allgemein,
723315,,,,ANTARGEPfanner,Marmor,Skulptur,
723317,,,,ANTARGEPfanner,Marmor,Allgemein,
723318,,,,ANTARGEPfanner,Marmor,Architektur,
723319,,,,ANTARGEPfanner,Marmor,Allgemein,
723321,,,,ANTARGEPfanner,Marmor,Allgemein,
723322,,,,ANTARGEPfanner,Marmor,Skulptur,
723323,,,,ANTARGEPfanner,Marmor,Allgemein,
723325,,,,ANTARGEPfanner,Marmor,Allgemein,
723326,,,,ANTARGEPfanner,Marmor,Allgemein,
723327,,,,ANTARGEPfanner,Marmor,Allgemein,
723328,,,,ANTARGEPfanner,Marmor,Allgemein,
723330,,,,ANTARGEPfanner,Marmor,Skulptur,
723331,,,,ANTARGEPfanner,Marmor,Allgemein,
723332,,,,ANTARGEPfanner,Marmor,Skulptur,
723356,,,,ANTARGEPfanner,Marmor,Allgemein,
723361,,,,ANTARGEPfanner,Marmor,Architektur,
723363,,,,ANTARGEPfanner,Marmor,Allgemein,
723364,,,,ANTARGEPfanner,Marmor,Architektur,
723365,,,,ANTARGEPfanner,Marmor,Architektur,
723366,,,,ANTARGEPfanner,Marmor,Allgemein,
723370,,,,ANTARGEPfanner,Marmor,Allgemein,
723371,,,,ANTARGEPfanner,Marmor,Allgemein,
723372,,,,ANTARGEPfanner,Marmor,Allgemein,
723375,,,,ANTARGEPfanner,Marmor,Skulptur,
723376,,,,ANTARGEPfanner,Marmor,Skulptur,
723377,,,,ANTARGEPfanner,Marmor,Allgemein,
723379,,,,ANTARGEPfanner,Marmor,Skulptur,
723382,,,,ANTARGEPfanner,Marmor,Skulptur,
723384,,,,ANTARGEPfanner,Marmor,Skulptur,
723385,,,,ANTARGEPfanner,Marmor,Allgemein,
723386,,,,ANTARGEPfanner,Marmor,Skulptur,
723387,,,,ANTARGEPfanner,Kalkstein,Allgemein,
723388,,,,ANTARGEPfanner,Kalkstein,Allgemein,
723389,,,,ANTARGEPfanner,Marmor,Allgemein,
723390,,,,ANTARGEPfanner,Marmor,Allgemein,
723391,,,,ANTARGEPfanner,Marmor,Allgemein,
723392,,,,ANTARGEPfanner,Marmor,Allgemein,
