ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1970481,Kor 50. I,,"Humann, Carl",ANTArchivalienNeu,Papier,Archivalie - Akte,Januar 1884 - April 1886
2008084,"Kor 50. I, 1",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,04.01.1884
2008096,"Kor 50. I, 2",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,04.01.1884
2008108,"Kor 50. I, 3",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,11.01.1884
2008107,"Kor 50. I, 4",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,12.01.1884
2008112,"Kor 50. I, 5",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,19.01.1884
2008113,"Kor 50. I, 6",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,25.01.1884
2008115,"Kor 50. I, 7",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,25.01.1884
2008116,"Kor 50. I, 8",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,02.1884
2008118,"Kor 50. I, 9",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,09.02.1884
2008119,"Kor 50. I, 10",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,09.02.1884
2008121,"Kor 50. I, 11",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,13.02.1884
2008122,"Kor 50. I, 12",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,15.02.1884
2008141,"Kor 50. I, 13",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,23.02.1884
2008143,"Kor 50. I, 14",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,29.02.1884
2008144,"Kor 50. I, 15",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,01.03.1884
2008145,"Kor 50. I, 16",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,01.03.1884
2008146,"Kor 50. I, 17",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,03.03.1884
2008147,"Kor 50. I, 18",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,(?)
2008148,"Kor 50. I, 19",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,11.03.1884
2008149,"Kor 50. I, 20",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,18.03.1884
2008151,"Kor 50. I, 21",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,18.03.1884
2008153,"Kor 50. I, 22",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,25.03.1884
2008154,"Kor 50. I, 23",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,25.03.1884
2008155,"Kor 50. I, 24",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,25.03.1884
2008156,"Kor 50. I, 25",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,31.03.1884
2008157,"Kor 50. I, 26",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,01.04.1884
2008158,"Kor 50. I, 27",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,08.04.1884
2008159,"Kor 50. I, 28",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,17.04.1884
2008160,"Kor 50. I, 29",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,27.04.1884 (?)
2008161,"Kor 50. I, 30",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,04.1884
2008162,"Kor 50. I, 31",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,05.1884
2008163,"Kor 50. I, 32",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,06.05.1884
2008164,"Kor 50. I, 33",,"Humann, Carl",ANTArchivalienNeu,Seidenpapier,Archivalie - Einzelblatt,13.05.1884
