ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
716441,,Fragment einer Urne,,ANTFotografie,,Fotografie,
716442,,Vierkantiges Fragment,,ANTFotografie,,Fotografie,
716443,,Zwei Knabenfiguren,,ANTFotografie,,Fotografie,
716444,,Zwei Knabenfiguren,,ANTFotografie,,Fotografie,
2029956,,,"Humann, Carl",ANTFotografie,,Allgemein,
2223037,,"Fotografie: Misc. 3779, 5 Rankenscyphus 1 ohne Griffe, Hildesheimer Silberfund, strenge Seitenansicht",,ANTFotografie,,Fotografie,
2223272,,"Fotografie: Misc. 3779, 66 sog. Humpen / vasenförmiges Gefäß 1, Hildesheimer Silberfund (Detail: Stier)",,ANTFotografie,Glas,Fotografie,
2223562,,"Fotografie: Reliquienkreuz aus dem Domschatz zu Gammin, Pommern mit vermeintlich antikem Kameo, Rückseite mit Inschrift",,ANTFotografie,,Fotografie,1938
2343614,,"Fotografie / Gruppenaufnahme: 3 Terrakotten (TC 8636, TC 8638 und TC 8637)",,ANTFotografie,Glas,Fotografie,
2223490,Abt 6375,,,ANTFotografie,,Fotografie,1936
2222392,Ant 47,,,ANTFotografie,,Fotografie,
2452008,Ant 132,"Fotografie / Sammelaufnahme: 4 Terrakotten (TC 7602, TC 5009, TC 3524 und TC 6039)",,ANTFotografie,Glas,Fotografie,
2473031,Ant 134,Fotografie / Sammelaufnahme: 6 Terrakotten,,ANTFotografie,Glas,Fotografie,
2473056,Ant 135,Fotografie / Sammelaufnahme: 3 Terrakotten,,ANTFotografie,Glas,Fotografie,
2473073,Ant 136,Fotografie / Sammelaufnahme: 3 Terrakotten,,ANTFotografie,Glas,Fotografie,
2473075,Ant 137,Fotografie: 2 Ansichten der selben Terrakotte,,ANTFotografie,Glas,Fotografie,
2230623,Ant 141,Fotografie / Sammelaufnahme: 2 Terrakotten (TC 8327 und TC 8328),,ANTFotografie,Glas,Fotografie,
2230554,Ant 143,"Fotografie / Sammelaufnahme: 3 Terrakotten (TC 8312, TC 8313 und TC 8315)",,ANTFotografie,Glas,Fotografie,
2230615,Ant 144 b,Fotografie / Sammelaufnahme: 2 Terrakotten (TC 8407 und TC 7076),,ANTFotografie,Glas,Fotografie,
2319191,Ant 175,Fotografie / Sammelaufnahme: 2 Bronzestatuetten (Misc. 6305 und 6306),,ANTFotografie,Glas,Fotografie,
2222395,Ant 292,,,ANTFotografie,,Fotografie,
2222397,Ant 293,,,ANTFotografie,,Fotografie,
2222399,Ant 294,,,ANTFotografie,,Fotografie,
2222400,Ant 295,Fotografie: Misc. 8180 b Gefäßfragmente,,ANTFotografie,,Fotografie,
2222359,Ant 345,MANN 25492-93 Apollon- und Dianamedaillons auf Bronzeunterlagen,,ANTFotografie,,Fotografie,
2222360,Ant 346,"MANN 25284 Kalottenschale 1 aus Civita Castellana, Seitenansicht",,ANTFotografie,,Fotografie,
2222361,Ant 347,"MANN 25579 reliefierte Außenschale einer Bechercuppa mit Athena auf Biga"";"" MANN ? dito mit Eroten-Wagenrennen",,ANTFotografie,,Fotografie,
2222362,Ant 348,"MANN 25696 Halbkugelbecher auf mensula""; MANN 25368 glattwandiger Calathus mit Mittelriefen;"" MANN 25290-91 spilenförmiger Silberbecher mit kannelierter Wandung, ein Stück von Paar, aus Herculaneum",,ANTFotografie,,Fotografie,
2222364,Ant 349,"MANN 25288 Kalottenschale 2 aus Civita Castellana, unscharf",,ANTFotografie,,Fotografie,
2222365,Ant 350,"MANN 25285 Kalottenschale 2 aus Civita Castellana, unscharf",,ANTFotografie,,Fotografie,
2222366,Ant 351,MANN 25284 Kalottenschale 1 aus Civita Castellana,,ANTFotografie,,Fotografie,
2222368,Ant 352,"MANN ? kanneliertes Becken mit 2 Griffen (Silber od. Bronze), Aufsicht",,ANTFotografie,,Fotografie,
2222369,Ant 353,"MANN 119679 Polygonalspiegel mit Erotenemblem, fragmentiert"";"" MANN 25562/63 kannelierter Napf auf 25547/47 mensula",,ANTFotografie,,Fotografie,
2222370,Ant 354,"MANN 25285 Kalottenschale 2 aus Civita Castellana, unscharf",,ANTFotografie,,Fotografie,
2222371,Ant 355,"MANN ? kanneliertes Becken mit 2 Griffen (Silber od. Bronze), Seitenansicht",,ANTFotografie,,Fotografie,
2222372,Ant 356,"MANN 25378-79 Scyphuspaar mit Efeublätterdekor aus der Casa dell'Argenteria, Pompeji"";"" MANN 25287 Scyphus-Außenwandung mit Weinblattdekor",,ANTFotografie,,Fotografie,
2222373,Ant 357,MANN 111149 Calathus mit Amazonomachie,,ANTFotografie,,Fotografie,
2222775,Ant 368,"Misc. 3779, 57a zwei Hermen und zwei Füße vom Klapptisch vor und nach der Restaurierung",,ANTFotografie,,Fotografie,
2439993,Ant 371,"Sammelaufnahme: TC 8185""; TC 6319;"" TC 8163, 65 und TC 7104",,ANTFotografie,Glas,Fotografie,
2222402,Ant 456,Fundort des Hildesheimer Silberfundes,,ANTFotografie,,Fotografie,
2222403,Ant 457,Fundort des Hildesheimer Silberfundes,,ANTFotografie,,Fotografie,
2222404,Ant 458,Fundort des Hildesheimer Silberfundes,,ANTFotografie,,Fotografie,
2222768,Ant 459,"Misc. 8746, 6 u. 10 ein Napf u. ein 'Eierbecher'",,ANTFotografie,,Fotografie,
2222405,Ant 460,"Misc. 3779, 57 Tisch mit Platte, Hildesheimer Silberfund",,ANTFotografie,,Fotografie,
