ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2322239,2017.2,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Pinzette,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322400,2017.3,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Pinzette,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322410,2017.4,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Pinzette,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322435,2017.5,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Pinzette,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322438,2017.6,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Pinzette,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322440,2017.7,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Schere,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322441,2017.8,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Gabel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322443,2017.9,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Gabel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322462,2017.10,Löffel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322463,2017.11,Löffel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322464,2017.12,Löffel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322465,2017.13,Löffel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322466,2017.14,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Löffel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322467,2017.15,Große Klinge,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322469,2017.16,Kleine Klinge,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322470,2017.17,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Rasiermesser,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322471,2017.18,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Skalpellgriff,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322472,2017.19,Skalpellgriff,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322473,2017.20,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Haken,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322474,2017.21,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Haken,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322475,2017.22,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Pinzette,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322476,2017.23,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Pinzette,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322477,2017.24,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Löffelsonde,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322478,2017.25,Löffelsonde,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322480,2017.26,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Löffelsonde,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322481,2017.27,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Löffelsonde,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322482,2017.28,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Löffelsonde,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322483,2017.29,Löffelsonde,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322484,2017.30,"Löffelsonde, fragmentiert","Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322485,2017.31,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Löffelsonde,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322486,2017.32,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Spatelsonde,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322495,2017.33,Nadel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322497,2017.34,Nadel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
2322498,2017.35,ACHTUNG HIER NICHTS EINTRAGEN (siehe andere Inventarnummer) Nadel,"Zuschneid, Wilhelm",ANTNeuerwerbungen,Bronze (Metall / Legierung),Gerät,
