ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1690963,F G 2344,Gemme,,ANTObjekteNeu,Amethyst,Allgemein,
1967650,F G 6575,Karneol,,ANTObjekteNeu,,Allgemein,
1690965,F G 7039,Gemme,,ANTObjekteNeu,Karneol,Allgemein,
1690966,F G 8340,Gemme / Lumina restituta,,ANTObjekteNeu,Niccolo,Allgemein,
1690968,F G 8903,Gemme (neuzeitlich),,ANTObjekteNeu,Lapislazuli,Allgemein,
1567972,G .I. 295 a,achtseitige Filigranscheibenfibel (Kameo in Fassung vorhanden),,ANTObjekteNeu,,Allgemein,
1605544,G .I. 296,Almandinscheibenfibel,,ANTObjekteNeu,,Allgemein,
1605545,G .I. 297,Gürtelschnalle,,ANTObjekteNeu,,Allgemein,
2035921,G .I. 374,"Reste eines Halsschmuckes /dreiblättrige Blütenknospe mit Anhängerschlaufe, Oehse Silber, Blüte Goldblech",,ANTObjekteNeu,,Allgemein,
2035923,G .I. 408,"Bronzespirale mit Goldblech belegt, an einem Ende der in Goldblech getriebene Löwenkopf erhalten",,ANTObjekteNeu,,Allgemein,
2035918,G .I. 41,Drahtohring 1 eines Paares zusammen mit G.I. 42,,ANTObjekteNeu,"Blassgold"""""""" - Gold oder vergoldetes Silber",Schmuck,
2035920,G .I. 42,Drahtohrring eines Paares zusammen mit G.I. 41,,ANTObjekteNeu,"Blassgold"""""""" - Gold oder vergoldetes Silber",Allgemein,
1723037,Oly 64 Dublettendatensatz,"Druckstock, groß",,ANTObjekteNeu,Blei mit Messingstiften auf Holz befestigt,Allgemein,
1591180,P - 4,Haarfragment einer Großbronze,,ANTObjekteNeu,,Allgemein,
1591189,P 4,Gewandfragment einer Großbronze,,ANTObjekteNeu,,Allgemein,
1616936,"P 54 , 1-13",Eichenlaubkranz,,ANTObjekteNeu,Bronze mit Blatt- und Folienvergoldung,Allgemein,
2556963,ohne Nr.,"Buchstabe „S“, hergestellt für die Fries-Inschrift des Alten Museums",,ANTObjekteNeu,Bronze (?),Architektur,1960 - 1980
1479862,F G 11374,Neuzeitlicher Kameo Athena (Verlust),,ANTObjekteNeu,,Allgemein,
1479874,F G 11375,Kameo neuzeitlich (Verlust),,ANTObjekteNeu,,Allgemein,
1480088,F G 11376,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480126,F G 11377,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480135,F G 11378,Neuzeitlicher Kameo Athena (Fassung Goldring),,ANTObjekteNeu,,Allgemein,
1480138,F G 11379,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480142,F G 11380,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480145,F G 11381,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480146,F G 11382,Neuzeitlicher Kameo Athena (oder Alexander d.Gr.),,ANTObjekteNeu,,Allgemein,
1480148,F G 11383,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480152,F G 11384,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480155,F G 11385,Neuzeitlicher Kameo Athena (Fassung Goldring),,ANTObjekteNeu,,Allgemein,
1480158,F G 11386,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480159,F G 11387,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480160,F G 11388,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480163,F G 11389,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480166,F G 11390,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480168,F G 11391,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480170,F G 11393,Neuzeitlicher Kameo Athena (gefasst),,ANTObjekteNeu,,Allgemein,
1480175,F G 11394,Neuzeitlicher Kameo Athena (gefasst),,ANTObjekteNeu,,Allgemein,
1480224,F G 11395,Neuzeitlicher Kameo Athena (gefasst),,ANTObjekteNeu,,Allgemein,
1480227,F G 11396,Neuzeitlicher Kameo Athena (gefasst),,ANTObjekteNeu,,Allgemein,
1480229,F G 11397,Neuzeitlicher Kameo Athena (gefasst),,ANTObjekteNeu,,Allgemein,
1480231,F G 11398,Neuzeitlicher Kameo Athena oder Alexander d.Gr.,,ANTObjekteNeu,,Allgemein,
1480233,F G 11399,Neuzeitlicher Kameo Athena,,ANTObjekteNeu,,Allgemein,
1480252,F G 11400,Neuzeitlicher Kameo Athena (Verlust),,ANTObjekteNeu,,Allgemein,
1480237,F G 11401,Neuzeitlicher Kameo Verlust,,ANTObjekteNeu,,Allgemein,
1480244,F G 11402,Neuzeitlicher Kameo Krieger (gefasst),,ANTObjekteNeu,,Allgemein,
1480253,F G 11403,Neuzeitlicher Kameo Krieger (gefasst),,ANTObjekteNeu,,Allgemein,
1480289,F G 11404,Neuzeitlicher Kameo Krieger,,ANTObjekteNeu,,Allgemein,
1480294,F G 11405,Neuzeitlicher Kameo Krieger,,ANTObjekteNeu,,Allgemein,
1480295,F G 11406,"Neuzeitlicher Kameo (Fassung Goldring), (Herakles oder junge Frau), den KOpf bedeckt ein geschupptes Tuch, ein """"""""Ägisschleier"""""""", auf dem waagerecht ein jugendliches Gorgoneion mit Flügel liegt",,ANTObjekteNeu,,Allgemein,
1480297,F G 11407,Neuzeitlicher Kameo Hercules,,ANTObjekteNeu,,Allgemein,
1480300,F G 11408,"Neuzeitlicher Kameo, Büste des jugendlichen Herakles oder der Omphale in Dreiviertelrückansicht nach rechts.Die Stirn rahmen derbe Korkenzieherlocken, den Kopf bedeckt ein großer Löwenskalp, dessen Fell in den Nacken hängt und auf der Schulter in ein nach rechts herabhängendes Gewandstück übergeht.",,ANTObjekteNeu,,Allgemein,
1480303,F G 11409,Neuzeitlicher Kameo zwei Büsten (Fassung Anhänger aus Silber),,ANTObjekteNeu,,Allgemein,
1480304,F G 11410,"Neuzeitlicher Kameo zwei Büsten, Omphale+Herkules?",,ANTObjekteNeu,,Allgemein,
1480305,F G 11411,"Neuzeitlicher Kameo weibl. Büste, Büste der Kleopatra in Dreiviertelvorderansicht, in der linken Hand Schlange haltend",,ANTObjekteNeu,,Allgemein,1580 - 1600
1480310,F G 11412,"Neuzeitlicher Kameo weibl. Büste (Verlust)"";"" Brustbild der Kleopatra nach links, in der linken Hand Schlange haltend",,ANTObjekteNeu,,Allgemein,1501 - 1600
1480314,F G 11413,Neuzeitlicher Kameo weibl. Büste (Verlust),,ANTObjekteNeu,,Allgemein,
1480318,F G 11414,Neuzeitlicher Kameo weibl. Büste  (Verlust),,ANTObjekteNeu,,Allgemein,
1480322,F G 11415,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480326,F G 11416,Neuzeitlicher Kameo weibl. Büste Lukretia,,ANTObjekteNeu,,Allgemein,
1480328,F G 11417,Neuzeitlicher Kameo weibl. Büste Lukretia,,ANTObjekteNeu,,Allgemein,
1480329,F G 11418,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480332,F G 11419,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480335,F G 11420,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480338,F G 11421,Neuzeitlicher Kameo: Büstin einer Bacchantin mit Efeukranz,,ANTObjekteNeu,"Chalcedononyx, opak weiß auf transluzidem grauem Grund",Glyptik,Neuzeitlich
1480338,F G 11421,Neuzeitlicher Kameo: Büstin einer Bacchantin mit Efeukranz,,ANTObjekteNeu,"Chalcedononyx, opak weiß auf transluzidem grauem Grund",Glyptik,17. Jh.
1480342,F G 11422,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480347,F G 11423,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480348,F G 11424,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480368,F G 11425,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480369,F G 11426,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480371,F G 11427,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480377,F G 11428,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480378,F G 11429,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480382,F G 11430,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480383,F G 11431,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480384,F G 11432,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480385,F G 11433,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480388,F G 11434,Neuzeitlicher Kameo weibl. Büste (Minerva?),,ANTObjekteNeu,,Allgemein,
1480391,F G 11435,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480392,F G 11436,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480418,F G 11437,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480420,F G 11438,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480422,F G 11439,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480424,F G 11440,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480426,F G 11441,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480429,F G 11442,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480430,F G 11443,Neuzeitlicher Kameo weibl.(?) Büste,,ANTObjekteNeu,,Allgemein,
1480433,F G 11444,Neuzeitlicher Kameo weibl.(?) Büste,,ANTObjekteNeu,,Allgemein,
1480435,F G 11445,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480436,F G 11446,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480437,F G 11447,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480439,F G 11448,Neuzeitlicher Kameo weibl. Büste,,ANTObjekteNeu,,Allgemein,
1480749,F G 11449,Neuzeitlicher Kameo weibl. Büste (Medaillon),,ANTObjekteNeu,,Allgemein,
1480897,F G 11450,Neuzeitlicher Kameo Oberkörper einer Frau (gefasst),,ANTObjekteNeu,,Allgemein,
1480907,F G 11451,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480908,F G 11452,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480909,F G 11453,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480911,F G 11454,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480913,F G 11455,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480915,F G 11456,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480917,F G 11457,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480919,F G 11458,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480920,F G 11459,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480924,F G 11460,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480926,F G 11461,"Neuzeitlicher Kameo weibl. Büste (gefasst), Büste der Kleopatra?",,ANTObjekteNeu,,Allgemein,
1480930,F G 11462,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480931,F G 11463,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480933,F G 11464,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
1480934,F G 11465,Neuzeitlicher Kameo weibl. Büste (gefasst),,ANTObjekteNeu,,Allgemein,
