ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
MAG 36/1,,MusterdatensatzeSammlung,,Allgemein,,,
[8 Varianten von Aufklebern],"Kippenberger, Martin",NGLeihnahmenSonderausstellungenINTERN,,Allgemein,1979,,
Notizbuch 1990,"Roth, Dieter",NGLeihnahmenSonderausstellungenINTERN,"350 Blatt, Farbkopien, von hand beschriebener Umschlag, Klebebindung",Allgemein,1991 - 1994,,
Notizbuch 1990,"Roth, Dieter",NGLeihnahmenSonderausstellungenINTERN,"350 Blatt, Farbkopien, von hand beschriebener Umschlag, Klebebindung",Allgemein,1991 - 1994,,
Notizbuch 1981 - 1984,"Roth, Dieter",NGLeihnahmenSonderausstellungenINTERN,"220 Blatt, Farbkopien, von hand beschriebener Umschlag, Klebebindung",Allgemein,1994,,
"[aus: Volume 1: Briller et s‘envoler – Glänzen, Aufsteigen und Davonfliegen – Shimmer, Shine, and Fly Away]","Klein, Astrid",NGLeihnahmenSonderausstellungenINTERN,"Holz, 4-teilig, Wood, 4 parts",Allgemein,2006,,
"[aus: Volume 1: Briller et s‘envoler – Glänzen, Aufsteigen und Davonfliegen – Shimmer, Shine, and Fly Away]","Klein, Astrid",NGLeihnahmenSonderausstellungenINTERN,"Siebdruck auf Stoff mit Pelz, Silkscreen on fabric with fur",Allgemein,2006,,
"[aus: Volume 1: Briller et s‘envoler – Glänzen, Aufsteigen und Davonfliegen – Shimmer, Shine, and Fly Away]","Klein, Astrid",NGLeihnahmenSonderausstellungenINTERN,"verschiedene Materialien, Mixed media",Allgemein,2006,,
李自成之一Li Zi Cheng Zhi Yi (Li Zicheng: Teil 1),"Müller, Claudius",EMOstundNordasien,Papier,Allgemein,1978,,
Apfelbaum # 8 aus der Serie von 11,"Haozous, Bob",EMAmEthnologie,"Stahl, bemalt, Holz, Stahl, Farbe, Holz",Allgemein,1992,,
"Black and White Oil Conference, Ediburgh 1974","Beuys, Joseph",KBPlakat,Offsetdruck auf Papier,Allgemein,1980,,
"anläßlich FESTUM FLUXORUM FLUXUS, Musik und Antimusik - Das instrumentale Theater, Staatliche Kunstakademie Düsseldorf, 2. und 3. Februar 1963","Leve, Manfred",KBPlakat,"Silbergelatineabzug, Silbergelatinepapier, Silbergelatineabzug, glänzend",Allgemein,1963,,
"Sowjetischen Botschaft, Ostberlin 1967","Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1967,,
"Sowjetischen Botschaft, Ostberlin 1967","Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
Ostberlin 1962,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1962,,
Ostberlin 1962,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
1962,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1962,,
1962,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
1964,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1964,,
1964,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
Westberlin 1964,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1964,,
Westberlin 1964,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
Westberlin 1964,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1964,,
Westberlin 1964,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
Westberlin 1964,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1964,,
Westberlin 1964,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
"Amerika-Gedenkbibliothek, Westberlin 1962.","Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1962,,
"Amerika-Gedenkbibliothek, Westberlin 1962.","Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
1961,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1961,,
1961,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
"der Freien Universität Berlin, Westberlin 1963","Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1963,,
"der Freien Universität Berlin, Westberlin 1963","Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,2016,,
Westberlin 1963,"Larsson, Bernard",KBMuseumfurFotografie,"Tintenstrahldruck, Fuji Lightjet Tintenstrahldruck, Fujicolor Crystal Archive Semi-Matt Digital Papier Type DP II",Allgemein,1963,,
