ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
Titel B: Flûte oranaise. Elmalah Malah - 2. Folklore. Cheika Kheira Labassia,Fa. Pathé,EMMedienarchiv,,Audio,,,
Dublette von 2610,EMI,EMMedienarchiv,,Audio,,,
Orient-Archäologie 7. Studien zur Musikarchäologie II,Unbekannt,EMMedienarchiv,"Makrolon (Polycarbonat), Aluminium, Schutzlack, Druckfarbe, Kunststoff, Papier, Makrolon (Polycarbonat), Aluminium, Schutzlacke, Druckfarbe, Kunststoff, Papier",Audio,2000,,
Sie war nicht älter als 18 Jahr.,Teldec,EMMedienarchiv,,Audio,1960,,
"b) Nasib sudah di kandung malang (1. gesungen, 2. gespielt auf Violine)",Königlich Preußische Phonographische Kommission,EMPhonogrammArchiv,,Audio,23.4.1917,,
Titel B: Daiat Moustakbal Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: Daiat Moustakbal Teil 4,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Parlophon$,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: Al houbbou danani 4,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 4,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
Titel B: s. A Teil 2,Baidaphon,EMMedienarchiv,,Audio,,,
