ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1552478,,"Jurte, mit dem Ostasien Kurator Herrn Dr. Wu und dem Restaurator für die Archäologie Herrn Timm",,EMAllgemein,Präsentationsform:,Fotografie,
1552479,,Redner (unbekannt),,EMAllgemein,Präsentationsform:,Fotografie,
1601870,,Blick auf einige Cozumalhuapa-Stelen aus Guatemala im Museum für Völkerkunde,Fotograf unbekannt,EMAllgemein,"Foto, Fotografie",Fotografie,o.J.
1838561,,Präsentation der Xingú-Sammlungen im Königlichen Museum für Völkerkunde,Fotograf unbekannt,EMAllgemein,Foto,Fotografie,ohne Datum
1838732,,Rituelle Einweihung des Zeremonialtores Kuwaka,"Graf, Dietrich",EMAllgemein,,Fotografie,1993/1994
1838734,,Rituelle Einweihung des Zeremonialtores Kuwaka,"Graf, Dietrich",EMAllgemein,,Fotografie,1993/1994
1838735,,"Zeremonialtor Kuwaka, (Te Whare Tutu)","Graf, Dietrich",EMAllgemein,,Fotografie,1993/1994
1838737,,"Meditationshalle, Steingarten und Zenkreis","Graf, Dietrich",EMAllgemein,,Fotografie,1993/1994
1876456,,Ausstellung Ostasien in der Königgrätzerstraße,,EMAllgemein,,Fotografie,1926
1971805,,"Museum für Völkerkunde, Königgrätzer: Lage im Berlin-Stadtplan von Sineck 1882",,EMAllgemein,,Fotografie,1882
1971820,,Albert von Le Coq (mittleren Alters),Fotograf unbekannt,EMAllgemein,,Fotografie,1889
1971822,,Albert von Le Coq als Beduine,Fotograf unbekannt,EMAllgemein,,Fotografie,1938
1971909,,Aufnahme der Ostasien Ausstellung in der Königgrätzerstraße (Schrein),,EMAllgemein,,Fotografie,1926
1971910,,Ausstellung Ostasien in der Königgrätzerstraße (Schausammlung),,EMAllgemein,,Fotografie,1926
754708,,Das Ethnologische Museum im Museumskomplex Dahlem (Besuchereingang Lansstraße) - Architekten: Wilhelm Ebert & Fritz Bornemann,"Murza, G.",EMAllgemein,,Fotografie,2001
754708,,Das Ethnologische Museum im Museumskomplex Dahlem (Besuchereingang Lansstraße) - Architekten: Wilhelm Ebert & Fritz Bornemann,"Murza, G.",EMAllgemein,,Fotografie,2001
754731,,Das Ethnologische Museum im Museumskomplex Dahlem (Besuchereingang Lansstraße) - Architekten: Wilhelm Ebert & Fritz Bornemann,"Murza, G.",EMAllgemein,,Fotografie,2001
754735,,Das Ethnologische Museum im Museumskomplex Dahlem (Eingang Arnimallee/Altbau),"Murza, G.",EMAllgemein,,Fotografie,1993 (12.1993)
754743,,Das Ethnologische Museum im Museumskomplex Dahlem (Besuchereingang/ Lansstr.) - Architekten: Wilhelm Ebert & Fritz Bornemann,"Murza, G.",EMAllgemein,,Fotografie,2001
754743,,Das Ethnologische Museum im Museumskomplex Dahlem (Besuchereingang/ Lansstr.) - Architekten: Wilhelm Ebert & Fritz Bornemann,"Murza, G.",EMAllgemein,,Fotografie,1993
754748,,Das Ethnologische Museum im Museumskomplex Dahlem (Besuchereingang/ Lansstr.) - Architekten: Wilhelm Ebert & Fritz Bornemann,"Papadopoulos, Iris",EMAllgemein,,Fotografie,2001
754748,,Das Ethnologische Museum im Museumskomplex Dahlem (Besuchereingang/ Lansstr.) - Architekten: Wilhelm Ebert & Fritz Bornemann,"Papadopoulos, Iris",EMAllgemein,,Fotografie,1993
754748,,Das Ethnologische Museum im Museumskomplex Dahlem (Besuchereingang/ Lansstr.) - Architekten: Wilhelm Ebert & Fritz Bornemann,"Papadopoulos, Iris",EMAllgemein,,Fotografie,1993
754768,,Das Ethnologische Museum im Museumskomplex Dahlem (das Depot) -  Architekten: Wilhelm Ebert & Fritz Bornemann,"Papadopoulos, Iris",EMAllgemein,,Fotografie,2001
754768,,Das Ethnologische Museum im Museumskomplex Dahlem (das Depot) -  Architekten: Wilhelm Ebert & Fritz Bornemann,"Papadopoulos, Iris",EMAllgemein,,Fotografie,1993
754768,,Das Ethnologische Museum im Museumskomplex Dahlem (das Depot) -  Architekten: Wilhelm Ebert & Fritz Bornemann,"Papadopoulos, Iris",EMAllgemein,,Fotografie,1993
754778,,Ausstellung Königgrätzer Str. (Südasien-Batak?) 1935,,EMAllgemein,Glasplatte,Fotografie,ca. 1935
754778,,Ausstellung Königgrätzer Str. (Südasien-Batak?) 1935,,EMAllgemein,Glasplatte,Fotografie,1926
754867,,"Ausstellung """"""""Pueblo-Indianer"""""""" in der Königgrätzer Str.",Lichtbildwerkstatt Max Krajewsky,EMAllgemein,,Fotografie,1926 (?)
754867,,"Ausstellung """"""""Pueblo-Indianer"""""""" in der Königgrätzer Str.",Lichtbildwerkstatt Max Krajewsky,EMAllgemein,,Fotografie,1926
754887,,"Blick in die 1926 neu gestaltete Schausammlung, Ost-Afrika-Raum im Museumgebäude Königgrätzer Straße",Fotograf unbekannt,EMAllgemein,"Foto, Glasplatte",Fotografie,ca. 1935
754887,,"Blick in die 1926 neu gestaltete Schausammlung, Ost-Afrika-Raum im Museumgebäude Königgrätzer Straße",Fotograf unbekannt,EMAllgemein,"Foto, Glasplatte",Fotografie,1926
754890,,"Ausstellung im alten Museum Königgrätzer Str. (Süd Asien ?), 1935, Kat. Riebeck",,EMAllgemein,Glassplatten,Fotografie,ca. 1935
754892,,Ausstellung Königgrätzer Str. (Afrika) 1935,Lichtbildwerkstatt Max Krajewsky,EMAllgemein,,Fotografie,ca. 1935
754900,,"Bestandskontrolle in der Ausstellung Königgrätzer Str. (Afrika, Grasland/Kamerun)",,EMAllgemein,Papier,Fotografie,1935
754909,,"Museum für Völkerkunde, Berlin, Afrika Austellung",,EMAllgemein,,Fotografie,ca. 1926
754912,,"Museum für Völkerkunde, Berlin, Afrika Austellung, Gold",,EMAllgemein,,Fotografie,ca. 1926
754915,,"Museum für Völkerkunde, Berlin, Afrika Austellung",,EMAllgemein,,Fotografie,ca. 1926
754917,,Ausstellung der Abteilung Afrika (Kamerun) in der Zeit vor 1926,,EMAllgemein,,Fotografie,vor 1926
