ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2012634,,Babyface,,EMAusstellungsobjekte,,Allgemein,
2013252,,Denker,,EMAusstellungsobjekte,,Allgemein,
2013254,,Zeremonialaxt,,EMAusstellungsobjekte,,Allgemein,
2013255,,Schweinekoben,,EMAusstellungsobjekte,,Allgemein,
2013256,,Preshow-Vitrine,,EMAusstellungsobjekte,,Allgemein,
2013257,,Preshow-Vitrine,,EMAusstellungsobjekte,,Allgemein,
2013258,,Preshow-Vitrine,,EMAusstellungsobjekte,,Allgemein,
2013259,,White Tiger,,EMAusstellungsobjekte,"wood, paper, thread, wire, bulb",Allgemein,
2013261,,Red Phoenix,,EMAusstellungsobjekte,"bamboo, thread, glass, wire, bulb",Allgemein,
2013262,,Picchvai,,EMAusstellungsobjekte,,Allgemein,
2013263,,Bedeutungen schichten,,EMAusstellungsobjekte,,Allgemein,
2013264,,Bedeutungen schichten,,EMAusstellungsobjekte,,Allgemein,
2013265,,Bedeutungen schichten,,EMAusstellungsobjekte,,Allgemein,
2013266,,Springer,,EMAusstellungsobjekte,,Allgemein,
2013267,,Springer,,EMAusstellungsobjekte,,Allgemein,
2013268,,"schwarz """"""""Offene Geheimnisse",,EMAusstellungsobjekte,,Allgemein,
2013269,,"Objekt entnommen"""""""" Offene Geheimnisse",,EMAusstellungsobjekte,,Allgemein,
2013271,,Mensch Objet Jaguar,,EMAusstellungsobjekte,,Allgemein,
2013272,,Helmi,,EMAusstellungsobjekte,,Allgemein,
2013273,,Musik sehen,,EMAusstellungsobjekte,,Allgemein,
2013275,,Spiel der Throne,,EMAusstellungsobjekte,,Allgemein,
2013276,,Elfenbeinkästchen,,EMAusstellungsobjekte,,Allgemein,
2013277,,Faksimilie,,EMAusstellungsobjekte,,Allgemein,
2013278,,Fotografien berühren,,EMAusstellungsobjekte,,Allgemein,
2013279,,Foyer,,EMAusstellungsobjekte,,Allgemein,
2013280,,Foyer,,EMAusstellungsobjekte,,Allgemein,
2013339,,Bastian,,EMAusstellungsobjekte,,Allgemein,
2013340,,Virchow,,EMAusstellungsobjekte,,Allgemein,
