ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
628978,,,,EMLeipzigBestand,,Allgemein,
628984,,,,EMLeipzigBestand,,Allgemein,
629010,,,,EMLeipzigBestand,,Allgemein,
629140,,,,EMLeipzigBestand,,Allgemein,
629755,,,,EMLeipzigBestand,,Allgemein,
629756,,,,EMLeipzigBestand,,Allgemein,
629839,,,,EMLeipzigBestand,,Allgemein,
630022,,,,EMLeipzigBestand,,Allgemein,
633652,,,,EMLeipzigBestand,,Allgemein,
634948,,,,EMLeipzigBestand,,Allgemein,
635922,,,,EMLeipzigBestand,,Allgemein,
636923,,,,EMLeipzigBestand,,Allgemein,
637657,,,,EMLeipzigBestand,,Allgemein,
638224,,,,EMLeipzigBestand,,Allgemein,
638925,,,,EMLeipzigBestand,,Allgemein,
638926,,,,EMLeipzigBestand,,Allgemein,
638927,,,,EMLeipzigBestand,,Allgemein,
639328,,,,EMLeipzigBestand,,Allgemein,
640919,,,,EMLeipzigBestand,,Allgemein,
641460,,,,EMLeipzigBestand,,Allgemein,
641477,,,,EMLeipzigBestand,,Allgemein,
643208,,,,EMLeipzigBestand,,Allgemein,
643249,,,,EMLeipzigBestand,,Allgemein,
643336,,,,EMLeipzigBestand,,Allgemein,
643540,,,,EMLeipzigBestand,,Allgemein,
644240,,,,EMLeipzigBestand,,Allgemein,
644253,,,,EMLeipzigBestand,,Allgemein,
644458,,,,EMLeipzigBestand,,Allgemein,
644506,,,,EMLeipzigBestand,,Allgemein,
644929,,,,EMLeipzigBestand,,Allgemein,
645290,,,,EMLeipzigBestand,,Allgemein,
646737,,,,EMLeipzigBestand,,Allgemein,
646739,,,,EMLeipzigBestand,,Allgemein,
646931,,,,EMLeipzigBestand,,Allgemein,
646932,,,,EMLeipzigBestand,,Allgemein,
646933,,,,EMLeipzigBestand,,Allgemein,
646934,,,,EMLeipzigBestand,,Allgemein,
646935,,,,EMLeipzigBestand,,Allgemein,
646936,,,,EMLeipzigBestand,,Allgemein,
646937,,,,EMLeipzigBestand,,Allgemein,
646938,,,,EMLeipzigBestand,,Allgemein,
647315,,,,EMLeipzigBestand,,Allgemein,
647320,,,,EMLeipzigBestand,,Allgemein,
647324,,,,EMLeipzigBestand,,Allgemein,
647328,,,,EMLeipzigBestand,,Allgemein,
647334,,,,EMLeipzigBestand,,Allgemein,
647619,,,,EMLeipzigBestand,,Allgemein,
647660,,,,EMLeipzigBestand,,Allgemein,
648270,,,,EMLeipzigBestand,,Allgemein,
648603,,,,EMLeipzigBestand,,Allgemein,
648626,,,,EMLeipzigBestand,,Allgemein,
648704,,,,EMLeipzigBestand,,Allgemein,
649767,,,,EMLeipzigBestand,,Allgemein,
649962,,,,EMLeipzigBestand,,Allgemein,
650868,,,,EMLeipzigBestand,,Allgemein,
650869,,,,EMLeipzigBestand,,Allgemein,
650870,,,,EMLeipzigBestand,,Allgemein,
650871,,,,EMLeipzigBestand,,Allgemein,
650872,,,,EMLeipzigBestand,,Allgemein,
650967,,,,EMLeipzigBestand,,Allgemein,
652967,,,,EMLeipzigBestand,,Allgemein,
653054,,,,EMLeipzigBestand,,Allgemein,
653873,,,,EMLeipzigBestand,,Allgemein,
655203,,,,EMLeipzigBestand,,Allgemein,
655864,,,,EMLeipzigBestand,,Allgemein,
656342,,,,EMLeipzigBestand,,Allgemein,
656703,,,,EMLeipzigBestand,,Allgemein,
657326,,,,EMLeipzigBestand,,Allgemein,
657562,,,,EMLeipzigBestand,,Allgemein,
659545,,,,EMLeipzigBestand,,Allgemein,
659564,,,,EMLeipzigBestand,,Allgemein,
660222,,,,EMLeipzigBestand,,Allgemein,
660468,,,,EMLeipzigBestand,,Allgemein,
662095,,,,EMLeipzigBestand,,Allgemein,
663411,,,,EMLeipzigBestand,,Allgemein,
663655,,,,EMLeipzigBestand,,Allgemein,
663920,,,,EMLeipzigBestand,,Allgemein,
664498,,,,EMLeipzigBestand,,Allgemein,
665985,,,,EMLeipzigBestand,,Allgemein,
