ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1509299,,Objektgruppe: Zusammenstellung von Buckelgongs VII c 555-574,"Braun, Jasmin",EMMusikethnologie,,Fotografie,2009
1509314,,Objektgruppe: Zusammenstellung Flöten Ensemble,"Braun, Jasmin",EMMusikethnologie,,Fotografie,2009
1509317,,Objektgruppe: Zusammenstellung Flöten Ensemble,"Braun, Jasmin",EMMusikethnologie,,Fotografie,2009
1509318,,Objektgruppe: Zusammenstellung Schlagzittern,"Braun, Jasmin",EMMusikethnologie,,Fotografie,2009
1509319,,Objektgruppe: Zusammenstellung Schlagzittern,"Braun, Jasmin",EMMusikethnologie,,Fotografie,2009
1509320,,Objektgruppe: Zusammenstellung Schlagzittern,"Braun, Jasmin",EMMusikethnologie,,Fotografie,2009
1509321,,Objektgruppe: Zusammenstellung Schlagzittern,"Braun, Jasmin",EMMusikethnologie,,Fotografie,2009
1509323,,Objektgruppe: Zusammenstellung Aufschlaggabeln,"Braun, Jasmin",EMMusikethnologie,,Fotografie,2009
1509324,,Objektgruppe: Zusammenstellung Aufschlagröhren,"Braun, Jasmin",EMMusikethnologie,,Fotografie,2009
1533150,,Tonfiguren (Musik): u.a. Flötenspieler,,EMMusikethnologie,,Fotografie,
739673,,Siamesische Theatergruppe in Berlin,"Mahin, Boosra",EMMusikethnologie,Foto,Fotografie,29.09.1900
799787,,"Mann, Flöte blasend",,EMMusikethnologie,,Fotografie,
2352590,,,"Grupe, Gerd",EMMusikethnologie,,Musikinstrument,
2550610,,[Datensatz-Vorlage],"Schneider, Christian",EMMusikethnologie,,Allgemein,
2584728,,Sanai,"Schneider, Christian",EMMusikethnologie,,Allgemein,
2592879,,,,EMMusikethnologie,,Allgemein,
258381,<html><body><html><body>VII Nls 7 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255353,<html><body><html><body>VII Nls 7 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255355,<html><body><html><body>VII Nls 13 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
258387,<html><body><html><body>VII Nls 13 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255356,<html><body><html><body>VII Nls 15 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
258389,<html><body><html><body>VII Nls 15 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255357,<html><body><html><body>VII Nls 16 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255358,<html><body><html><body>VII Nls 17 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
258391,<html><body><html><body>VII Nls 17 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
258392,<html><body><html><body>VII Nls 18 <1></body></html></body></html>,,"Sparr, von",EMMusikethnologie,,Musikinstrument,
255359,<html><body><html><body>VII Nls 18 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255361,<html><body><html><body>VII Nls 22 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
258398,<html><body><html><body>VII Nls 22 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255362,<html><body><html><body>VII Nls 23 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
258399,<html><body><html><body>VII Nls 23 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255363,<html><body><html><body>VII Nls 24 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
258400,<html><body><html><body>VII Nls 24 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255365,<html><body><html><body>VII Nls 26 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
258402,<html><body><html><body>VII Nls 26 <2></body></html></body></html>,,"Nixdorff, Heide",EMMusikethnologie,,Musikinstrument,
255369,<html><body><html><body>VII Nls 35 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255371,<html><body><html><body>VII Nls 37 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255372,<html><body><html><body>VII Nls 39 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
258415,<html><body><html><body>VII Nls 39 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255377,<html><body><html><body>VII Nls 45 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
257979,<html><body><html><body>VII Nls 45 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255378,<html><body><html><body>VII Nls 49 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
257987,<html><body><html><body>VII Nls 49 <2></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
255379,<html><body><html><body>VII Nls 50 <1></body></html></body></html>,,,EMMusikethnologie,,Musikinstrument,
