ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
610538,,,"Lickteig, Klaus",EMNeuerwerbung,Metall,Allgemein,
1500825,,König Njoya und Rudolf Oldenburg,Njoya Inoussa,EMNeuerwerbung,,Allgemein,
1502526,,,"Sobczak, Brigitte",EMNeuerwerbung,,Allgemein,1970er Jahre
1502568,,,"Foermer, Hans-Joachim",EMNeuerwerbung,,Fotografie,1897 - 1901
1502576,,,"Tunis, Angelika",EMNeuerwerbung,,Allgemein,1970er Jahre
1510655,,"Cusco, Qolluriti, Mai 2008","Origgi, Andrea Espinar",EMNeuerwerbung,,Fotografie,Mai 2008 und 2009
1515118,,,"Meru, Kevinio P.",EMNeuerwerbung,,Allgemein,
1516034,,,"Peiper-Riegraf, Dorothee",EMNeuerwerbung,,Allgemein,1992 und 1989
1533252,,,"Schäfer, Axel",EMNeuerwerbung,,Allgemein,Anfang 21. Jahrhundert
1542964,,,"Grübel, Lili",EMNeuerwerbung,,Allgemein,2010
1543025,,,"Sadjadi, Mohammad",EMNeuerwerbung,,Allgemein,2010
1548718,,,"Schmoller, Jesko",EMNeuerwerbung,,Allgemein,rezent
1549176,,,"Schmoller, Jesko",EMNeuerwerbung,,Allgemein,rezent
1551121,,Tanpura,"Koch, Lars-Christian",EMNeuerwerbung,,Musikinstrument,ca.1950
1551144,,,"Plarre, Rosemarie",EMNeuerwerbung,,Allgemein,1978
1551158,,,"Plarre, Rosemarie",EMNeuerwerbung,,Allgemein,1978
1551160,,,"Schindlbeck, Markus",EMNeuerwerbung,,Allgemein,2009
1554706,,,"Durumba, John A.",EMNeuerwerbung,,Allgemein,2007
1563209,,,"Spuhler, Friedrich",EMNeuerwerbung,,Allgemein,
1569920,,,"Ottensmann, Ines und Gerd",EMNeuerwerbung,,Allgemein,
1569930,,,"Witzgall, Eva",EMNeuerwerbung,,Allgemein,
1575229,,,"Seybold, Johannes und Christine",EMNeuerwerbung,,Allgemein,1978 - 1984
1575664,,,"Rutledge-Matzner, Christiane",EMNeuerwerbung,,Fotografie,1868 -1912
1576614,,,"Spuhler, Friedrich",EMNeuerwerbung,,Fotografie,Anfang 20. Jahrhundert
1576819,,,"Tello, Helene",EMNeuerwerbung,,Allgemein,rezent
1576820,,,"Klann, Kilian",EMNeuerwerbung,,Allgemein,1996 - 1999
1576821,,,"Peiper-Riegraf, Dorothee",EMNeuerwerbung,,Allgemein,1980 - 1986
1577880,,,"Vaha, Peni",EMNeuerwerbung,,Allgemein,
1577887,,,"Goebel, Lothar",EMNeuerwerbung,,Allgemein,
1577890,,,"Horstmann, Udo",EMNeuerwerbung,,Allgemein,
1577892,,,"Thode-Arora, Hilke",EMNeuerwerbung,,Allgemein,
1577896,,,"Schindlbeck, Markus",EMNeuerwerbung,,Allgemein,2005
1577898,,,"Lehmann, Franz",EMNeuerwerbung,,Allgemein,
1577906,,,Tai Baeau,EMNeuerwerbung,,Allgemein,
1577907,,,"Horstmann, Udo",EMNeuerwerbung,,Allgemein,
1577909,,,Sequeira,EMNeuerwerbung,,Allgemein,
1581000,,,"Woessner, Freimut",EMNeuerwerbung,,Fotografie,
1590969,,,"Koch, Lars-Christian",EMNeuerwerbung,,Musikinstrument,
1590981,,,"Koch, Lars-Christian",EMNeuerwerbung,,Musikinstrument,
1591257,,,"Böcking-Döring, Lenore",EMNeuerwerbung,,Allgemein,20. Jahrhundert
1591333,,,"Müller-Dempf, Martina und Harald",EMNeuerwerbung,,Allgemein,20. Jahrhundert
1602016,,,"Horstmann, Udo",EMNeuerwerbung,,Allgemein,Ende 1920er Jahre
1602146,,,"Westphal, Peter-Dietrich",EMNeuerwerbung,,Allgemein,1960
1602277,,,"Senger, Malte",EMNeuerwerbung,,Allgemein,Mitte 1930er Jahre
1603861,,,"Fleckenstein, Rainer",EMNeuerwerbung,,Allgemein,
1614077,,,"Mc Guigan, Noel",EMNeuerwerbung,,Fotografie,
1614655,,,"Schröder, Hans-Hermann",EMNeuerwerbung,,Allgemein,1960er Jahre
1615740,,,"Museum für Islamische Kunst, Staatliche Museen zu Berlin",EMNeuerwerbung,,Allgemein,
1618499,,,"Seybold, Johannes und Christine",EMNeuerwerbung,Acryl auf Leinwand,Allgemein,1979 - 1983
1622054,,,"Hartz, Ludwig und Claramarie von",EMNeuerwerbung,,Allgemein,"Anf. 20.Jh. "";"" 1869"
1622318,,,"Martin, Hans",EMNeuerwerbung,,Allgemein,
1622320,, ,"Martin, Hans",EMNeuerwerbung,,Allgemein,1899
1626767,,,"März, Jutta",EMNeuerwerbung,"Baumwolle, Seide",Allgemein,
1626770,,,"Pöhlitz, Jürgen",EMNeuerwerbung,,Allgemein,
1631903,,,"Koch, Lars-Christian",EMNeuerwerbung,,Musikinstrument,
