ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1542438,,Two Foochow. Singing Girls,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1542471,,"Nikko, Grabmal des dritten Schogun (Yemitsu) Taiyuin. Yasschamor, das dritte Thor (Dämonenthor) von Innen.","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1542551,,"Wintertracht, Giljaken vom unteren Amur","Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1542574,,"Boote der Giljaken, unterer Armur","Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1542583,,Japanisches Mädchen in gewöhnlicher Tracht,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1542586,,Buddhistischer Priester mit Rosenkranz,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit
1542802,,"Verschiedene Handwerke: Reismühle""; waschen;"" Tabak","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton (Fototafel),Fotografie,
1542809,,Handwerk: Reismühle,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton (Fototafel),Fotografie,Meiji-Zeit (Mitte)
1542817,,Handwerk: Waschen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton (Fototafel),Fotografie,Meiji-Zeit (Mitte)
1542828,,Handwerk:Tabak,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton (Fototafel),Fotografie,Meiji-Zeit (Mitte)
1542834,,Handwerk:Tabak,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton (Fototafel),Fotografie,Meiji-Zeit (Mitte)
1543016,,Teezeremonie,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton (Fototafel),Fotografie,
1543041,,Teezeremonie,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton (Fototafel),Fotografie,
1543054,,Teezeremonie,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton (Fototafel),Fotografie,
1543062,,Seidezwirnen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543067,,Japaner bei der Reismahlzeit,"Stillfried und Rathenitz, Raimund von",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,"Meiji-Zeit (Anfang), um 1875"
1543071,,Alt und jung (traditionell/europäisch),"Stillfried und Rathenitz, Raimund von",EMOstundNordasien,"Albuminpapier auf Karton aufgezogen, koloriert, handkolorierter Albuminpapierabzug, auf Karton, Albuminpapier, Karton, koloriert",Fotografie,"Meiji-Zeit, um 1875"
1543095,,Junger Japaner in europäischer Kleidung,"Stillfried und Rathenitz, Raimund von",EMOstundNordasien,"Albuminpapier, koloriert"";"" auf Karton kaschiert., Albuminpapier, koloriert",Fotografie,"Meiji-Zeit (Anfang), um 1875"
1543155,,Seidenraupenzucht,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543163,,Seidenraupenzucht,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543337,,Teehaus,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit
1543345,,Kostüm,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit
1543349,,Ceremony of Samurai,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,"Albuminpapier auf Karton aufgezogen, koloriert, handkolorierter Albuminpapierabzug, auf Karton, Albuminpapier, Karton, koloriert",Fotografie,
1543367,,"Geishas: Gesang""; Tanz;"" Schauspiel","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543374,,Geishas: Schauspiel,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543395,,Geisha: Tanz,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543399,,Geisha: Gesang,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543404,,Geisha: Gesang,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543420,,Coconverarbeitung (Seidenraupenzucht),"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543430,,"Reisverarbeitung: Reismühle""; Reismörser; Reisschwinger;"" Reis sieben","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543446,,Reisverarbeitung: Reismühle,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543452,,Reisverarbeitung: Reismörser,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543455,,Reisverarbeitung: Reisschwinger,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543462,,Reisverarbeitung: Reis sieben,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543503,,"Geishas: Musik""; Erholung;"" Getränke","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,"Meiji-Zeit (Mitte), vor 1892"
1543515,,Geishas: Resting Girls,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543523,,"Geishas: Musizieren"""""""" (AT)","Stillfried und Rathenitz, Raimund von",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,"Meiji-Zeit (Mitte), 1892"
1543526,,Geishas: Musizieren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543527,,Geishas: Saketrinken,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543540,,Geishas,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543549,,Geisha,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543554,,Geisha,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543575,,Geisha,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543577,,Geisha,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543611,,Handwerk und Verkauf,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543622,,Holz- und Blumenverkauf,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543624,,Verkauf von gebastelten Sachen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543625,,Verkauf von gebastelten Sachen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543628,,Verkauf von gebastelten Sachen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543782,,Koch und Köchinnen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543803,,Koch und Köchinnen: Fisch,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543812,,Koch und Köchinnen: Nahrungsmittelzubereitung,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543831,,"Koch und Köchinnen: """"""""Kitchen","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543849,,Koch und Köchinnen: Nahrungsmittelzubereitung,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543875,,"Japanerinnen: Hofdame""; Schminken; lesen;"" Begrüßung","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543876,,Japanerinnen: Hofdame,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543878,,Japanerinnen: Schminken,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543881,,Japanerinnen: Lesen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543882,,Japanerinnen: Begrüßung,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543901,,Massieren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543902,,Massieren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543903,,Massieren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543905,,Massieren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543906,,Massieren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543908,,"Zeremonien: Shintôpriester, Heirat, Leichenzug","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,"Meiji-Zeit, vor"
1543909,,Drei Shintôpriester (Kannushitachi 神主たち),"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit
1543913,,Zeremonien: Heirat,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543916,,"Zeremonien: """"""""Für den Leichenzug","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,"Meiji-Zeit, vor"
1543919,,Zeremonien: Heirat,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,
1543947,,"Hinrichtung""; Shintopriester; Bettlerinnen;"" Reismühle","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543957,,Hinrichtung,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543959,,Shintôpriester (Kannushi 神主),"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543963,,Bettlerinnen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543966,,Reismühle,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543970,,"Verschiedene Tätigkeiten: Opiumpfeife rauchen""; Suppe verabreichen; Blumen transportieren;"" Kinder transportieren","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,"Meiji-Zeit (Mitte), 1892"
1543976,,Verschiedene Tätigkeiten: Opiumpfeife rauchen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543980,,Verschiedene Tätigkeiten: Suppe verabreichen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543987,,Verschiedene Tätigkeiten: Blumen transportieren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1543992,,Verschiedene Tätigkeiten: Kinder transportieren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,"Meiji-Zeit (Mitte), 1892"
1544708,,Yoshiwara,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1544711,,"Yoshiwara"";"" Jokohama","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1544713,,Yoshiwara,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1544715,,Yoshiwara,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1544718,,Yoshiwara,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1544719,,Der Hobel wird angezogen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1544722,,Der Hobel wird angezogen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1544723,,Der Hobel wird angezogen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1544724,,Der Hobel wird angezogen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1544725,,Der Hobel wird angezogen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545023,,Handel,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545031,,Handel: Korbwaren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545047,,Handel: Reife aus Messing,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545051,,Handel: Holzwaren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545053,,Handel: Sandalenhändler,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545058,,Carrying Baby,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545085,,Yokohama,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545094,,Yokohama,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545097,,Yokohama,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545100,,Yokohama,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545104,,Yokohama,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545110,,Samurai,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545297,,"Verschiedene Personen: Fechtmeister, blinder Masseur, Tätowierter, Postbote","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545308,,Fechtmeister / Kendôka　剣道家　,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545311,,Blinder Masseur,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545313,,Tätowierter,"Stillfried und Rathenitz, Raimund von",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545317,,Eilbote 飛脚 hikyaku,Kusakabe Kimbei 日下部金幣,EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545326,,"Feierlichkeiten: Shintopriester, Omatsurifest...","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545332,,Pilger,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545336,,Shintôpriester (Kannushi 神主),"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545338,,Kindergruppe,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545339,,Buohapriester,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545832,,"Handel: Körbe, Gemüse, Blumen","Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545852,,Handel: Körbe,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545857,,Gemüsehändler 八百の露天商  rotenshô,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545861,,Handel: Körbe,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1545865,,Handel: Blumen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546190,,Körperpflege,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546197,,Körperpflege: Frisieren,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546201,,Körperpflege: Waschen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546207,,Körperpflege: Waschen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546209,,Körperpflege: Waschen,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546224,,Schirmherstellung,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546244,,Schirmherstellung,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546250,,Schirmherstellung,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546269,,Schirmherstellung,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546281,,Schirmherstellung,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546640,,Transport/ Träger,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546647,,Transport/ Träger: Reisstroh,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546649,,Transport/ Träger,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
1546650,,Transport/ Träger,"Jagor, Fedor",EMOstundNordasien,Präsentationsform: auf Karton,Fotografie,Meiji-Zeit (Mitte)
