ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1541903,,,Königlich Preußische Phonographische Kommission,EMPhonogrammArchiv,Papier,Archivalie - Sonstiges,
1611123,,Deutsche Akademie München,"Deutsche Akademie, München",EMPhonogrammArchiv,,Audio,
2050155,,Meier Schweiz,"Meier, John",EMPhonogrammArchiv,,Audio,1906
750323,,Unbekannt Dajak,,EMPhonogrammArchiv,,Audio,
2222479,,Eine Auswahl von Edison-Phonographen-Walzen mit Originalverpackung,,EMPhonogrammArchiv,,Fotografie,
2433972,,Archiv Algerien,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,1939
2473327,,,,EMPhonogrammArchiv,,Allgemein,
1395248,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395255,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395265,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395271,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395350,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395408,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395413,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395425,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395429,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395432,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395439,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395447,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395449,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395456,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
1395486,,,"Hindeberg, Richard de",EMPhonogrammArchiv,,Audio,1905
2230852,VII W 8230 AK,Bake Indien I,"Bake, Arnold",EMPhonogrammArchiv,"Wachs, schwarzbraun",Audio,1931
2316582,VII W 8890,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,1.8.1914
2316589,VII W 8891,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,1.8.1914
2316599,VII W 8892,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,1.8.1914
2316839,VII W 8893,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,
2316841,VII W 8894,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,
2316842,VII W 8895,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,
2316991,VII W 8896,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,11.09.1907
2316995,VII W 8897,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,
2316996,VII W 8898,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,12.04.1911
2316997,VII W 8899,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,
2317143,VII W 8929,Archiv Experimentalaufnahmen,Berliner Phonogramm-Archiv,EMPhonogrammArchiv,,Audio,
2318943,VII W 8931,"Sprechender Hund """"""""Don","Stumpf, Carl",EMPhonogrammArchiv,"Wachs, dunkelbraun, Pappe, Wachs (dunkelbraun), Papier",Audio,18.2.1911
2318944,VII W 8932,"Sprechender Hund """"""""Don","Stumpf, Carl",EMPhonogrammArchiv,"Wachs, dunkelbraun, Pappe, Wachs (dunkelbraun), Papier",Audio,18.2.1911
