ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1537883,,"Kambodschaner, überwiegend Kinder und frauen","Thomann, Theodor Heinrich",EMSudundSudostasien,auf Karton,Fotografie,vor 1898/99
1538151,,Kambodschanerin am Webstuhl,"Riebeck, Emil",EMSudundSudostasien,auf Karton,Fotografie,
1617761,,Indisches Mädchen,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,
1617763,,Indisches Mädchen,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,
1617767,,Indisches Mädchen,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,
1617770,,Indisches Mädchen,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,
1617771,,Indisches Mädchen,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,
1617772,,Indisches Mädchen,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,
1617786,,Nautsch (Tanz),"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"auf Karton aufgezogen, auf Karton",Fotografie,
1617787,,Nautsch (Tanz),"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"auf Karton aufgezogen, auf Karton",Fotografie,
1617803,,Nautsch (Tanzvergnügen),"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"auf Karton aufgezogen, auf Karton",Fotografie,
1617836,,"Kaschmir Mädchen - die schönsten von Indien"""""""" (OT)","Bourne, Samuel",EMSudundSudostasien,"auf Karton aufgezogen, auf Karton",Fotografie,1864
1619391,,Tänzerin aus Delhi,"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"auf Karton aufgezogen, auf Karton",Fotografie,
1619395,,Bayadere de Koringhi (21 ans),"Jagor, Fedor",EMSudundSudostasien,"auf Karton aufgezogen, auf Karton",Fotografie,1857 - 1861
1619416,,Bayadere,"Jagor, Fedor",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,1857 - 1861
1619417,,6 jähriges Kling-Mädchen,"Jagor, Fedor",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,1857 - 1861
1619419,,Koringhi,"Jagor, Fedor",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,1857 - 1861
1619423,,Aya,"Jagor, Fedor",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,1857 - 1861
1619426,,Aya,"Jagor, Fedor",EMSudundSudostasien,"Foto auf Karton aufgezogen, auf Karton, Karton",Fotografie,1857 - 1861
1619435,,o.T. (Frau),"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"Foto auf Kabinettkarte auf Karton aufgezogen, Kabinettkarte auf Karton, Karton",Fotografie,
1619441,,o.T. (Frau),"Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte",EMSudundSudostasien,"Foto auf Kabinettkarte auf Karton aufgezogen, Kabinettkarte auf Karton, Karton",Fotografie,
