ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
"[Aufzeichnung des Konzerts vom 3. Februar 1979 in der Städtischen Galerie im Lenbachhaus, München]","Attersee, Christian Ludwig",NGLeihnahmenSonderausstellungenINTERN,"Video, digitalisiert, Farbe, Ton, 3:32 std.",Film/Video,1979,,
"Erstsendung: 28.09.1964, ARD/SWF",,NGLeihnahmenSonderausstellungenINTERN,"Video, digitalisiert, s/w, Ton, 15:42 min.",Film/Video,1964,,
"[aus: Volume 1: Briller et s‘envoler – Glänzen, Aufsteigen und Davonfliegen – Shimmer, Shine, and Fly Away]","Klein, Astrid",NGLeihnahmenSonderausstellungenINTERN,"Zwei-Kanal-Videoinstallation, digitalisiert?, Farbe, Ton, englische Untertitel, 6:10 min. und 7:22 min., Ausstellungskopie",Film/Video,2006,,
Angela Bulloch 1:21:23,"Tiravanija, Rirkrit",NGLeihnahmenSonderausstellungenINTERN,"Video, Farbe, Ton, 6-teilig, 12 Monitore, 12 Abspielgeräte, 24 Kopfhörer, 12 Holzboxen, Teppich, Sitzkissen, Video, color, sound, 6 parts, 12 displays, 12 media players, 24 head sets, 12 wooden boxes, carpet, cushions, Monitore auf Holzsockeln, je 2 Kopfhörer, Teppich, Sitzkissen",Film/Video,2008,,
of a Traditional Carolinian Society. Part 2,Triton Films Camarillo,EMMedienarchiv,,Film/Video,1983,,
Kopie von  Archiv-Nr. 0208,Institut für Wissenschaftlichen Film (IWF),EMMedienarchiv,,Film/Video,1981,,
Kopie von  Archiv-Nr. 0208,Institut für Wissenschaftlichen Film (IWF),EMMedienarchiv,,Film/Video,03.02.1998,,
Kopie von  Archiv-Nr. 0208,Institut für Wissenschaftlichen Film (IWF),EMMedienarchiv,,Film/Video,1994,,
OM 17,"Brandl, Rudolf Maria",EMMedienarchiv,,Film/Video,1998,,
OM 17,"Brandl, Rudolf Maria",EMMedienarchiv,,Film/Video,1999,,
OM 17,"Brandl, Rudolf Maria",EMMedienarchiv,,Film/Video,19.07.1999 12:06:23,,
OM 16,"Brandl, Rudolf Maria",EMMedienarchiv,,Film/Video,1998,,
OM 16,"Brandl, Rudolf Maria",EMMedienarchiv,,Film/Video,21.07.1999 09:29:13,,
OM 16,"Brandl, Rudolf Maria",EMMedienarchiv,,Film/Video,1999,,
Konzert am 3.7.1999 im MV,"Weber, Tobias",EMMedienarchiv,,Film/Video,1999,,
Konzert am 3.7.1999 im MV,"Weber, Tobias",EMMedienarchiv,,Film/Video,30.07.1999 11:28:14,,
Konzert am 3.7.1999 im MV,"Weber, Tobias",EMMedienarchiv,,Film/Video,1999,,
Konzert am 3.7.1999 im MV,"Weber, Tobias",EMMedienarchiv,,Film/Video,30.07.1999 11:28:14,,
[März-Mai 2020),,NGHamburgerBahnhofMuseumfurGegenwart,,Film/Video,2020,,
