ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
933861,,Grundsteinlegung für den Reichstag durch Kaiser Wilhelm I.,"Anschütz, Ottomar",GDBildarchiv,,Midas-Objekt,1884
933861,,Grundsteinlegung für den Reichstag durch Kaiser Wilhelm I.,"Anschütz, Ottomar",GDBildarchiv,,Midas-Objekt,1884.06.09
933855,1002/33,Porträt des Malers Erich Heckel,"Eschen, Fritz",GDBildarchiv,,Midas-Objekt,um 1950
933855,1002/33,Porträt des Malers Erich Heckel,"Eschen, Fritz",GDBildarchiv,,Midas-Objekt,um 1950
933835,1098/22,Porträt Max Pechstein in seinem Atelier,"Hensky, Herbert",GDBildarchiv,,Midas-Objekt,1947
933835,1098/22,Porträt Max Pechstein in seinem Atelier,"Hensky, Herbert",GDBildarchiv,,Midas-Objekt,1947
933846,1109/10,Der deutsche Generalfeldmarschall Emil Ludendorff (1865-1937) im 1. Weltkrieg,"Hoffmann, Heinrich",GDBildarchiv,,Midas-Objekt,1914/1918
933858,134/8502,Kurt Edler von Schuschnigg. Österreichischer Bundeskanzler von 1934 bis 1938,,GDBildarchiv,,Midas-Objekt,um 1934
933858,134/8502,Kurt Edler von Schuschnigg. Österreichischer Bundeskanzler von 1934 bis 1938,,GDBildarchiv,,Midas-Objekt,um 1934
933857,1608,"Die """"""""großen Vier"""""""" auf der Versailler Friedenskonferenz - (v.l.n.r.) Woodrow Wilson (USA), Georges Clemenceau (Frankreich), David Lloyd George (Großbritannien) und Vittorio Emanuele Orlando (Italien)",,GDBildarchiv,,Midas-Objekt,1918
933857,1608,"Die """"""""großen Vier"""""""" auf der Versailler Friedenskonferenz - (v.l.n.r.) Woodrow Wilson (USA), Georges Clemenceau (Frankreich), David Lloyd George (Großbritannien) und Vittorio Emanuele Orlando (Italien)",,GDBildarchiv,,Midas-Objekt,um 1918.01
933845,1635a,Demonstration Unter den Linden in Berlin am 9. November 1918. Ein Matrose geht mit der roten Fahne in der Hand dem Zug voran.,Gebrüder Haeckel,GDBildarchiv,,Midas-Objekt,1918
933845,1635a,Demonstration Unter den Linden in Berlin am 9. November 1918. Ein Matrose geht mit der roten Fahne in der Hand dem Zug voran.,Gebrüder Haeckel,GDBildarchiv,,Midas-Objekt,1918.11.09
933849,1789c,Reisebüro der Lufthansa in ihrem Hauptverwaltungsgebäude in der Lindenstraße in Berlin,,GDBildarchiv,,Midas-Objekt,um 1933
933849,1789c,Reisebüro der Lufthansa in ihrem Hauptverwaltungsgebäude in der Lindenstraße in Berlin,,GDBildarchiv,,Midas-Objekt,um 1933
933844,255/4925,"George Grosz im Atelier in Berlin, vor seinem Gemälde 'Stützen der Gesellschaft'",,GDBildarchiv,,Midas-Objekt,1926
933844,255/4925,"George Grosz im Atelier in Berlin, vor seinem Gemälde 'Stützen der Gesellschaft'",,GDBildarchiv,,Midas-Objekt,1926
933848,266/5272,"George Grosz in seinem Berliner Studio, Nassauische Strasse Nr. 4",,GDBildarchiv,,Midas-Objekt,um 1920
933848,266/5272,"George Grosz in seinem Berliner Studio, Nassauische Strasse Nr. 4",,GDBildarchiv,,Midas-Objekt,um 1920
933839,278/5847,Porträt des Malers Otto Dix,"Erfurth, Hugo",GDBildarchiv,,Midas-Objekt,1925
933839,278/5847,Porträt des Malers Otto Dix,"Erfurth, Hugo",GDBildarchiv,,Midas-Objekt,1925
933842,522/8975,Albert Ballin (1857-1918). Direktor der Hamburg-Amerika Linie,,GDBildarchiv,,Midas-Objekt,um 1905
933842,522/8975,Albert Ballin (1857-1918). Direktor der Hamburg-Amerika Linie,,GDBildarchiv,,Midas-Objekt,um 1905
933866,555 A 9,"Das Luftschiff LZ 126, erbaut 1922-1924 in Friedrichshafen, auf seiner ersten Fahrt nach Lakehurst, 12. Oktober bis 15. Oktober 1924. Durchblick durch den Fahrgastraum",,GDBildarchiv,,Midas-Objekt,1924
933866,555 A 9,"Das Luftschiff LZ 126, erbaut 1922-1924 in Friedrichshafen, auf seiner ersten Fahrt nach Lakehurst, 12. Oktober bis 15. Oktober 1924. Durchblick durch den Fahrgastraum",,GDBildarchiv,,Midas-Objekt,1924
933856,596/481,Porträt der Künstlerin Käthe Kollwitz,,GDBildarchiv,,Midas-Objekt,um 1910
933856,596/481,Porträt der Künstlerin Käthe Kollwitz,,GDBildarchiv,,Midas-Objekt,um 1910
933854,739/2689,Porträt Willi Baumeister in seinem Atelier,"Fischer, Peter",GDBildarchiv,,Midas-Objekt,1950
933854,739/2689,Porträt Willi Baumeister in seinem Atelier,"Fischer, Peter",GDBildarchiv,,Midas-Objekt,1950
933864,862/4937,Porträt der Käthe Kollwitz mit ihrem Ehemann,,GDBildarchiv,,Midas-Objekt,vor 1945
933864,862/4937,Porträt der Käthe Kollwitz mit ihrem Ehemann,,GDBildarchiv,,Midas-Objekt,vor 1945
933862,91/7242,Porträt John Heartfield (Helmut Herzfelde),,GDBildarchiv,,Midas-Objekt,um 1960?
933862,91/7242,Porträt John Heartfield (Helmut Herzfelde),,GDBildarchiv,,Midas-Objekt,1960?
933843,918/21,"Engelbert Dollfuss (1892-1934), als österreichischer Bundeskanzler während einer Rede vor dem Mikrofon",,GDBildarchiv,,Midas-Objekt,1933
933843,918/21,"Engelbert Dollfuss (1892-1934), als österreichischer Bundeskanzler während einer Rede vor dem Mikrofon",,GDBildarchiv,,Midas-Objekt,1933
933840,930/28,Porträt des Architekten Hans Poelzig,"Erfurth, Hugo",GDBildarchiv,,Midas-Objekt,um 1920
933840,930/28,Porträt des Architekten Hans Poelzig,"Erfurth, Hugo",GDBildarchiv,,Midas-Objekt,um 1920
933863,930/33,Porträt des Malers Oskar Kokoschka,"Erfurth, Hugo",GDBildarchiv,,Midas-Objekt,um 1910
933863,930/33,Porträt des Malers Oskar Kokoschka,"Erfurth, Hugo",GDBildarchiv,,Midas-Objekt,um 1910
933841,949/11,Woodrow Wilson. Präsident der Vereinigten Staaten von Amerika (1856-1924),"Wash(?), Loc(?)",GDBildarchiv,,Midas-Objekt,1918?
933841,949/11,Woodrow Wilson. Präsident der Vereinigten Staaten von Amerika (1856-1924),"Wash(?), Loc(?)",GDBildarchiv,,Midas-Objekt,um 1918?
933867,970/7,Heinrich Vogeler (1872-1942) in seinem Wohnzimmer in Worpswede,,GDBildarchiv,,Midas-Objekt,1900
933867,970/7,Heinrich Vogeler (1872-1942) in seinem Wohnzimmer in Worpswede,,GDBildarchiv,,Midas-Objekt,1900
933859,98 d,Das Chilehaus in Hamburg,"Gewande, Herbert Werner",GDBildarchiv,,Midas-Objekt,1952
933859,98 d,Das Chilehaus in Hamburg,"Gewande, Herbert Werner",GDBildarchiv,,Midas-Objekt,1952
933837,Farabola 823116,Der Zeppelin LZ 129 Hindenburg überfliegt New York am 6. Mai 1937 kurz vor der Katastrophe in Lakehurst,,GDBildarchiv,,Midas-Objekt,1937
933837,Farabola 823116,Der Zeppelin LZ 129 Hindenburg überfliegt New York am 6. Mai 1937 kurz vor der Katastrophe in Lakehurst,,GDBildarchiv,,Midas-Objekt,1937
933860,IIc 6068,Berliner Goldhut,,GDBildarchiv,"Gold, getrieben",Midas-Objekt,1099ante/800ante
933847,NS 511,Eröffnungsfeier der XI. Olympischen Spiele im Berliner Olympiastadion. Die Zuschauer grüßen Adolf Hitler und das Internationale Olympische Komitee bei ihrem Erscheinen im Stadion,"Baumann, Hermann",GDBildarchiv,,Midas-Objekt,1936.08.01
933847,NS 511,Eröffnungsfeier der XI. Olympischen Spiele im Berliner Olympiastadion. Die Zuschauer grüßen Adolf Hitler und das Internationale Olympische Komitee bei ihrem Erscheinen im Stadion,"Baumann, Hermann",GDBildarchiv,,Midas-Objekt,1936.08.01
933836,NS 512 & Gw 4294,"Die Läuferskulpturen von Eberhard Encke in Berlin an der Strasse Unter den Linden, Ecke Wilhelmstrasse im August 1936","Gewande, Herbert Werner",GDBildarchiv,,Midas-Objekt,1936.08
933836,NS 512 & Gw 4294,"Die Läuferskulpturen von Eberhard Encke in Berlin an der Strasse Unter den Linden, Ecke Wilhelmstrasse im August 1936","Gewande, Herbert Werner",GDBildarchiv,,Midas-Objekt,1936.08
933850,NS 512 & Gw 4297,Das Brandenburger Tor in Berlin im olympischen Flaggenschmuck,"Gewande, Herbert Werner",GDBildarchiv,,Midas-Objekt,1936.08
933850,NS 512 & Gw 4297,Das Brandenburger Tor in Berlin im olympischen Flaggenschmuck,"Gewande, Herbert Werner",GDBildarchiv,,Midas-Objekt,1936.08
933838,ohne Angabe,Der Speisesalon des Luftschiffs LZ 129 Graf Zeppelin,,GDBildarchiv,,Midas-Objekt,1928
933838,ohne Angabe,Der Speisesalon des Luftschiffs LZ 129 Graf Zeppelin,,GDBildarchiv,,Midas-Objekt,1928
933851,ohne Angabe,In der Alpenpost,"Wagner, Hans",GDBildarchiv,,Midas-Objekt,1937
933851,ohne Angabe,In der Alpenpost,"Wagner, Hans",GDBildarchiv,,Midas-Objekt,1937
933853,ohne Angabe,Das Luftschiff Graf Zeppelin LZ 130 auf dem Kasseler Flugplatz in Waldau,"Eberth, Carl",GDBildarchiv,,Midas-Objekt,1930.08.11
933853,ohne Angabe,Das Luftschiff Graf Zeppelin LZ 130 auf dem Kasseler Flugplatz in Waldau,"Eberth, Carl",GDBildarchiv,,Midas-Objekt,1930.08.11
933865,ohne Angabe,Der Zeppelin LZ 129 Hindenburg überfliegt New York im Jahre 1936,,GDBildarchiv,,Midas-Objekt,1936
933865,ohne Angabe,Der Zeppelin LZ 129 Hindenburg überfliegt New York im Jahre 1936,,GDBildarchiv,,Midas-Objekt,1936
933868,ohne Angabe,Porträt des Malers Oskar Kokoschka,"Wolff, Marta",GDBildarchiv,,Midas-Objekt,um 1916
933868,ohne Angabe,Porträt des Malers Oskar Kokoschka,"Wolff, Marta",GDBildarchiv,,Midas-Objekt,um 1916
933852,ohne Nummer,"Das fertiggestellte Zeppelin-Luftschiff, LZ 126, in der Montagehalle in Friedrichshafen",,GDBildarchiv,,Midas-Objekt,1924
933852,ohne Nummer,"Das fertiggestellte Zeppelin-Luftschiff, LZ 126, in der Montagehalle in Friedrichshafen",,GDBildarchiv,,Midas-Objekt,1924
