ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2240068,F-00001,Osiris,Unbekannter Künstler,GFFormen2,"Stein, Kernform",Allgemein,1880
2240068,F-00001,Osiris,Unbekannter Künstler,GFFormen2,"Stein, Kernform",Allgemein,"Spätzeit""; 30. Dynastie;"" 380-342 v. Chr. "
2240071,F-00002,Liegender Löwe,Unbekannter Künstler,GFFormen2,"Bronze, Kernform",Allgemein,1896
2240071,F-00002,Liegender Löwe,Unbekannter Künstler,GFFormen2,"Bronze, Kernform",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240074,F-00003,Portraitstatuette eines Mannes,Unbekannter Künstler,GFFormen2,"Stein, grün, Schiefer, Kernform",Allgemein,1893
2240074,F-00003,Portraitstatuette eines Mannes,Unbekannter Künstler,GFFormen2,"Stein, grün, Schiefer, Kernform",Allgemein,"Mittleres Reich, 2119-1794 v. Chr."
2240077,F-00004,"Sethos I., Oberteil einer Statue",Unbekannter Künstler,GFFormen2,"Kalkstein, Kernform",Allgemein,1893
2240077,F-00004,"Sethos I., Oberteil einer Statue",Unbekannter Künstler,GFFormen2,"Kalkstein, Kernform",Allgemein,"Neues Reich""; 19. Dynastie;"" 1290-1279  v. Chr."
2240080,F-00005,Statuette der kuhköpfigen Isis-Hathor lactans,Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,1896
2240080,F-00005,Statuette der kuhköpfigen Isis-Hathor lactans,Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,Unbestimmt
2240083,F-00006,Gottheit Chnum mit Sichelschwert,Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,1896
2240083,F-00006,Gottheit Chnum mit Sichelschwert,Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240086,F-00007,Osiris mit oberägyptischer Krone,Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,1896
2240086,F-00007,Osiris mit oberägyptischer Krone,Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240089,F-00008,Säule,Unbekannter Künstler,GFFormen2,"Sandstein, Kalkstein, Kernform",Allgemein,1897
2240089,F-00008,Säule,Unbekannter Künstler,GFFormen2,"Sandstein, Kalkstein, Kernform",Allgemein,"Mittleres Reich"";"" 13. Dynastie, 1794-1648 v. Chr."
2240091,F-00009,Sphinx,Unbekannter Künstler,GFFormen2,"Kalkstein, Kernform",Allgemein,1897
2240091,F-00009,Sphinx,Unbekannter Künstler,GFFormen2,"Kalkstein, Kernform",Allgemein,"Frühe Ptolemäerzeit"";"" 332-246 v. Chr. "
2240094,F-00010,"Metjen, Hohepriester und Verwalter mehrerer Gaue",Unbekannter Künstler,GFFormen2,"Granit, rot, Rosengranit, Kernform, Gelatineform",Allgemein,1897
2240094,F-00010,"Metjen, Hohepriester und Verwalter mehrerer Gaue",Unbekannter Künstler,GFFormen2,"Granit, rot, Rosengranit, Kernform, Gelatineform",Allgemein,"Altes Reich""; 4. Dynastie;"" 2639-2504 v. Chr."
2240097,F-00011,Thutmosis III.,Unbekannter Künstler,GFFormen2,"Kalkstein, Silikonform",Allgemein,1902
2240097,F-00011,Thutmosis III.,Unbekannter Künstler,GFFormen2,"Kalkstein, Silikonform",Allgemein,"Neues Reich""; 18. Dynastie;"" 1479-1425 v. Chr."
2240100,F-00012,"Isis, Horus säugend (Isis lactans)",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,1902
2240100,F-00012,"Isis, Horus säugend (Isis lactans)",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240103,F-00013,"Osiris, sitzend mit Atef-Krone",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,1902
2240103,F-00013,"Osiris, sitzend mit Atef-Krone",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,Unbestimmt
2240106,F-00014,"Harpokrates, sitzend, Horus als Kind",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform, Kernform",Allgemein,1902
2240106,F-00014,"Harpokrates, sitzend, Horus als Kind",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform, Kernform",Allgemein,Unbestimmt
2240109,F-00015,"Sachmet stehend, löwenköpfig",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,1902
2240109,F-00015,"Sachmet stehend, löwenköpfig",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,Unbestimmt
2240112,F-00016,Katze,Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,1902
2240112,F-00016,Katze,Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240115,F-00017,"Ptah, stehend",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,1902
2240115,F-00017,"Ptah, stehend",Unbekannter Künstler,GFFormen2,"Bronze, Silikonform",Allgemein,"Dritte Zwischenzeit bis Spätzeit"";"" 1070-525 v. Chr. "
2240118,F-00018,Liegender Widder,Unbekannter Künstler,GFFormen2,"Marmor, Kernform",Allgemein,1902
2240118,F-00018,Liegender Widder,Unbekannter Künstler,GFFormen2,"Marmor, Kernform",Allgemein,"27. Dynastie"";"" 525-401 v. Chr."
2240121,F-00019,"Tetu, Stadtfürst",Unbekannter Künstler,GFFormen2,"Granit, schwarz, Grauwacke (Siltstein), Kernform, Gelatineform",Allgemein,1906
