ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2234335,M-00001,Osiris,Unbekannter Künstler,GFMalmodelle2,"Gips, Stein",Allgemein,"Ägypten, Kairo, Ägyptisches Museum (Original)"";"" Ägyptisches Museum und Papyrussammlung der Staatlichen Museen zu Berlin - Preußischer Kulturbesitz (Abguss)"
2240070,M-00002,Liegender Löwe,Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240073,M-00003,Portraitstatuette eines Mannes,Unbekannter Künstler,GFMalmodelle2,"Gips, Stein, grün, Schiefer",Allgemein,"Mittleres Reich, 2119-1794 v. Chr."
2240076,M-00004,"Sethos I., Oberteil einer Statue",Unbekannter Künstler,GFMalmodelle2,"Gips, Kalkstein",Allgemein,"Neues Reich""; 19. Dynastie;"" 1290-1279  v. Chr."
2240079,M-00005,Statuette der kuhköpfigen Isis-Hathor lactans,Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,Unbestimmt
2240082,M-00006,Gottheit Chnum mit Sichelschwert,Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240085,M-00007,Osiris mit oberägyptischer Krone,Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240088,M-00008,Säule,Unbekannter Künstler,GFMalmodelle2,"Gips, Sandstein, Kalkstein",Allgemein,"Mittleres Reich"";"" 13. Dynastie, 1794-1648 v. Chr."
2234336,M-00009,Sphinx,Unbekannter Künstler,GFMalmodelle2,"Gips, Kalkstein",Allgemein,"Frühe Ptolemäerzeit"";"" 332-246 v. Chr. "
2240093,M-00010,"Metjen, Hohepriester und Verwalter mehrerer Gaue",Unbekannter Künstler,GFMalmodelle2,"Gips, Granit, rot, Rosengranit",Allgemein,"Altes Reich""; 4. Dynastie;"" 2639-2504 v. Chr."
2240096,M-00011,Thutmosis III.,Unbekannter Künstler,GFMalmodelle2,"Gips, Kalkstein",Allgemein,"Neues Reich""; 18. Dynastie;"" 1479-1425 v. Chr."
2240099,M-00012,"Isis, Horus säugend (Isis lactans)",Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240102,M-00013,"Osiris, sitzend mit Atef-Krone",Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,Unbestimmt
2240105,M-00014,"Harpokrates, sitzend, Horus als Kind",Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,Unbestimmt
2240108,M-00015,"Sachmet stehend, löwenköpfig",Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,Unbestimmt
2240111,M-00016,Katze,Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240114,M-00017,"Ptah, stehend",Unbekannter Künstler,GFMalmodelle2,"Gips, Bronze",Allgemein,"Dritte Zwischenzeit bis Spätzeit"";"" 1070-525 v. Chr. "
2240117,M-00018,Liegender Widder,Unbekannter Künstler,GFMalmodelle2,"Gips, Marmor",Allgemein,"27. Dynastie"";"" 525-401 v. Chr."
2240120,M-00019,"Tetu, Stadtfürst",Unbekannter Künstler,GFMalmodelle2,"Gips, Granit, schwarz, Grauwacke (Siltstein)",Allgemein,"Mittleres Reich""; 12. Dynastie;"" 1853-1806 v. Chr."
2240123,M-00020,Sitzfigur des Gutsvorstehers Nemti-hotep,Unbekannter Künstler,GFMalmodelle2,"Gips, Sandstein, hellbraun, Quarzit",Allgemein,"Mittleres Reich""; 12. Dynastie;""  1853-1806 v. Chr."
2240126,M-00021,Standfigur einer Königin,Unbekannter Künstler,GFMalmodelle2,"Gips, Grauwacke (Siltstein)",Allgemein,"Neues Reich""; 19. Dynastie;"" 1279–1213 v. Chr."
2240129,M-00022,"Hori, Priester in Heliopolis",Unbekannter Künstler,GFMalmodelle2,"Gips, Rosengranit",Allgemein,"Spätzeit""; 27. Dynastie;"" 525-401 v. Chr."
