ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2240067,R-00001,Osiris,Unbekannter Künstler,GFModelle2,"Gipsabguss, Stein",Allgemein,1880
2240067,R-00001,Osiris,Unbekannter Künstler,GFModelle2,"Gipsabguss, Stein",Allgemein,"Late Period of Ancient Egypt""; 30th Dynasty;"" 380-342 BC"
2240067,R-00001,Osiris,Unbekannter Künstler,GFModelle2,"Gipsabguss, Stein",Allgemein,"Spätzeit""; 30. Dynastie;"" 380-342 v. Chr. "
2240069,R-00002,Liegender Löwe,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1896
2240069,R-00002,Liegender Löwe,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240069,R-00002,Liegender Löwe,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Late Period of Ancient Egypt"";"" 664-332 BC"
2240072,R-00003,Portraitstatuette eines Mannes,Unbekannter Künstler,GFModelle2,"Gipsabguss, Stein, grün, Schiefer",Allgemein,1893
2240072,R-00003,Portraitstatuette eines Mannes,Unbekannter Künstler,GFModelle2,"Gipsabguss, Stein, grün, Schiefer",Allgemein,"Mittleres Reich, 2119-1794 v. Chr."
2240072,R-00003,Portraitstatuette eines Mannes,Unbekannter Künstler,GFModelle2,"Gipsabguss, Stein, grün, Schiefer",Allgemein,"Middle Period of Ancient Egypt, 2119-1794 BC"
2240075,R-00004,"Sethos I., Oberteil einer Statue",Unbekannter Künstler,GFModelle2,"Gipsabguss, Kalkstein",Allgemein,1893
2240075,R-00004,"Sethos I., Oberteil einer Statue",Unbekannter Künstler,GFModelle2,"Gipsabguss, Kalkstein",Allgemein,"Neues Reich""; 19. Dynastie;"" 1290-1279  v. Chr."
2240075,R-00004,"Sethos I., Oberteil einer Statue",Unbekannter Künstler,GFModelle2,"Gipsabguss, Kalkstein",Allgemein,"New Kingdom of Egypt""; 19th Dynasty;"" 1290-1279 BC"
2240078,R-00005,Statuette der kuhköpfigen Isis-Hathor lactans,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1896
2240078,R-00005,Statuette der kuhköpfigen Isis-Hathor lactans,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,Unbestimmt
2240078,R-00005,Statuette der kuhköpfigen Isis-Hathor lactans,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,Unknown
2240081,R-00006,Gottheit Chnum mit Sichelschwert,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1896
2240081,R-00006,Gottheit Chnum mit Sichelschwert,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240081,R-00006,Gottheit Chnum mit Sichelschwert,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Late Period of Ancient Egypt"";"" 664-332 BC"
2240084,R-00007,Osiris mit oberägyptischer Krone,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1896
2240084,R-00007,Osiris mit oberägyptischer Krone,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240084,R-00007,Osiris mit oberägyptischer Krone,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Late Period of Ancient Egypt"";"" 664-332 BC"
2240087,R-00008,Säule,Unbekannter Künstler,GFModelle2,"Gipsabguss, Sandstein, Kalkstein",Allgemein,1897
2240087,R-00008,Säule,Unbekannter Künstler,GFModelle2,"Gipsabguss, Sandstein, Kalkstein",Allgemein,"Middle Kingdom of Egypt, 13th Dynasty, 1794-1648 BC"
2240087,R-00008,Säule,Unbekannter Künstler,GFModelle2,"Gipsabguss, Sandstein, Kalkstein",Allgemein,"Mittleres Reich, 13. Dynastie, 1794-1648 v. Chr."
2240090,R-00009,Sphinx,Unbekannter Künstler,GFModelle2,"Gipsabguss, Kalkstein",Allgemein,1897
2240090,R-00009,Sphinx,Unbekannter Künstler,GFModelle2,"Gipsabguss, Kalkstein",Allgemein,"Frühe Ptolemäerzeit"";"" 332-246 v. Chr. "
2240090,R-00009,Sphinx,Unbekannter Künstler,GFModelle2,"Gipsabguss, Kalkstein",Allgemein,"Early Ptolemaic Period"";"" 332-246 BC"
2240092,R-00010,"Metjen, Hohepriester und Verwalter mehrerer Gaue",Unbekannter Künstler,GFModelle2,"Gipsabguss, Granit, rot, Rosengranit",Allgemein,1897
2240092,R-00010,"Metjen, Hohepriester und Verwalter mehrerer Gaue",Unbekannter Künstler,GFModelle2,"Gipsabguss, Granit, rot, Rosengranit",Allgemein,"Altes Reich""; 4. Dynastie;"" 2639-2504 v. Chr."
2240092,R-00010,"Metjen, Hohepriester und Verwalter mehrerer Gaue",Unbekannter Künstler,GFModelle2,"Gipsabguss, Granit, rot, Rosengranit",Allgemein,"Old Kingdom of Egypt""; 4th Dynasty;"" 2639-2504 BC"
2240095,R-00011,Thutmosis III.,Unbekannter Künstler,GFModelle2,"Gipsabguss, Kalkstein",Allgemein,1902
2240095,R-00011,Thutmosis III.,Unbekannter Künstler,GFModelle2,"Gipsabguss, Kalkstein",Allgemein,"Neues Reich""; 18. Dynastie;"" 1479-1425 v. Chr."
2240095,R-00011,Thutmosis III.,Unbekannter Künstler,GFModelle2,"Gipsabguss, Kalkstein",Allgemein,"New Kingdom of Egypt""; 18th Dynasty;"" 1479-1425 BC"
2240098,R-00012,"Isis, Horus säugend (Isis lactans)",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1902
2240098,R-00012,"Isis, Horus säugend (Isis lactans)",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein," Spätzeit"";"" 664-332 v. Chr."
2240098,R-00012,"Isis, Horus säugend (Isis lactans)",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein," Late Period of Ancient Egypt"";"" 664-332 BC"
2240101,R-00013,"Osiris, sitzend mit Atef-Krone",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1902
2240101,R-00013,"Osiris, sitzend mit Atef-Krone",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein, Unknown
2240101,R-00013,"Osiris, sitzend mit Atef-Krone",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,Unbestimmt
2240104,R-00014,"Harpokrates, sitzend, Horus als Kind",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1902
2240104,R-00014,"Harpokrates, sitzend, Horus als Kind",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,Unknown
2240104,R-00014,"Harpokrates, sitzend, Horus als Kind",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,Unbestimmt
2240107,R-00015,"Sachmet stehend, löwenköpfig",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1902
2240107,R-00015,"Sachmet stehend, löwenköpfig",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,Unbestimmt
2240107,R-00015,"Sachmet stehend, löwenköpfig",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,Unknown
2240110,R-00016,Katze,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1902
2240110,R-00016,Katze,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Spätzeit"";"" 664-332 v. Chr."
2240110,R-00016,Katze,Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Late Period of Ancient Egypt"";"" 664-332 BC"
2240113,R-00017,"Ptah, stehend",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,1902
2240113,R-00017,"Ptah, stehend",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Third Intermediate Period to Late Period of Ancient Egypt"";"" 1070-525 BC"
2240113,R-00017,"Ptah, stehend",Unbekannter Künstler,GFModelle2,"Gipsabguss, Bronze",Allgemein,"Dritte Zwischenzeit bis Spätzeit"";"" 1070-525 v. Chr. "
2240116,R-00018,Liegender Widder,Unbekannter Künstler,GFModelle2,"Gipsabguss, Marmor",Allgemein,1902
2240116,R-00018,Liegender Widder,Unbekannter Künstler,GFModelle2,"Gipsabguss, Marmor",Allgemein,"27. Dynastie"";"" 525-401 v. Chr."
2240116,R-00018,Liegender Widder,Unbekannter Künstler,GFModelle2,"Gipsabguss, Marmor",Allgemein,"27th Dynasty"";"" 525-401 BC"
2240119,R-00019,"Tetu, Stadtfürst",Unbekannter Künstler,GFModelle2,"Gipsabguss, Granit, schwarz, Grauwacke (Siltstein)",Allgemein,1906
2240119,R-00019,"Tetu, Stadtfürst",Unbekannter Künstler,GFModelle2,"Gipsabguss, Granit, schwarz, Grauwacke (Siltstein)",Allgemein,"Mittleres Reich""; 12. Dynastie;"" 1853-1806 v. Chr."
2240119,R-00019,"Tetu, Stadtfürst",Unbekannter Künstler,GFModelle2,"Gipsabguss, Granit, schwarz, Grauwacke (Siltstein)",Allgemein,"Middle Kingdom of Egypt""; 12th Dynasty;"" 1853-1806 BC"
2240122,R-00020,Sitzfigur des Gutsvorstehers Nemti-hotep,Unbekannter Künstler,GFModelle2,"Gipsabguss, Sandstein, hellbraun, Quarzit",Allgemein,1906
2240122,R-00020,Sitzfigur des Gutsvorstehers Nemti-hotep,Unbekannter Künstler,GFModelle2,"Gipsabguss, Sandstein, hellbraun, Quarzit",Allgemein,"Middle Kingdom of Egypt""; 12th Dynasty;"" 1853-1806 BC"
2240122,R-00020,Sitzfigur des Gutsvorstehers Nemti-hotep,Unbekannter Künstler,GFModelle2,"Gipsabguss, Sandstein, hellbraun, Quarzit",Allgemein,"Mittleres Reich""; 12. Dynastie;""  1853-1806 v. Chr."
2240125,R-00021,Standfigur einer Königin,Unbekannter Künstler,GFModelle2,"Gipsabguss, Grauwacke (Siltstein)",Allgemein,1906
