ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2428308,Dep. 18 FV,Venus und Adonis in waldiger Landschaft,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,
1837559,B 67,Charlotte Dorothea von Schönburg (1743-1783),Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,20. Jahrhundert
1837565,B 68,Bildnis eines Herrn,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,20. Jahrhundert
1838558,L 198,Bildnis einer Edeldame,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,
1838529,L 309,Dame mit Hermelinsmantel,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,
863839,A 1,Cimon und Pero / Caritas Romana,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1601/1700
2012913,Unb 24,Bildnis Johannes Stabius,Unbekannter Künstler,GGFremdbesitz,"Ölfarbe auf Holz, Ölfarbe auf Holz",Allgemein,1669
2613370,R.I.2000.1,Holländischer Hohlkehlenrahmen mit Ebenholzfurnier,,GGFremdbesitz,"Holz, Ebenholzfurnier",,17. Jahrhundert
2613364,R.I.2000.5,Holländischer Ebenholzrahmen,,GGFremdbesitz,"Holz, schwarz poliert",,17. Jahrhundert
2613365,R.I.51.96,Deutscher Leistenrahmen,,GGFremdbesitz,"Holz, geschnitzt, vergoldet",Rahmen,17. Jahrhundert
865266,B (ohne Nummer) a,Landschaft mit Kavallerie,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,um 1860
866869,B (ohne Nummer) b,Bedienter hält ein weißes Pferd / Parklandschaft,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1701/1800
865600,B (ohne Nummer) c,Kücheninterieur,"Schooten, Floris Gerritsz. van",GGFremdbesitz,"Eichenholz, Eichenholz",Malerei,um 1610
868657,B 9,Bildnis eines Herren,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1801/1850
870191,B 11,Bildnis Gaspar M. Glasenap,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1719
869146,B 12,Bildnis?,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1500/1900
870483,B 17,Baumreiche Landschaft?,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1550/1750
862667,B 19,Bildnis eines Herren,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1701/1800
862892,B 24,Danae empfängt auf ihrem Lager Jupiter in der Gestalt eines Goldregens,Tizian,GGFremdbesitz,"Leinwand, Leinwand",Malerei,
870081,B 26,Kreuzaufrichtung,"Rubens, Peter Paul",GGFremdbesitz,"Holz, Holz",Malerei,1601/1700
868890,B 27,Bildnis des Domkapellmeisters Joseph Ignatz Schnabel 1767-18 31,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1900/1915
868750,B 28,Bildnis Bischof Martinus Gerstman,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1501/1600
869381,B 29,"Bildnis des Bischofs Karl III., Erzherzog von Österreich",Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1601/1700
866423,B 34,"Bildnis Friedrich I., König von Preußen","Weidemann, Friedrich Wilhelm",GGFremdbesitz,"Leinwand, Leinwand",Malerei,1701/1800
867236,B 35,Bildnis des Bischofs Johannes VI.,Unbekannter Künstler,GGFremdbesitz,"Leinwand : Hartfaserpappe, Leinwand : Hartfaserpappe",Malerei,1608
870538,B 37,Bildnis Balthaser von Promnitz,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1501/1600
871577,B 38,Bildnis des Ernst Daniel Eberhard Burg im Alter von 9 Jahren,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1779
862294,B 42,Bildnis des Dogen Francesco Molino,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1646
868917,B 43,Bildnis der Albertine Marguerite de Bruges. Geb. 1666,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand, Gemaltes Oval",Malerei,1701/1800
869348,B 44,Bildnis des Albert Francois de la Saulx. 1659-1690,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand, Gemaltes Oval",Malerei,1701/1800
871212,B 46,Bildnis Marin Falier,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,nach 1700
866079,B 58,Bildnis einer Dame mit Fächer,"Lange, H.",GGFremdbesitz,"Leinwand, Leinwand",Malerei,1701/1800
863327,B 65,Triumphzug der Galathea,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1601/1700
864634,Co 68,Bildnis Kaiser Leopold I. von Österreich,"Püchler, Johann Michael",GGFremdbesitz,"Papier auf Holz, Papier : Holz",Malerei,1680/1702
871886,Co 89,Merkur auf der Weltkugel tänzelnd,Unbekannter Künstler,GGFremdbesitz,"Email, Contreémail (opak hellblau), Wachsrelief auf Email",Allgemein,1634
866778,Dep. 1 FB o.Nr.,König Salomo und die Königin von Saba,"Gotthard, Joseph",GGFremdbesitz,"Leinwand, Leinwand",Malerei,1822
865622,Dep. 2 Unb o.Nr.,Reitergefecht in Landschaft mit Festungsanlage,"Calza, Antonio",GGFremdbesitz,"Leinwand, Leinwand",Malerei,um 1700
865102,Dep. 3 Unb o.Nr.,Christus und die Samariterin am Brunnen,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1701/1800
871977,Dep. 4 Unb o.Nr.,Venus und Adonis,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,um 1700
867274,Dep. 5 Unb o.Nr.,Cimon und Pera,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1601/1650
863635,Dep. 6 Unb o.Nr.,Moses mit der Schlange vor Pharao,"Spooner, Thomas",GGFremdbesitz,"Leinwand, Leinwand",Malerei,
870157,Dep. 7 Unb o.Nr.,"Stehende Frau unter Bäumen, auf einen Fluß blickend","Burmann, Fritz",GGFremdbesitz,"Leinwand, Leinwand",Malerei,1940
869172,Dep. 8 Unb o.Nr.,Bildnis Anton von Werner mit Malgerät,"Koner, Max Johann Bernhard",GGFremdbesitz,"Leinwand, Leinwand",Malerei,1896
864557,Dep. 9 Unb o.Nr.,Sibilla Frigia (Phrygische Sybille),Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand",Malerei,1601/1700
868129,Dep. 10 Unb o.Nr,Falkner mit Hunden und Jagdbeute,Unbekannter Künstler,GGFremdbesitz,"Leinwand, Leinwand, Unregelmäßig geschwungenes Format",Malerei,1701/1750
863225,Dep. 11 Unb o.Nr.,Beweinung Christi,"Böttcher-Achenbach, H.",GGFremdbesitz,"Leinwand, Leinwand",Malerei,
870811,Dep. 12 Unb o.Nr.,Der Heilige Antonius von Padua mit dem Christuskind,"Böttcher-Achenbach, H.",GGFremdbesitz,"Leinwand, Leinwand",Malerei,
870113,Dep. 13 Unb o.Nr.,Der Heilige Antonius von Padua mit dem Christuskind,"Murillo, Bartolomé Esteban",GGFremdbesitz,"Leinwand, Leinwand",Malerei,17. Jahrhundert
863181,Dep. 14 Unb o.Nr.,Innenraum einer Kirche mit Gläubigen,"Erdmann, R.?",GGFremdbesitz,"Leinwand, Leinwand",Malerei,1913
871930,Dep. 15 FV,Maria lactans,"Janssens, Abraham (der Ältere)",GGFremdbesitz,"Eichenholz, Eichenholz",Malerei,17. Jahrhundert
868477,Dep. 16 FV,Rinderkopf,"Ommeganck, Balthasar Paul",GGFremdbesitz,"Tempera mit Harzöllasur & Büttenpapier auf Pappe, Harzöllasur, Tempera, Büttenpapier, Pappe ",Malerei,
