ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2548230,,A Kaag at Sea Running before a Strong Breeze,"Velde, Willem van de d.J.",GGLeihnahmen,"Öl auf Leinwand, Öl auf Leinwand",Allgemein,1650 - 1707
2548249,2010.2,States Yacht and Ships on the IJ before Amsterdam,"Storck, Abraham",GGLeihnahmen,"Öl auf Leinwand, Öl auf Leinwand",Allgemein,1650 - 1708
1902910,2010.1,Eine Kaag und andere Segler bei auffrischendem Wind,"Velde, Willem van de d.J.",GGLeihnahmen,"Leinwand, Leinwand",Malerei,1660 - 1707
2033325,10014,"Museumsrahmen, Profilnummer 3","Schinkel, Karl Friedrich",GGLeihnahmen,"Holz, Bleiornamente, vergoldet, Holz, Bleiornamente, vergoldet",Rahmen,1. Drittel 19. Jahrhundert
2399004,ANG 1188,Gustav Friedrich Wagen,"Knaus, Ludwig",GGLeihnahmen,"Leinwand, Leinwand",Allgemein,
2398908,Bischof,Der Junge mit der Mausefalle,"Werff, Adriaen van der",GGLeihnahmen,"Holz, Holz",Allgemein,1676
2428312,Dep. 19 FV,Museumsbesucher vor dem neuerworbenen Altarbild des Hugo van der Goes im Kaiser-Friedrich-Museum,"Bersch, Fritz",GGLeihnahmen,,Malerei,1914
1853314,A III 759,Die Alte Gemäldegalerie im Schinkel Museum,"Bennewitz von Löfen, Karl (der Ältere)",GGLeihnahmen,"Öl/ Leinwand, Öl/ Leinwand",Malerei,
1836404,GG Priv.01,Judith mit dem Haupt des Holofernes,"Allori, Cristofano",GGLeihnahmen,"Leinwand, Leinwand",Malerei,
2028597,HU1,Lebendes Kreuz von Ferrara (ca. 1560 - 1570),"Filippi, Sebastiano",GGLeihnahmen,"Öl auf Holz, Ölfarbe, Holz",Malerei,
865648,413B,"Philipp IV., König von Spanien (1605-1665), im Jagdanzug","Velázquez, Diego Rodríguez de Silva y",GGLeihnahmen,"Leinwand, Leinwand",Malerei,
869829,2153,Lot und seine Töchter (Fragment),"Baldung, Hans",GGLeihnahmen,"Eichenholz, Eichenholz",Malerei,
864098,2159,Maria mit dem Kind und einem Engel / Grunewaldmadonna,"Baldung, Hans",GGLeihnahmen,"Lindenholz, Lindenholz",Malerei,um 1539
2398783,"KG St.Hedwig, Bln.",Die Anbetung der Hirten,"Pesne, Antoine",GGLeihnahmen,"Leinwand, Leinwand",Allgemein,um 1748
