ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
862380,,"Die Kreuzigung Christi mit Maria und Johannes, Katharina und einem heiligen Bischof",,GGMalerei,,Midas-Objekt,um 1390
862381,,Die Geburt Christi,,GGMalerei,,Midas-Objekt,um 1390
862382,,Die Anbetung der Heiligen Drei Könige,,GGMalerei,,Midas-Objekt,um 1390
862528,,Die Astronomie,Bonifacio Veronese,GGMalerei,,Midas-Objekt,
862529,,Die Architektur,Bonifacio Veronese,GGMalerei,,Midas-Objekt,
862599,,Gegenstücke,"Ghirlandaio, Davide",GGMalerei,"Pappelholz, Pappelholz",Midas-Objekt,
862693,,Landschaften,"Peruzzini, Antonio Francesco",GGMalerei,Leinwand,Midas-Objekt,um 1719/1720
862697,,Zwei Fragmente einer größeren Komposition,"Boselli, Felice",GGMalerei,Leinwand,Midas-Objekt,um 1720/1730
863025,,Darstellungen aus dem Leben des Tobias,"Granacci, Francesco",GGMalerei,Pappelholz,Midas-Objekt,um 1500/1510
863175,,Reitergefechte,"Reschi, Pandolfo",GGMalerei,Leinwand,Midas-Objekt,
863277,,Gegenstücke mit Maria als Schutzmantelmadonna und der heiligen Dreieinigkeit und Heiligen,,GGMalerei,Eichenholz,Midas-Objekt,um 1500
863596,,Der heilige Hieronymus in der Wüste,Lorenzo Monaco,GGMalerei,,Midas-Objekt,1395 - 1400
863607,,Bildnis eines Mannes,,GGMalerei,Leinwand,Midas-Objekt,1601/1700
863660,,Darstellungen aus dem Marienleben,Bonifacio Veronese,GGMalerei,Pappelholz,Midas-Objekt,
863723,,Friedrich der Große (1712-1786),"Falbe, Joachim Martin",GGMalerei,"Leinwand, Leinwand",Midas-Objekt,1752
863751,,Die Heiligen Paulus und Viktor,"Vivarini, Alvise",GGMalerei,,Midas-Objekt,
863752,,Christus im Grabe mit zwei anbetenden und trauernden Engeln,"Vivarini, Alvise",GGMalerei,,Midas-Objekt,
863753,,Die Heiligen Johannes der Täufer und Hieronymus,"Vivarini, Alvise",GGMalerei,,Midas-Objekt,
863754,,Die Heiligen Franziskus von Assisi und Antonius von Padua,"Vivarini, Alvise",GGMalerei,,Midas-Objekt,
863755,,Die Ausgießung des Heiligen Geistes,"Vivarini, Alvise",GGMalerei,,Midas-Objekt,
863756,,Die Heiligen Franziskus von Assisi und Antonius von Padua,"Vivarini, Alvise",GGMalerei,,Midas-Objekt,
863835,,Flügel eines Altärchens,"Bicci, di Lorenzo di Bicci",GGMalerei,Pappelholz,Midas-Objekt,
863955,,Die Anbetung der Könige,Meister der weiblichen Halbfiguren,GGMalerei,,Midas-Objekt,
863956,,Die Ankunft der Hirten,Meister der weiblichen Halbfiguren,GGMalerei,,Midas-Objekt,
863957,,Der Mohrenkönig mit Gefolge,Meister der weiblichen Halbfiguren,GGMalerei,,Midas-Objekt,
864018,,Zyklus zum Pastor Fido,"Oranje-Nassau, Frederik Hendrik van",GGMalerei,,Midas-Objekt,
864132,,Eva,"Eyck, Jan van",GGMalerei,,Midas-Objekt,1904
864133,,Die cumäische Sibylle,"Eyck, Jan van",GGMalerei,,Midas-Objekt,1904
864145,,Gegenstücke,"Cossiau, Jan Joost van",GGMalerei,Leinwand,Midas-Objekt,
864249,,Die Anbetung der Heiligen Drei Könige mit Stifterfamilie,Meister des Aachener Altars,GGMalerei,Eichenholz,Midas-Objekt,um 1510
864496,,Musikanten,"Parentino, Bernardo",GGMalerei,Leinwand,Midas-Objekt,
864536,,Pendants zweier Bildnisse mit alter Frau und altem Mann,"Sweerts, Michiel",GGMalerei,Pappelholz,Midas-Objekt,
864574,,Krönung Mariae,,GGMalerei,"Eichenholz, Eichenholz",Midas-Objekt,um 1400
864578,,Altarfragment mit Jakobusvita,Konrad von Friesach,GGMalerei,Nadelholz,Midas-Objekt,1440 - 1450
864696,,Pietà,Giovanni del Biondo dal Casentino,GGMalerei,,Midas-Objekt,
864697,,Der heilige Julian trägt einen Wanderer durch den Fluß,Giovanni del Biondo dal Casentino,GGMalerei,,Midas-Objekt,
864816,,,"Claeszoon, Aert",GGMalerei,,Midas-Objekt,
864819,,,"Claeszoon, Aert",GGMalerei,,Midas-Objekt,
864824,,Die Verkündigung an Maria,,GGMalerei,,Midas-Objekt,um 1430
