ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1912927,,Sansovino-Rahmen,,GGRahmen,"Holz/ geschnitzt, Holz/ geschnitzt",Allgemein,um 1575
1920136,,Rahmen,,GGRahmen,,Allgemein,16. Jahrhundert
1938231,,Leistenrahmen,,GGRahmen,,Allgemein,17. Jh.(Anfang)
1961908,,Rahmen,,GGRahmen,,Allgemein,
1961979,,Rahmen,,GGRahmen,"Holz, gedrechselt, schwarz, gold, Holz, gedrechselt, schwarz, gold",Allgemein,1996
1964929,,Rahmen,Unbekannter Künstler,GGRahmen,"Eichenhholz, polychrom marmoriert, Eichenhholz, polychrom marmoriert",Allgemein,
1964934,,,,GGRahmen,"Holz, lasiert, Holz, lasiert",Allgemein,2000
1965004,,Rahmen,,GGRahmen,"Holz, polychrom marmoriert, Holz, polychrom marmoriert",Allgemein,19. Jahrhundert
2013958,,Plattenrahmen,,GGRahmen,"Holz, geschnitzt und vergoldet, Holz, geschnitzt und vergoldet",Rahmen,
2022382,,Rahmen,,GGRahmen,,Allgemein,14. Jahrhundert
2022447,,Vierpassrahmen,,GGRahmen,"Pappelholz, Pappelholz",Allgemein,
2032353,,Rokoko-Rahmen,,GGRahmen,"Holz, geschnitzt und vergoldet, Holz, geschnitzt und vergoldet",Allgemein,1750
2033278,,"Museumsrahmen, Individueller Entwurf","Schinkel, Karl Friedrich",GGRahmen,"Holz, Ornamente aus Blei und Kreidegrund, vergoldet, Holz, Ornamente aus Blei und Kreidegrund, vergoldet",Allgemein,1. Drittel 19. Jahrhundert
2033737,,"Museumsrahmen, Profilnummer 3","Schinkel, Karl Friedrich",GGRahmen,"Holz, Bleiornamente, Schlagmetall, Holz, Bleiornamente, Schlagmetall",Allgemein,1. Drittel 19. Jahrhundert
2033808,,"Museumsrahmen, Individueller Entwurf","Schinkel, Karl Friedrich",GGRahmen,"Holz, Ornamente aus Kreidegrund, vergoldet, Holz, Ornamente aus Kreidegrund, vergoldet",Allgemein,1. Drittel 19. Jahrhundert
2033810,,"Museumsrahmen, Individueller Entwurf, Schinkelrahmen(?)","Schinkel, Karl Friedrich",GGRahmen,"Holz, vergoldet, Holz, vergoldet",Allgemein,1. Drittel 19. Jahrhundert
862555,,Orginaler Rahmen,"Perugino, Pietro",GGRahmen,,Midas-Objekt,
862895,,originaler Rahmen,"Mostaert, Jan",GGRahmen,,Midas-Objekt,um 1525
863772,,Originaler Rahmen,Meister der Heiligen Sippe (der Ältere),GGRahmen,,Midas-Objekt,1410 - 1420
863812,,---,"Daddi, Bernardo",GGRahmen,,Midas-Objekt,um 1338/1340
863925,,originaler Goldrahmen mit blau emailliertem Rand,"Petitot, Jean (der Ältere)",GGRahmen,,Midas-Objekt,
864584,,Rahmen,Konrad von Friesach,GGRahmen,,Midas-Objekt,1440 - 1450
865162,,Originaler Rahmen,"Landi, Neroccio di Bartolomeo di Benedetto de'",GGRahmen,,Midas-Objekt,nach 1490
865259,,zeitgenössischer Messingrahmen,"Carstens, Asmus Jakob",GGRahmen,,Midas-Objekt,1789 - 1790
865652,,originaler Rahmen,"Bruyn, Bartholomäus (der Ältere)",GGRahmen,,Allgemein,1527 - 1567
865685,,zeitgenössischer Holzrahmen,"Chodowiecki, Daniel Nikolaus",GGRahmen,,Midas-Objekt,um 1759
865691,,originaler Rahmen,"Rexach, Juan (2)",GGRahmen,,Midas-Objekt,
865708,,originaler Rahmen,Meister der Magdalenen-Legende,GGRahmen,,Midas-Objekt,
866127,,originaler Rahmen,,GGRahmen,,Midas-Objekt,um 1490
866189,,Orginaler Rahmen,"Francesca, Piero della",GGRahmen,,Midas-Objekt,1450
866836,,zeitgenössischer Holzrahmen,"Chodowiecki, Daniel Nikolaus",GGRahmen,,Midas-Objekt,1780
868120,,Rahmen,"Keller, Ferdinand",GGRahmen,,Midas-Objekt,1906
868198,,---,"Holbein, Hans (der Ältere)",GGRahmen,,Midas-Objekt,1495
868640,,originaler Rahmen,Andrea di Vanni d'Andrea Salvani,GGRahmen,,Midas-Objekt,
869662,,originaler Rahmen,Taddeo di Bartolo,GGRahmen,,Midas-Objekt,
