ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1939076,,Leistenrahme,,GGVerlust,,Allgemein,18. Jahrhundert
1945746,,Louis-quatorze-Rahmen,,GGVerlust,,Rahmen,
1963042,,Leistenrahmen,,GGVerlust,,Allgemein,um 1760
1964607,,Leistenrahmen,,GGVerlust,"Holz, geschnitzt und vergoldet, Holz, geschnitzt und vergoldet",Allgemein,1750
2008032,,Leistenrahmen,,GGVerlust,,Allgemein,Ende 16. Jahrhundert
2023381,,Leistenrahmen,,GGVerlust,"Holz, geschnitzt und vergoldet",Allgemein,1840 - 1852
2049204,,,,GGVerlust,"Holz, Kehlleiste oben spitzgiebelig, Holz, Kehlleiste oben spitzgiebelig",Allgemein,1. Hälfte 15. Jahrhundert
863199,,Anbetung des Kindes,"Oggiono, Marco d'",GGVerlust,,Malerei,
864514,,Altar mit Stiftern,"Keyser, Thomas de",GGVerlust,Eichenholz,Malerei,1619 - 1667
864841,,Tabernakelrahmen,Lorenzo Monaco,GGVerlust,,Midas-Objekt,
866343,,Marienaltar,"Daddi, Bernardo",GGVerlust,Pappelholz,Malerei,
866591,,Maria mit dem Kinde,"Bergognone, Ambrogio",GGVerlust,,Midas-Objekt,
866592,,Johannes der Täufer,"Bergognone, Ambrogio",GGVerlust,,Midas-Objekt,
866593,,Jakobus minor,"Bergognone, Ambrogio",GGVerlust,,Midas-Objekt,
868437,,---,"Eyck, Jan van",GGVerlust,,Midas-Objekt,um 1425
868652,,Verkündigungsengel,,GGVerlust,,Midas-Objekt,um 1480
868653,,Maria,,GGVerlust,,Midas-Objekt,um 1480
871356,,ursprünglich nicht zugehöriger Rahmen,"Garbo, Raffaellino del",GGVerlust,,Midas-Objekt,
871521,,,,GGVerlust,,Midas-Objekt,um 1380
871524,,,,GGVerlust,,Midas-Objekt,um 1380
871528,,Christus am Kreuz zwischen Maria und Johannes,,GGVerlust,,Midas-Objekt,um 1380
871530,,Die Heiligen Margareta und Dorothea,,GGVerlust,,Midas-Objekt,um 1380
871796,,Die Heilige Katharina,"Christus, Petrus",GGVerlust,Eichenholz,Malerei,
2286935,,Leistenrahmen,,GGVerlust,"Holz, geschnitzt und vergoldet, Holz, geschnitzt und vergoldet",Allgemein,nach 1700
2389053,,Leistenrahmen,,GGVerlust,"Holz, Stuckauflage(?), vergoldet, Holz, Stuckauflage(?), vergoldet",Allgemein,19. Jahrhundert
864835,I.39,Krönung Mariae,"Carpaccio, Vittore",GGVerlust,"Leinwand, Leinwand",Malerei,
863729,I.63,Anbetung der Hirten,Bonifacio Veronese,GGVerlust,"Leinwand, Leinwand",Malerei,
866952,I.127,Bildnis des Grafen Alberico II.,"Conti, Bernardino dei",GGVerlust,"Nußbaumholz, Nußbaumholz",Malerei,1514 - 1522
867500,I.133,Beweinung Christi,"Foppa, Vincenzo",GGVerlust,"Pappelholz, Pappelholz",Malerei,
868973,I.172,Maria mit dem Kind und dem kleinen Johannes,"Botticelli, Sandro",GGVerlust,"Pappelholz, Pappelholz",Malerei,
867593,I.354,Danae,"Palma, Jacopo, il Vecchio",GGVerlust,"Leinwand, Leinwand",Malerei,
862798,I.357,Thronende Maria mit dem Kind und Heiligen,"Coda, Bartolomeo",GGVerlust,"Pappelholz, Pappelholz",Malerei,1510 - 1520
864258,II.151,Lucretia,"Sellaer, Vincent",GGVerlust,"Eichenholz, Eichenholz",Malerei,um 1540
868357,II.202,Christus vor Kaiphas,"Coecke van Aelst, Pieter (1)",GGVerlust,"Eichenholz, Eichenholz",Malerei,16. Jahrhundert
864301,II.309,Das Bacchanal,Unbekannter Künstler,GGVerlust,"Leinwand, Leinwand",Malerei,
866868,II.344,Odysseus und Nausikaa,"Moeyaert, Claes Cornelisz.",GGVerlust,"Eichenholz, Eichenholz",Malerei,1610 - 1655
2453032,597,Christus am Kreuz,Unbekannter Künstler,GGVerlust,"Fichtenholz, Fichtenholz",Allgemein,um 1520
2326276,750C,Bildnis einer älteren Dame (Stifterin) und ihrer Tochter,"Keyser, Thomas de",GGVerlust,"Eichenholz, Eichenholz",Malerei,1619 - 1667
2567979,1502,Anbetung des Kindes,"Rosselli, Cosimo",GGVerlust,,Malerei,2. Hälfte 15. Jahrhundert
871962,III.447,Wachtstube mit Soldaten und Frauen,"Stoop, Dirk",GGVerlust,"Eichenholz, Eichenholz",Malerei,1630 - 1686
1971926,529F,Die hl. Katharina / Altarflügel,"Christus, Petrus",GGVerlust,"Eichenholz, Eichenholz",Malerei,15. Jahrhundert
869601,IV.511,Sposalizio della Vergine,Raffael,GGVerlust,"Holz, Holz",Malerei,19. Jahrhundert
