ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1716275,824,"Fotografie vom Grundriss der Ausstellunghalle """"""""Neue Nationalgalerie","Waetzoldt, Stephan",IFMSammlung,,Architektur,1968
1716280,827,Neue Nationalgalerie,"Mies van der Rohe, Ludwig",IFMSammlung,,Architektur,1968
1837845,829,Neue Nationalgalerie (Modell),"Waetzoldt, Stephan",IFMSammlung,,Fotografie,1968
1837863,833,Neue Nationalgalerie,"Friedrich, Reinhard",IFMSammlung,,Fotografie,1967
1837870,844,"Neue Nationalgalerie (Entwurf, Untergeschoß)","Mies van der Rohe, Ludwig",IFMSammlung,,Architektur,1967
1705388,1015,Neubau der Neuen Nationalgalerie (Baustelle),"Mies van der Rohe, Ludwig",IFMSammlung,,Fotografie,1967
1681738,8585,Bodemusem,"Schinkel, Karl Friedrich",IFMSammlung,,Fotografie,2004
1621794,9374,Gemäldegalerie am Kulturforum,"Schauerte, Günther",IFMSammlung,"Diarahmen, glaslos",Fotografie,1998
1621948,9376,Gemäldegalerie am Kulturforum,"Schauerte, Günther",IFMSammlung,"Diarahmen, glaslos",Fotografie,1998
1621963,9377,Gemäldegalerie am Kulturforum,"Schauerte, Günther",IFMSammlung,,Fotografie,1997
1681759,9480,Alte Nationalgalerie,"Schauerte, Günther",IFMSammlung,,Fotografie,1997
1681760,9481,Alte Nationalgalerie,"Schauerte, Günther",IFMSammlung,"Diarahmen, glaslos",Fotografie,1997
1681761,9482,Alte Nationalgalerie,"Schauerte, Günther",IFMSammlung,,Fotografie,1997
1681771,9483,Alte Nationalgalerie,"Schauerte, Günther",IFMSammlung,,Fotografie,1997
1681792,9484,Alte Nationalgalerie,"Schauerte, Günther",IFMSammlung,"Diarahmen, glaslos",Fotografie,1997
1681777,9485,Alte Nationalgalerie,"Schauerte, Günther",IFMSammlung,,Fotografie,1997
1681778,9486,Alte Nationalgalerie,"Schauerte, Günther",IFMSammlung,"Diarahmen, glaslos",Fotografie,1997
1681787,9487,Alte Nationalgalerie,"Schauerte, Günther",IFMSammlung,,Fotografie,1997
