ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1569674,1885-984,Anatolischer Tier-Teppich,,ISLDatenBPK,"Teppich / Wolle, Wolle, Teppich",Allgemein,1500 - 1700
1502664,"1915,64",Osmanischer Gebetsteppich,,ISLDatenBPK,,Allgemein,16. Jh.-17. Jh.
1502664,"1915,64",Osmanischer Gebetsteppich,,ISLDatenBPK,,Allgemein,15/16. Jh.
1652484,I. 1,,,ISLDatenBPK,"Textilie, Textilie",Allgemein,1. Hälfte 16. Jh.
1509475,I. 1/55,Wasserhahn (Zapfhahn),,ISLDatenBPK,"Bronze, Bronze",Allgemein,12./13. Jh.
1605464,I. 1/81,Kadscharisches Deckengemälde,,ISLDatenBPK,,Allgemein,1263/1846
1509541,I. 1930,Tönerner Siebkrug,,ISLDatenBPK,"Gefäß / Ton, Ton, Gefäß",Allgemein,12./13. Jh.
1690921,I. 1986.105v,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690922,I. 1986.106r,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690923,I. 1986.108v,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690925,I. 1986.109r,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1657385,I. 1986.111r,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1657446,I. 1986.111v,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690926,I. 1986.125v,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690937,I. 1986.126v,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690943,I. 1986.127r,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690927,I. 1986.132v,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690928,I. 1986.133r,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690945,I. 1986.137r,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690929,I. 1986.140r,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690930,I. 1986.149v,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
1690932,I. 1986.150r,"Djami, Yusuf und Sulaikha",Joseph (AT),ISLDatenBPK,"Papier, farbig mit Goldmalerei, Papier, farbig mit Goldmalerei",Allgemein,1557
