ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1331998,,Panorama de Jerusalem / prise du Mont des Oliviers,"Hammerschmidt, Wilhelm",ISLFotos,,Allgemein,
1530674,Abb-Slg 5771,Fontaine d'Ablution à Ste. Sophie,"Berggren, Guillaume",ISLFotos,Fotografie,Allgemein,Ende 19. Jahrhundert
1698018,OID 1698018,"Museum für Islamische Kunst im Südflügel des Pergamonmuseums. Blick in die Dauerausstellung, Raum 1 (Eingangsraum)","Niedermeiser, Georg",ISLFotos,"Foto, Fotografie",Allgemein,2000
1698042,OID 1698042,Museum für Islamische Kunst im Südflügel des Pergamonmuseums. Blick in die Dauerausstellung,"Niedermeiser, Georg",ISLFotos,"Foto, Fotografie",Allgemein,2000
1698044,OID 1698044,"Museum für Islamische Kunst im Südflügel des Pergamonmuseums. Blick in die Dauerausstellung, Mschatta-Saal","Niedermeiser, Georg",ISLFotos,"Foto, Fotografie",Allgemein,2001
1698049,OID 1698049,"Museum für Islamische Kunst im Südflügel des Pergamonmuseums. Blick in die Dauerausstellung, Frühosmanen","Niedermeiser, Georg",ISLFotos,"Foto, Fotografie",Allgemein,2001
1698052,OID 1698052,"Museum für Islamische Kunst im Südflügel des Pergamonmuseums. Blick in die Dauerausstellung, Safaviden","Niedermeiser, Georg",ISLFotos,"Foto, Fotografie",Allgemein,2001
1819189,OID 1819189,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819194,OID 1819194,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819197,Pl. 1156,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819198,Pl. 3529,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819199,Pl. 3533,Ernst Herzfeld als junger Mann,"Herzfeld, Ernst Emil",ISLFotos,"Foto, Fotografie",Allgemein,
1819203,Pl. 3535,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819204,Pl. 3567,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819205,Pl. 3625,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819206,Pl. 3626,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819207,Pl. 3647,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819208,Pl. 3669,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819209,Sam-Pl. 1,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819210,Sam-Pl. 10,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819211,Sam-Pl. 101,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819212,Sam-Pl. 1148,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819213,Sam-Pl. 135,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819214,Sam-Pl. 202,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819216,Sam-Pl. 235,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819220,Sam-Pl. 251 a,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819221,Sam-Pl. 302,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819222,Sam-Pl. 371,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819223,Sam-Pl. 38,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819224,Sam-Pl. 405,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1819225,Sam-Pl. 57,Große Moschee von Samarra,,ISLFotos,"Foto, Fotografie",Allgemein,
1819227,Sam-Pl. 7,Mittlerer Teil des Ruinengebietes von Samarra,,ISLFotos,"Foto, Fotografie",Allgemein,
1819226,Sam-Pl. 73,OHNE TITEL,,ISLFotos,"Foto, Fotografie",Allgemein,
1584246,SK WS XIII 14,Mantel Rogers II.,"Roger <Sizilien, König, II.>",ISLFotos,,Allgemein,1133 - 1134
2299585,OID 2299585,Puerta de la iustizia,"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299588,OID 2299588,Puerta de la iustizia,"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299590,OID 2299590,Puerta del vino,"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299592,OID 2299592,Puerta del Vino [vista oblicua de la fachad occidental],"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299593,OID 2299593,Puerta del Vino [vista oblicua de la fachada oriental],"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299594,OID 2299594,Patio dele albara [Patio de la Alberca]. Vista de la fachada norte desde galeria alta de la fachada sur.,"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299597,OID 2299597,Untere Arcade des arabischen Palastes [Vista de oblicua de la fachada norte del Patio de los Arrayanes],"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299600,OID 2299600,"Arab. Palast, Detail a. d. Thür","Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299601,OID 2299601,Thüre [Puerta de entrada al patio de los Arrayanes],"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299602,OID 2299602,Löwenhof [Vista oblicua del pallón oriental del patio de los Leones],"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299603,OID 2299603,Facade der sala de las dos hermanas,"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299604,OID 2299604,Sala de las dos hermanas,"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299606,OID 2299606,Innere Ansicht d. Halle u. der Saal der beiden Schwestern,"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299607,OID 2299607,Blick aus der Sala de los Abbencerrages auf den Sala de las dos hermasas [Fuente de los Leones desde la Sala de Abencerrajes],"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299608,OID 2299608,Blick aus dem Sala de los Abbencerrages auf den Sala de las Dos Hermanas [Fuente de los Leones desde la Sala de Abencerrajes],"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299609,OID 2299609,Patio de la mezquita,"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2299612,OID 2299612,... Aloe auf St. Migel,"Oppenheim, Felix Alexander",ISLFotos,"Foto, Fotografie",Allgemein,1852
2614436,Pl. 3035,"Mosul-Tor"""""""" in al-ʿAmādiyya","Bachmann, Walter",ISLFotos,"Negativ, schwarz-weiß",Allgemein,
1075432,Pl. 9297,Märchenerzähler in Buchara,"Sarre, Friedrich",ISLFotos,"Foto, Fotografie",Allgemein,1898
