ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1879106,,Kay Khusrau feiert Rustam unter dem Juwelenbaum,,ISLObjekteFremdbesitz,,Allgemein,um 1525
1891552,,Shiva mit Familie bereitet Bhang,,ISLObjekteFremdbesitz,,Allgemein,um 1790
1891553,,Zubereitung und Konsum von Rauschdrogen,,ISLObjekteFremdbesitz,,Allgemein,um 1610
1891554,,Verkaufsstand für Opium und Bhang,,ISLObjekteFremdbesitz,,Allgemein,2. Hälfte 19. Jahrhundert
1891557,,Verkauf und konsum von Rauschdrogen,,ISLObjekteFremdbesitz,,Allgemein,2. Hälfte 18. Jahrhundert
1891560,,Rattenjagd im Opiumrausch,,ISLObjekteFremdbesitz,,Allgemein,1730-1750
1891562,,Asketen im Rausch,,ISLObjekteFremdbesitz,,Allgemein,um 1785
1891564,,Chandu-Khana. Treffpunkt des Opiumhandels,,ISLObjekteFremdbesitz,,Allgemein,um 1620
1891565,,Bhangzubereitung und Konsum am Hanuman-Schrein,,ISLObjekteFremdbesitz,,Allgemein,2. Hälfte 18. Jahrhundert
1891567,,Prinzessin beim Tabakgenuss auf Terrasse,,ISLObjekteFremdbesitz,,Allgemein,um 1770
1891569,,Badefreuden und TAbakgenuss,,ISLObjekteFremdbesitz,,Allgemein,um 1810
1891570,,Huqqarauchende Prinzessin auf Seeterrasse,,ISLObjekteFremdbesitz,,Allgemein,1750-70
1891572,,Jhalandara Putra trinkt aus goldener Flasche,,ISLObjekteFremdbesitz,,Allgemein,
1891574,,Raga Malkos wird Betel gereicht,,ISLObjekteFremdbesitz,,Allgemein,1680
1891576,,Raja Isvari Sen vor dem Stelldichein,,ISLObjekteFremdbesitz,,Allgemein,um 1810
1891578,,Muhammad Ibrahim mit Betel und Huqqa,,ISLObjekteFremdbesitz,,Allgemein,um 1675
1891580,,Konsum und Wirkung von Rauschdrogen,,ISLObjekteFremdbesitz,,Allgemein,Mitte 18. Jahrhundert
1891581,,Lichterfest Shab-i-Barat auf Palastterrasse,,ISLObjekteFremdbesitz,,Allgemein,um 1730
1891583,,Betelschere aus Silber,,ISLObjekteFremdbesitz,"Gold, Silber, Nephrit, Achat",Allgemein,20. Jahrhundert
1891586,,Portrait des Maharan Pratap Singh II,,ISLObjekteFremdbesitz,,Allgemein,1751-1754
1891587,,Krishnas Frau ehrt den Weisen Narada,,ISLObjekteFremdbesitz,,Allgemein,1700-1725
1891708,,Junge Damen beim Weingenuss,,ISLObjekteFremdbesitz,,Allgemein,1750-70
1891709,,Raja Shamsher Sen beim Rauchen.,,ISLObjekteFremdbesitz,,Allgemein,1760-90
1909350,,Untere Teil einer Opiumpfeife,,ISLObjekteFremdbesitz,,Allgemein,19. Jahrhundert
1923042,,,"Heil, Günther",ISLObjekteFremdbesitz,,Allgemein,
2016133,,Ohne Titel,"Azmeh, Jaber Al",ISLObjekteFremdbesitz,"Fotografie, photography Printed on cotton rag fine art archival paper",Allgemein,2012
2016137,,Untitled,"Roumi, Mohamad Al",ISLObjekteFremdbesitz,photography Printed,Allgemein,
2259256,,Koranfragment,,ISLObjekteFremdbesitz,,Allgemein,10./11. Jahrhundert
2345037,,"Kapitell, syrisch (?)","Erck, Cristina",ISLObjekteFremdbesitz,Stein,Allgemein,300 - 600
2595547,,,,ISLObjekteFremdbesitz,,Allgemein,
2595787,"1878,1230.480",,,ISLObjekteFremdbesitz,"Quarzfritte, rot-brauner Anguss mit blau-grauer, weißer und grüner Bemalung unter transparenter farbloser Glasur, Quarzfritte",Allgemein,1570 - 1600
2595840,"1887,0617.13",,,ISLObjekteFremdbesitz,"Quarzfritte, blauer Anguss mit roter, weißer und grüner Bemalung unter transparenter farbloser Glasur, Quarzfritte",Allgemein,1560 - 1570
2583779,A.JW.1001,,The Sarikhani Collection,ISLObjekteFremdbesitz,,Allgemein,
2585057,A.JW.1003,,The Sarikhani Collection,ISLObjekteFremdbesitz,,Allgemein,
2583766,A.MW.2011, ,The Sarikhani Collection,ISLObjekteFremdbesitz,,Allgemein,
2270157,A.MW.2065,,The Sarikhani Collection,ISLObjekteFremdbesitz,"Bronze (?), gegossen",Allgemein,5./6. Jahrhundert
2222825,Arabe 5847 fol. 119 v,Al-Makamat lil-Hariri,,ISLObjekteFremdbesitz,,Allgemein,
2222824,Arabe 5847 fol. 5 v,Al-Makamat lil-Hariri,,ISLObjekteFremdbesitz,,Allgemein,
2222823,Arabe 5847 fol. 94 v,Al-Makamat lil-Hariri,,ISLObjekteFremdbesitz,,Allgemein,
2222818,Arabe 6094 fol. 93 r,Al-Makamat lil-Hariri,,ISLObjekteFremdbesitz,,Allgemein,
1858109,18218875,,,ISLObjekteFremdbesitz,Gold,Allgemein,1231 - 1250
2300137,Diez A fol 41,"Prophetenbücher, arabisch",,ISLObjekteFremdbesitz,,Allgemein,1325
2300149,Diez A fol. 3,Qisas al-Anbiya,,ISLObjekteFremdbesitz,,Allgemein,1577
2259255,Diez A fol. 70 S. 8 N. 1,Zwei Mongolen beim Koranstudiumin einer Zeltmoschee,,ISLObjekteFremdbesitz,,Allgemein,1. Hälfte 14. Jahrhundert
2300148,"Diez A fol. 71 S. 31, Nr. 1",Madonna in geflammter Mandorla,,ISLObjekteFremdbesitz,,Allgemein,14. Jahrhundert
2300139,Diez A quart. 111,Glaubenslehre von Shams ar-Riyasa Abi al-Barakat,,ISLObjekteFremdbesitz,,Allgemein,um 700/1300
1704865,37.103,Panel from a Cenotaph or Symbolic Coffin with Marquetry decoration,,ISLObjekteFremdbesitz,,Allgemein,2. Hälfte 8. Jahrhundert
1610390,"Diez A fol 72, S. 27",Siyāvosch spielt Polo vor König Afrasiyab,"Diez, Heinrich Friedrich von",ISLObjekteFremdbesitz,"Deckfarben und Gold auf Papier, Deckfarben, Gold, Papier",Allgemein,1330 - 1350?
2012478,G_1,Zeichen IV - vierteilig,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Druckgrafik auf Papier (Bütten), Aquatinta-Reservage, 3x türkisblau, 1 x orange, gerahmt",Allgemein,2009
2012531,G_11,Ohne Titel 6,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Tuschezeichnung auf Grafikpapier (Bütten Hahnemühle), Tusche auf Papier, in blau",Allgemein,2015
2012535,G_12,Ohne Titel,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Tuschezeichnung auf Grafikpapier (Bütten Hahnemühle), Tusche auf Papier, in rot",Allgemein,2015
2012536,G_13,Ohne Titel 1,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Tuschezeichnung auf Grafikpapier (bütten Hahnemühle), Tusche auf Papier, in rot",Allgemein,2015
2012543,G_16,Ohne Titel 15,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Tuschezeichnung auf Grafikpapier (Bütten Hahnemühle), Tusche auf Papier, in rot",Allgemein,2015
2012471,G_2,Zeichen V,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Druckgrafik auf Papier (Bütten), Aquatinta-Reservage, in blaugrün, gerahmt",Allgemein,2009
2012555,G_21,Ohne Titel 2,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Tuschezeichnung auf Grafikpapier (Bütten Hahnemühle), Tusche auf Papier, in lila",Allgemein,2015
2012481,G_3,Zeichen VI,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Druckgrafik auf Papier (Bütten), Aquatinta-Reservage, in blaugrün, in Objektrahmen, 135 x 125, gerahmt",Allgemein,2009
2012514,G_4,Ohne Titel 1,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Tuschezeichnung auf Grafikpapier (Bütten Hannemühle), auf Hartschaumplatte aufgebracht, Tusche auf Papier, in blau",Allgemein,2015
2012516,G_5,Ohne Titel 3,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Tuschezeichnung auf Grafikpapier (Bütten Hannemühle) Tusche auf Papier, in blau",Allgemein,2015
2012519,G_6,Ohne Titel 2,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Tuschezeichnung auf Grafikpapier (Bütten Hannemühle) Tusche auf Papier, in blau",Allgemein,2015
2012521,G_7,Ohne Titel,"Aatifi, Homayon",ISLObjekteFremdbesitz,"Adruckgrafik auf Papier (Bütten), Aquatinta-Reservage, in blau",Allgemein,2010
2259244,Ff_01,Abu Daama 1998,"Roumi, Mohamad Al",ISLObjekteFremdbesitz,photography Printed,Allgemein,1998
