ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1520233,,DATENSATZ LÖSCHEN,,ISLObjekteRuB2,Metall,Allgemein,
1520993,, ,,ISLObjekteRuB2,Metall,Allgemein,
1521803,,,,ISLObjekteRuB2,Metall,Allgemein,
1528313,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
1528722,,,,ISLObjekteRuB2,Stuck,Allgemein,
1529263,,,,ISLObjekteRuB2,Keramik,Allgemein,
1529292,,,,ISLObjekteRuB2,Keramik,Allgemein,
1529622,,,,ISLObjekteRuB2,Keramik,Allgemein,
1529677,,,,ISLObjekteRuB2,Keramik,Allgemein,
1529710,,,,ISLObjekteRuB2,Stein,Allgemein,
1529771,,,,ISLObjekteRuB2,Keramik,Allgemein,
1529876,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
1529877,,Inventarisierungsproblem,,ISLObjekteRuB2,Teppich,Allgemein,
1529878,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
1529881,,,,ISLObjekteRuB2,Keramik,Allgemein,
1529927,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
1529929,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
1529952,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
1529967,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
1530039,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
1530277,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
1530314,,,,ISLObjekteRuB2,"Holz, Aleppo-Zimmer",Allgemein,
1530316,,,,ISLObjekteRuB2,"Holz, Aleppo-Zimmer",Allgemein,
1530337,,,,ISLObjekteRuB2,"Holz, Aleppo-Zimmer",Allgemein,
1530343,,Inventarisierungsproblem,,ISLObjekteRuB2,,Allgemein,
2592845,,,,ISLObjekteRuB2,,Allgemein,
1527362,?,,,ISLObjekteRuB2,Stuck,Allgemein,
1525902,"? (Kasten12, Position13)",,,ISLObjekteRuB2,Papier,Allgemein,
1529061,?1-?17,,,ISLObjekteRuB2,Keramik,Allgemein,
1526675,"17, 18, 22, 25, 26",,,ISLObjekteRuB2,Keramik,Allgemein,
1526893,18/6,,,ISLObjekteRuB2,Keramik,Allgemein,
1524291,"1871,274",,,ISLObjekteRuB2,"Quarzfritte, weißer Anguss, blaue, rote, grüne und schwarze Bemalung unter transparenter farbloser Glasur, fritware, white slip, blue, red, green and black painting under transparent colourless glaze, Quarzfritte, fritware",Allgemein,16. Jahrhundert
1524291,"1871,274",,,ISLObjekteRuB2,"Quarzfritte, weißer Anguss, blaue, rote, grüne und schwarze Bemalung unter transparenter farbloser Glasur, fritware, white slip, blue, red, green and black painting under transparent colourless glaze, Quarzfritte, fritware",Allgemein,Osmanen
1524291,"1871,274",,,ISLObjekteRuB2,"Quarzfritte, weißer Anguss, blaue, rote, grüne und schwarze Bemalung unter transparenter farbloser Glasur, fritware, white slip, blue, red, green and black painting under transparent colourless glaze, Quarzfritte, fritware",Allgemein,Ottomans
1524291,"1871,274",,,ISLObjekteRuB2,"Quarzfritte, weißer Anguss, blaue, rote, grüne und schwarze Bemalung unter transparenter farbloser Glasur, fritware, white slip, blue, red, green and black painting under transparent colourless glaze, Quarzfritte, fritware",Allgemein,16th century
1524290,"1871,280",,,ISLObjekteRuB2,"Quarzfritte, weißer Anguss, blaue, rote, grüne und schwarze Bemalung unter transparenter farbloser Glasur, fritware, white slip, blue, red, green and black painting under transparent colourless glaze, Quarzfritte, fritware",Allgemein,16. Jahrhundert
1524290,"1871,280",,,ISLObjekteRuB2,"Quarzfritte, weißer Anguss, blaue, rote, grüne und schwarze Bemalung unter transparenter farbloser Glasur, fritware, white slip, blue, red, green and black painting under transparent colourless glaze, Quarzfritte, fritware",Allgemein,Ottomans
1524290,"1871,280",,,ISLObjekteRuB2,"Quarzfritte, weißer Anguss, blaue, rote, grüne und schwarze Bemalung unter transparenter farbloser Glasur, fritware, white slip, blue, red, green and black painting under transparent colourless glaze, Quarzfritte, fritware",Allgemein,Osmanen
1524290,"1871,280",,,ISLObjekteRuB2,"Quarzfritte, weißer Anguss, blaue, rote, grüne und schwarze Bemalung unter transparenter farbloser Glasur, fritware, white slip, blue, red, green and black painting under transparent colourless glaze, Quarzfritte, fritware",Allgemein,16th century
1524856,"1871,284",,,ISLObjekteRuB2,"Irdenware, opake weiße, türkisfarbene, auberginefarbene und dunkelblaue Glasur, cuerda seca Technik, earthenware, opaque white, yellow, turquoise, aubergine-coloured and dark blue glaze, cuerda seca technique, Irdenware, earthenware",Allgemein,um 1450
