ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2281083,14105382,"Berlin, Wettbewerb SFB-Fernsehzentrum","Siegmann, Gerhard",KBArchitekturzeichnung,"Holz, Karton, Holz, Karton",Allgemein,1960
2281085,14105383,ohne Titel,"Siegmann, Gerhard",KBArchitekturzeichnung,"Holz, Karton, Holz, Karton",Allgemein,
2300245,14106080,Wasserstadt Berlin-Oberhavel,"Kleihues, Josef Paul",KBArchitekturzeichnung,"Holz, Gips, Styropor, Holz, Gips, Styropor",Allgemein,
2300247,14106081,Haveleck,Unbekannter Künstler,KBArchitekturzeichnung,"Kunststoff, Holz, Kunststoff, Holz",Allgemein,
2300249,14106082,"Terrace, Terrassenhäuser","Lutsch, Helmut M.",KBArchitekturzeichnung,"Kunststoff, Karton, Kunststoff, Karton",Allgemein,
2313668,14106701,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1155","Alés, Beatriz",KBArchitekturzeichnung,"Holz, Karton Kunststoff, Holz, Karton Kunststoff",Allgemein,2015
2313679,14106702,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1151","Heinle, Wischer und Partner, Freie Architekten",KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2015
2313684,14106703,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1358","Choe, Yoon-Jung",KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2015
2313696,14106704,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1006","Domingos, Pedro",KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2015
2313710,14106705,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1300","Weyell, Christian",KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2015
2313737,14106706,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1031",Dost Architektur,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2015
2313745,14106707,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1144","Topotek 1, Gesellschaft von Landschaftsarchitekten mbH",KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2015
2313748,14106708,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1281",Shenzhen Huahui Design,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2015
2313749,14106709,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1115",Arga16,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2015
2313754,14106711,"Berlin, Ideenwettbewerb Nationalgalerie20, Nr. 1361","Hoogen, Florian",KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2015
2313960,14106715,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1032, 1. Preis",Herzog & de Meuron,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2313980,14106716,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1020, 3. Preis",Bruno Fioretti Marquez Architekten,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2313989,14106717,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1001, 2. Preis",Lundgaard & Tranberg Arkitekter,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2313993,14106718,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1018, Anerkennung",OMA - Office for Metropolitan Architecture,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2314014,14106719,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1015, Anerkennung",Staab Architekten,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2314017,14106720,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1027, Anerkennung",SANAA,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2314022,14106721,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1006, Anerkennung",Aires Mateus & Associados,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2320169,14107103,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1040",Shenzhen Huahui Design,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2320174,14107104,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1021","Heinle, Wischer und Partner, Freie Architekten",KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2320179,14107105,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1028",Zaha Hadid Architects,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2320182,14107106,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1013",Grüntuch Ernst Architekten,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2338871,14107347,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1003","Domingos, Pedro",KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
2338878,14107348,"Berlin, Realisierungswettbewerb Nationalgalerie20, Nr. 1019",MAP Architects,KBArchitekturzeichnung,"Holz, Kunststoff, Holz, Kunststoff",Allgemein,2016
