ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2429390,,,,KBBuchkunstundNeueMedien,,Allgemein,
2437825,,Blinddruck auf Kleistergrund (kombiniert mit Modeldruck),Unbekannter Künstler,KBBuchkunstundNeueMedien,"Alte Kleisterpapiere (Modeldruckpapier), Kleister & Farbe (violett, gelb, grün) & Papier, Färbung & Modeldruck (Stempeldruck)",Allgemein,18. Jahrhundert
2572471,,,,KBBuchkunstundNeueMedien,,Allgemein,
2585786,1/2018/14,Frègoli,"Tàpies, Antoni",KBBuchkunstundNeueMedien,"Künstlerbuch mit Lithografien, Einbandmaterial: Velurpapier, Papier, Lithografie, Ganzgewebeband mit Prägung",Allgemein,1969
2585785,1/2018/15,Nocturn Matinal,"Tàpies, Antoni",KBBuchkunstundNeueMedien,"Künstlerbuch mit Lithografien, Papier Guarro, Lithografie, Ungebunden"";"" lose Lagen",Allgemein,1970
2585788,1/2018/16,Llambrec material,"Tàpies, Antoni",KBBuchkunstundNeueMedien,"Künstlerbuch mit Lithografien, Rives Bütten, Lithografie",Allgemein,1975
2585789,1/2020/7,Sinnieren über Schmutz,"Tàpies, Antoni",KBBuchkunstundNeueMedien,"Künstlerbuch mit Lithografien, Rives-Bütten, Lithografie",Allgemein,1976
2585791,1/2020/8,Carrer de Wagner,"Tàpies, Antoni",KBBuchkunstundNeueMedien,"Künstlerbuch mit Gravuren, Papier Aquari",Allgemein,1988
2230312,14064970,Ein wahrhaft guter Mensch Comoedie von Otto Erich Hartleben,"Behrens, Peter",KBBuchkunstundNeueMedien,"Lithographie, Druckfarbe & Papier, Lithographie",Allgemein,1899
2324784,14113841,Exlibris Weber-Andrae,"Simons, Anna",KBBuchkunstundNeueMedien,Klischeedruck auf Papier,Allgemein,1925
2324847,14113843,Exlibris Buecherei Walter Bloem,"Simons, Anna",KBBuchkunstundNeueMedien,Klischeedruck auf Papier,Allgemein,1926
2324849,14113844,Exlibris Alfons Reichsritter Wunschheim von Lilienthal,"Simons, Anna",KBBuchkunstundNeueMedien,Klischeedruck auf Papier,Allgemein,1923
2324857,14113847,Exlibris H G,"Simons, Anna",KBBuchkunstundNeueMedien,Klischeedruck auf Papier,Allgemein,1925
2324859,14113848,Exlibris FAB,"Simons, Anna",KBBuchkunstundNeueMedien,Klischeedruck auf Papier,Allgemein,1925
2324860,14113849,Exlibris Boll,"Simons, Anna",KBBuchkunstundNeueMedien,Klischeedruck auf Papier,Allgemein,1925
2324863,14113850,Bruxelles,"Simons, Anna",KBBuchkunstundNeueMedien,Umdruck auf Papier,Allgemein,1910
2326257,14113853,Zehn Gebote für das Druckgewerbe,"Wieynck, Heinrich",KBBuchkunstundNeueMedien,"Druckfarbe (grün) & Druckfarbe (schwarz) & Papier, Buchdruck",Midas-Objekt,1910
2326259,14113854,Doctor-Diplom,"Wieynck, Heinrich",KBBuchkunstundNeueMedien,Umdruck auf Papier,Allgemein,1910
2326263,14113855,Die Küsse des Johannes Secundus (Probedruck),"Wieynck, Heinrich",KBBuchkunstundNeueMedien,"Zinkätzung auf Papier, Velinpapier, Zinkätzung",Midas-Objekt,1906
2326268,14113856,An den Geist des Johannes Secundus (Probedruck),"Wieynck, Heinrich",KBBuchkunstundNeueMedien,"Zinkätzung auf Papier, Velinpapier, Zinkätzung",Midas-Objekt,1906
2326270,14113857,"Brentano, Abendständchen (Probedruck)","Wieynck, Heinrich",KBBuchkunstundNeueMedien,"Zinkätzung auf Papier, Velinpapier, Zinkätzung",Midas-Objekt,1906 - 1909
2326273,14113858,Handzeichnungen von Watteau (Probedruck),"Wieynck, Heinrich",KBBuchkunstundNeueMedien,"Buchdruck auf Papier, Papier, Buchdruck",Midas-Objekt,1909
2326384,14113860,Berndorfer Metallwarenfabrik Arthur Krupp,"Wieynck, Heinrich",KBBuchkunstundNeueMedien,"Buchdruck auf Papier, Velinpapier, Buchdruck",Midas-Objekt,1918 - 1928
2326395,14113861,The Berndorf Metal Works Arthur Krupp London Depot,"Wieynck, Heinrich",KBBuchkunstundNeueMedien,"Buchdruck auf Papier, Velinpapier, Buchdruck",Midas-Objekt,1918 - 1928
2326396,14113862,"Fabbrica Merci di Metallo di Berndorf Arthur Krupp, Filiale di Milano","Wieynck, Heinrich",KBBuchkunstundNeueMedien,"Buchdruck auf Papier, Velinpapier, Buchdruck",Midas-Objekt,1918 - 1928
2551536,14115346,"William Morris Lassen Sie uns die alte Kunst mit Klugheit erforschen"";"" aber seien wir zu gleicher Zeit fest entschlossen, sie weder nachzuahmen noch zu wiederholen","Weiss, Emil Rudolf",KBBuchkunstundNeueMedien,"Buchdruck, Druckfarbe & Papier, Buchdruck",Allgemein,
2571255,14116006,The Work of Edward Burne Jones,"Crane, Walter",KBBuchkunstundNeueMedien,"Buchdruck, Druckfarbe & Papier, Buchdruck",Allgemein,1901
2574103,14116076,Universalexlibris Deutscher Dichterdank 1932,"Orlik, Emil",KBBuchkunstundNeueMedien,Klischeedruck in schwarz,Allgemein,1932
2575407,14116113,Der Spiegel. Jahrbuch des Propyläen Verlages,"Orlik, Emil",KBBuchkunstundNeueMedien,"?, Farbe & Papier (gelblich)",Allgemein,1923 - 1924
2575547,14116122,Cartoons for the Cause,"Crane, Walter",KBBuchkunstundNeueMedien,"Lithographie, Druckfarbe & Papier, Lithographie",Allgemein,1896
