ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1586702,,ÜBERSCHREIBEN,"Losta, Christin",KBExternes,"Farbfotografie, Farbfotografie",Fotografie,
1604591,,Giorgio Armani. An exhibition of visionary works from the last 25 years,"Munro, Tom",KBExternes,,Midas-Objekt,2003
1871408,,Dreispänniger Schlitten (Troika),"Mazourine, Alexis S.",KBExternes,,Fotografie,1893
1871414,,Kartoffelernte,"Linde, Richard",KBExternes,,Fotografie,1895
1871547,,Heimkehr,"Meyner, O.",KBExternes,,Fotografie,1896
1871584,,Sonnenstrahlen,"Hannon, Edouard",KBExternes,,Fotografie,1896
1871609,,Staubiger Weg,"Misonne, Léonard",KBExternes,,Fotografie,1897
1871649,,Ohne Titel (beim Ernten),"Prössdorf, Robert",KBExternes,,Fotografie,1898
1871703,,Un chariot de fumier,"Misonne, Léonard",KBExternes,Silbergelatinepapier,Fotografie,1897
1871732,,Im Dorf,"Misonne, Léonard",KBExternes,,Fotografie,1898
1871763,,Heimfahrt,"Mazourine, Alexis S.",KBExternes,,Fotografie,1898
1871764,,"Ohne Titel (Winterszene, Tauwetter)","Misonne, Léonard",KBExternes,,Fotografie,1898
1871770,,Auf der Landstraße,"Misonne, Léonard",KBExternes,,Fotografie,1899
1871772,,Ohne Titel (Fuhrwerk),"Dardonville, L.",KBExternes,,Fotografie,1899
1871780,,Schnee und Nebel,"Schmidt, Bruno",KBExternes,Silbergelatinepapier,Fotografie,1900
1871786,,Ohne Titel (Fuhrwerk auf Landstraße),"Ceumern, Ida von",KBExternes,,Fotografie,1901 (oder früher)
1871796,,Grauer Tag,"Möller, J.",KBExternes,,Fotografie,1904 (oder früher)
1871801,,Schwere Arbeit,"Kusmitsch, Karl Leo",KBExternes,,Fotografie,1906
1871806,,Heimkehr,"Petschka, Ludwig",KBExternes,,Fotografie,1906
1871818,,Brouillard et Poussière,"Misonne, Léonard",KBExternes,,Fotografie,1907
1871819,,Schattiger Weg,"Bandelow, Wilhelm Carl Friedrich",KBExternes,,Fotografie,1907
1871821,,Off Cockling,"Ward, S. E.",KBExternes,,Fotografie,1907
1871825,,Auf der Landstraße,"Angerer, Feri",KBExternes,,Fotografie,1908
1871842,,In the twilight,"Sawyer, Lyddell",KBExternes,Heliogravüre,Fotografie,1888
1871851,,Vor einem friesischen Haus,"Dreesen, Wilhelm",KBExternes,,Fotografie,1893
1871854,,Brief nach Hause,"Hauger, Alexander",KBExternes,,Fotografie,1894 (oder früher)
1871862,,Dame im Torweg,"Steichen, Edward Jean",KBExternes,,Fotografie,1897
1871903,,Aufbruch zur Jagd,"Coste, Ferdinand",KBExternes,,Fotografie,1897
1871904,,Zwei Dorfkatzen,"Benthien, Paul",KBExternes,,Fotografie,1897
1871912,,"Ohne Titel (Hühner, Gänse füttern)","Behrens, Esther",KBExternes,,Fotografie,1898
1871915,,Abend im Dorfe,"Coste, Ferdinand",KBExternes,,Fotografie,1899
1871916,,Frau in Durchgang,"Demachy, Robert",KBExternes,,Fotografie,1900
1871917,,The old fashioned garden,"Eickemeyer, Rudolf",KBExternes,,Fotografie,1901
1871919,,Mann mit Hund,"Weiss, Karl",KBExternes,,Fotografie,1901
1871928,,Skizze,"Steichen, Edward Jean",KBExternes,Gummidruck,Fotografie,1901-1902
1871930,,Ohne Titel (beim Blumenpflücken),"Dubreuil, Pierre",KBExternes,,Fotografie,1902 (oder früher)
1871931,,Ohne Titel (Im Regen),"Misonne, Léonard",KBExternes,,Fotografie,1904
1871937,,Ohne Titel (Frauen),Liliencron,KBExternes,,Fotografie,1907
1871941,,Eifeldorfbrücke,"Scharf, Otto",KBExternes,,Fotografie,1907
1871944,,El Toros,"Coburn, Alvin Langdon",KBExternes,Heliogravüre,Fotografie,1909
1871951,,Le Repas des Tourbiers,"Puyo, Constant Emile Joachim",KBExternes,Heliogravüre,Fotografie,um 1900
1871953,,Ohne Titel (Im Schuppen),"Gey-Wangemann, M.",KBExternes,Gummidruck,Fotografie,um 1900
1871956,,Ohne Titel (Frau im Garten),"Gottheil, Albert",KBExternes,,Fotografie,um 1900
1871958,,Aus Süddeutschland,"Hofmeister, Theodor",KBExternes,,Fotografie,um 1900
1872238,,Feierabend,"Jaffé, S.",KBExternes,,Fotografie,um 1900
1872289,,Jurchi Femter (?),"Bandelow, Wilhelm Carl Friedrich",KBExternes,Silbergelatinepapier,Fotografie,um 1900
1872290,,Reflexe,"Arning, Eduard Christian",KBExternes,,Fotografie,1898
1872296,,Lesende Holländerin,"Huysser, Johan F. J.",KBExternes,,Fotografie,1899
1872305,,Feierabend,"Kleintjes, J.",KBExternes,Heliogravüre,Fotografie,1905 (oder früher)
1872308,,Im Atelier,"Marshall, Arthur",KBExternes,,Fotografie,1906 (oder früher)
1872313,,Ohne Titel (Beim Uhraufziehen),"Kleintjes, J.",KBExternes,Heliogravüre,Fotografie,1908 (oder früher)
1872341,,Am Spinde,"Kleintjes, J.",KBExternes,Heliogravüre,Fotografie,1908 (oder früher)
1872344,,Beim Frühstück,Binder-Mestro,KBExternes,,Fotografie,1899
1872345,,Alte Schloßtreppe,"Enke, Alfred",KBExternes,,Fotografie,1902
1872346,,Ohne Titel (Auf der Treppe),"Greminger, A. H.",KBExternes,,Fotografie,1906 (oder früher)
1872348,,Der alte Dorfschulmeister,"Benthien, Paul",KBExternes,,Fotografie,1905
1872351,,Mahlzeit im Fischerhaus,"Pichier, Paul",KBExternes,Gummidruck,Fotografie,1906
1872360,,In der Räucherkate,"Möller, Th.",KBExternes,,Fotografie,1906
1872374,,Schäfer in seinem Haus,"Hauers, Gertr.",KBExternes,,Fotografie,1911
1872395,,Klatscherei,"Niepert, Otto",KBExternes,,Fotografie,1895
1872401,,Am Ufer des Baches,"Misonne, Léonard",KBExternes,,Fotografie,1903
1872443,,Sur la Porte,"Misonne, Léonard",KBExternes,Platindruck,Fotografie,1905
1872482,,An Jubé,"Mathy, Ph.",KBExternes,,Fotografie,1906
1872507,,In der Kirche,"Kröhnke, Otto",KBExternes,,Fotografie,1910
1872518,,In der Kirche,"Kann, P.",KBExternes,,Fotografie,um 1900
1872547,,Ohne Titel (Blick),"Hofmeister, Theodor",KBExternes,,Fotografie,1899
1872549,,Ohne Titel (Knabe vor Bäumen),"Scholz, Theodor und Rudolf",KBExternes,,Fotografie,1903
1872550,,Holländisches Mädchen,"Gusserow, Charlotte Elisabeth",KBExternes,Gummidruck,Fotografie,1903
1872551,,Hol' über!,"Reichelm, K.",KBExternes,,Fotografie,1905
1872552,,Der Spaziergang,"Angerer, Feri",KBExternes,,Fotografie,1907
1872575,,Excitement,"Sutcliffe, Frank Meadow",KBExternes,Platindruck,Fotografie,1888
1872578,,Däumling,"Mazourine, Alexis S.",KBExternes,Albuminpapier,Fotografie,1893
1872617,,Zum Totlachen,"Moore, Clarence Bloomfield",KBExternes,,Fotografie,1893
1872647,,Pipa,"Annan, James Craig",KBExternes,Heliogravüre,Fotografie,1896
1872649,,Retour des Champs,"Bourgeois, Paul Louise Alexandre",KBExternes,,Fotografie,1896
1872654,,Ohne Titel (Betendes Kind im Bett),"Mayer, Ferdinand",KBExternes,,Fotografie,1897
1872656,,Auf der Treppe,"Einbeck, Georg",KBExternes,,Fotografie,1898
1872657,,Ohne Titel (Strickendes Mädchen),"Kaemmerer, Elisabeth",KBExternes,,Fotografie,1898
1872659,,Ohne Titel (Junge in Tür),"Bourgeois, Paul Louise Alexandre",KBExternes,,Fotografie,1898
1872662,,Tanz russischer Bauernjungen,"Mazourine, Alexis S.",KBExternes,,Fotografie,1898
1872665,,Caught in mischief,"Eickemeyer, Rudolf",KBExternes,,Fotografie,1901
