ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2222378,14138058,UNFERTIG - Textilcollage:,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japanpapier (Träger), diverse textile Stoffe, Papier / dünner Karton, Prägedruckpapier, Aquarellfarben, schwarze Tusche und/oder Lack, Wolle  der Baumwolle zum Ausfüttern, Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222381,14138059,UNFERTIG - Textilcollage: Sitzende Dame,Unbekannter Künstler,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japanpapier (Träger), diverse textile Stoffe, Papier / dünner Karton, Aquarellfarben, schwarze Tusche und/oder Lack, Rohwolle oder Baumwolle (Füllmaterial), Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222382,14138060,UNFERTIG - Textilcollage: Mann mit Waffen,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japanpapier (Träger), diverse textile Stoffe, Papier / dünner Kartonn, Prägedruckpapier, Aquarellfarben, schwarze Tusche und/oder Lack"";"" Rohwolle oder Baumwolle (Füllmaterial), Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222383,14138061,Textilcollage: Dienerin einer Samurai-Gemahlin,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japanpapier (Träger), diverse textile Stoffe, Papier / dünner Karton, Prägedruckpapier, Aquarellfarben, schwarze Tusche und/oder Lack"";"" Rohwolle oder Baumwolle (Füllmaterial), Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222433,14138062,UNFERTIG - Textilcollage: Herr mit Sonnenschirm,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japanpapier (Träger), diverse textile Stoffe, Ppaier / dünner Karton, Aquarellfarben"";"" Rohwolle oder Baumwolle (Füllmaterial), Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222435,14138063,UNFERTIG - Textilcollage: Würdenträger mit Waffe,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japanpapier (Träger), diverse textile Stoffe, Papier / dünner Karton, Prägedruckpapier, Aquarellfarben, schwarze Tusche und/oder Lack"";"" Rohwolle oder Baumwolle (Füllmaterial), Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222437,14138064,UNFERTIG - Textilcollage:,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japanpapier (Träger), diverse textile Stoffe, Papier / dünner Karton, Aquarellfarben, Rohwolle oder Baumwolle (Füllmaterial), Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222439,14138065,UNFERTIG - Textilcollage:,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japanpapier (träger), diverse textile Stoffe, Papier / dünner Karton, Prägedruckpapier, Aquarellfarben, schwarze Tusche und/oder Lack"";"" Rohwolle oder Baumwolle (Füllmaterial), Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222478,14138066,UNFERTIG - Textilcollage:,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japanpapier (Träger), diverse textile Stoffe, Papier / dünner Karton, Prägedruckpapier, Aquarellfarben, schwarze Tusche und/oder Lack"";"" Rohwolle oder Baumwolle (Füllmaterial), Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222480,14138067,UNFERTIG - Textilcollage: Dienerin einer Samurai-Gemahlin,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Japapnpapier (Träger), diverse textile Stoffe, Papier / dünner Karton, Prägedruckpapier, Aquarellfarben, schwarze Tusche und/oder Lack"";"" Rohwolle oder Baumwolle (Füllmaterial), Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222482,14138068,Textilcollage: Hofdame,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222486,14138069,UNFERTIG - Textilcollage: Porzellanverkäufer,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222487,14138070,Textilcollage: Feuerwehrmann der Kaufmannsklasse,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222488,14138071,UNFERTIG - Textilcollage: Dame mit Hündchen,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222489,14138072,UNFERTIG - Textilcollage: Dame mit Kind,Sakaeda,KBModekarikatur,"Textilcollage auf Papier, Oshi-e, Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222491,14138073,Textilcollage: Dame mit Sonnenschirm,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222492,14138074,Textilcollage: Dame mit Fächer,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222493,14138075,Textilcollage: Dame,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222494,14138076,Textilcollage: Frau mit Kind am Rücken,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222495,14138077,Textilcollage: Sitzende Dame mit Fächer,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222496,14138078,Textilcollage: Sitzende Dame mit zwei Fächern,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222497,14138079,Textilcollage: Dame mit Lampion,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222498,14138080,Textilcollage: Sitzende Dame mit Buch,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222499,14138081,"Textilcollage: Sitzende Dame mit Messer, Frucht und Schale",Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222500,14138082,Textilcollage: Zwei Damen im Raum,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222501,14138083,"Textilcollage: Dame mit Tablett, Deckelschale und Stäbchendose",Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222502,14138084,Textilcollage: Dame mit Buch,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
2222503,14138085,Textilcollage: Sitzende Dame,Sakaeda,KBModekarikatur," Textilcollage auf Papier, Oshi-e,  Textilcollage auf Papier, Oshi-e",Allgemein,vor 1912
