ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2266738,14105364,"Dresden, Siedlung Hellerau, Häuser",Unbekannter Künstler,KBMuseumfurFotografie,"Kollodiumpapier, Kollodiumpapier",Allgemein,um 1910
2266741,14105365,"Dresden, Siedlung Hellerau, Häuser",Unbekannter Künstler,KBMuseumfurFotografie,"Kollodiumpapier, Kollodiumpapier",Allgemein,um 1910
2266743,14105366,"Dresden, Siedlung Hellerau, Häuser",Unbekannter Künstler,KBMuseumfurFotografie,"Kollodiumpapier, Kollodiumpapier",Allgemein,um 1910
2266744,14105367,"Dresden, Siedlung Hellerau, Häuser",Unbekannter Künstler,KBMuseumfurFotografie,"Kollodiumpapier, Kollodiumpapier",Allgemein,um 1910
2266745,14105368,"Dresden, Siedlung Hellerau, Straße",Unbekannter Künstler,KBMuseumfurFotografie,"Kollodiumpapier, Kollodiumpapier",Allgemein,um 1910
2266747,14105369,"Dresden, Siedlung Hellerau, Straße",Unbekannter Künstler,KBMuseumfurFotografie,"Kollodiumpapier, Kollodiumpapier",Allgemein,um 1910
2231113,14206220,"Berlin, St. Marien-Kirche, Blick auf die Orgel",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,1891
2231121,14206221,"Berlin, St. Marien-Kirche, Kanzel",Unbekannter Künstler,KBMuseumfurFotografie,"Silbergelatinepapier, Silbergelatinepapier",Fotografie,
2267503,14206430,"München, Ehrentempel am Königsplatz, Sarkophage",Unbekannter Künstler,KBMuseumfurFotografie,"Silbergelatinepapier, Silbergelatinepapier",Fotografie,1938 - 1939
2267506,14206432,"München, Königsplatz",Unbekannter Künstler,KBMuseumfurFotografie,"Silbergelatinepapier, Silbergelatinepapier",Fotografie,1938 - 1939
2279903,14206447,"St. Marie-Aux-Chênes, Der """"""""Barmer Hülfsverein"""""""" nach der Schlacht",Ernst Lucke & Co.,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,1870
2280768,14206448,"Paris, Saint-Eustache","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281028,14206449,"Paris, Palais de Justice","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281040,14206450,"Paris, Tour St. Jaques","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281042,14206451,"Paris, Arc de L'Étoile","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281044,14206453,"Paris, Pavillon Turgot","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281065,14206454,"Paris, Pavillon d'Horloge","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281071,14206455,"Paris, Hôtel de Ville","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1875
2281075,14206456,"Paris, Sainte-Chapelle","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281076,14206457,"Paris, Nouveau Louvre","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281079,14206458,"Paris, Saint-Germain-l’Auxerrois","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281082,14206459,"Paris, Panthéon","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281089,14206460,"Paris, Place Napoléon","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281093,14206461,"Paris, Pavillon des Tuileries","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281096,14206462,"Paris, Hôtel des Invalides","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281097,14206463,"Paris, Louvre","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281100,14206464,"Paris, Bibliothèque Impériale du Louvre","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281103,14206465,"Arles, Antikes Theater","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281107,14206466,"Paris, Place du Carrousel","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281112,14206467,"Paris, Panorama Pont Royal","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281114,14206468,"Paris, Place de la Concorde","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281115,14206469,"Paris, Porte de la bibliothèque Louvre","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281116,14206470,"Paris, Saint Eustache","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281118,14206471,"Paris, Arc de Triomphe du Carrousel","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2281145,14206478,"Osnabrück, Wohnhaus Krahnstraße 7",Unbekannter Künstler,KBMuseumfurFotografie,Albuminpapier,Allgemein,19. Jh.(2. Hälfte des)
2282422,14206746,"Berlin, Altes Museum, Hauptfassade","Ahrendts, Leopold",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,1855-1860
2282526,14206749,"Berlin, Unter den Linden, Palais des Kaisers Wilhelm I., Universität und Akademie","Ahrendts, Leopold",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,1855-1860
2282551,14206750,"Berlin, Unter den Linden, Neue Wache und Zeughaus","Ahrendts, Leopold",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,1855-1860
2282553,14206751,"Berlin, Altes Museum, Skulpturen-Saal",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1900
2285039,14206752,"Paris, Place de la Concorde",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285074,14206754,"Paris, Foyer public du nouvel Opéra",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285077,14206756,"Paris, Parc du Palais du Champs de Mars",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285079,14206757,"Paris, Avenue de L'Opera",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285080,14206758,"Paris, Panorama des Paris les Tuileries",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285082,14206759,"Paris, Salle de L'Opera",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285083,14206760,"Paris, Escalier de L'Opera",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285085,14206761,"Paris, Foyer de la dance du Nouvel Opera",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285087,14206762,"Paris, Galerie d'apollon au Louvre",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285088,14206763,"Paris, Boulevard des Italiens",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285089,14206764,"Paris, Notre Dame",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285091,14206765,"Paris, Le Louvre",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285092,14206766,"Paris, Panorama de Paris les Champs-Élysées",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285094,14206767,"Paris, Palais des Tuileries",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285095,14206768,"Paris, Grandes Eaux de Versailles",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285097,14206769,"Exposition Universelle de 1878 / (Palais du Trocadéro / M.M. Davioud & Bourdais, Architectes.)",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,1878
2285098,14206770,Boulevard des Italiens,Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285101,14206771,"Paris, Fête nationale 1878",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285109,14206772,"Paris, Grandes Eaux de Saint Cloud",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285115,14206773,"Paris, Galerie Italienne",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285116,14206774,Panorama de l'exposition,Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,1878?
2285123,14206775,"Paris, Episode de Siège de Paris 1870/1871",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285128,14206776,"Paris, Vue sur la Seine",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285180,14206777,"Paris, Jardin Mabille",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285181,14206778,"Paris, Bois du Boulogne",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285182,14206779,"Paris, Panorama de Versailles",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1880
2285338,14206792,Laon,Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,1900 (um)
2285347,14206793,"Laon, Kathedrale",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,1900 (um)
2285420,14206794,"Paris, Notre-Dame","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2285426,14206795,"Paris, Notre-Dame, Vorderansicht","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2285431,14206796,"Paris, Pavillon Colbert, Louvre","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2285437,14206797,"Paris, Louvre","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2285459,14206798,"Brioude, Saint-Julien","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2285469,14206799,"Paris, Cour de vieux Louvre","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2285472,14206800,"Paris, Palais Royal","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2285475,14206801,"Paris, Palais du Luxembourg","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2285478,14206802,"Paris, Louvre, la façade méridionale","Baldus, Edouard Denis",KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2287966,14206805,"Berlin, Lange Brücke, Denkmal des Großen Kurfürsten von Schlüter im Profil","Ahrendts, Leopold",KBMuseumfurFotografie,"albuminisiertes Salzpapier, albuminisiertes Salzpapier",Fotografie,1855-1860
2288446,14206828,"Berlin, Wilhelmstraße 76, der Eingangsbereich des Auswärtigen Amtes mit den beiden Sphingen",Königlich Preußische Messbildanstalt,KBMuseumfurFotografie,Silbergelatinepapier,Fotografie,um 1890
2293629,14207133,"Berlin, Altes Museum, Kuppelhalle von der Galerie axial von Süd nach West",Königlich Preußische Messbildanstalt,KBMuseumfurFotografie,"Silbergelatinepapier, Silbergelatinepapier",Fotografie,um 1890
2293630,14207134,"Berlin, Altes Museum, Hauptfront am Lustgarten axial",Königlich Preußische Messbildanstalt,KBMuseumfurFotografie,"Silbergelatinepapier, Silbergelatinepapier",Fotografie,um 1890
2293631,14207135,"Berlin, Altes Museum, Säulenhalle, Längsbild von West nach Ost",Königlich Preußische Messbildanstalt,KBMuseumfurFotografie,"Silbergelatinepapier, Silbergelatinepapier",Fotografie,um 1890
2300796,14207249,"Florenz, San Michele in Orto",Unbekannter Künstler,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,
2300851,14207251,Paris,Bisson Frères,KBMuseumfurFotografie,"Albuminpapier, Albuminpapier",Fotografie,um 1860
2321704,14207403,"Entwurf für das Großwandwild in der Sporthalle, Berlin-Tegel, Arch.: H. Wolff-Grohmann","Hajek-Halke, Heinz",KBMuseumfurFotografie,"Silbergelatinepapier, Silbergelatinepapier",Fotografie,um 1960
2388790,14208094,Au Vatican. Les Chefs de St. Pierre,,KBMuseumfurFotografie,"Lichtdruck, koloriert, Postkarte, Lichtdruck, koloriert",Allgemein,um 1900
2388797,14208095,Musée du Louvre. La Tiare de Saitapharnès,,KBMuseumfurFotografie,"Lichtdruck, koloriert, Postkarte, Lichtdruck, koloriert",Allgemein,um 1900
2388799,14208096,Musée de Cluny. La Ceinture de chastete de Marguerite de Bourgogne,,KBMuseumfurFotografie,"Lichtdruck, koloriert, Postkarte, Lichtdruck, koloriert",Allgemein,um 1900
2388801,14208097,Musée de St. Pétersbourg. La Colombe de l'Arche de Noe,,KBMuseumfurFotografie,"Lichtdruck, koloriert, Postkarte, Lichtdruck, koloriert",Allgemein,um 1900
2388804,14208098,British Muséum. Les Revolvers de Guillaume le Conquérant,,KBMuseumfurFotografie,"Lichtdruck, koloriert, Postkarte, Lichtdruck, koloriert",Allgemein,um 1900
2388806,14208099,Musée de Vienne. Les Outils de St. Joseph,,KBMuseumfurFotografie,"Lichtdruck, koloriert, Postkarte, Lichtdruck, koloriert",Allgemein,um 1900
