ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2030273,,Zeitgenössische Plakate,,KBNeuerwerbungen,,Allgemein,1993 - 2015
2400289,,Bridge Over Troubled Water: ggg Exhibition Posters 1986-2016,Ginza Graphic Gallery (ggg),KBNeuerwerbungen,,Allgemein,2016
2400292,,Bridge Over Troubled Water: ggg Exhibition Posters 1986-2016,Ginza Graphic Gallery (ggg),KBNeuerwerbungen,,Allgemein,2016
2256286,14138279,Hessische Tracht: Großmutter und Enkel in der Schwalm,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Midas-Objekt,1980 - 1989
2256287,14138280,Hessische Tracht: Altbäuerin aus Wasenberg beim Holzhacken in der Schwalm,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1980 - 1989
2256288,14138281,Hessische Tracht: Evangelische Werktagstracht im Ebsdorfer Grund im Kreis Marburg,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1980 - 1989
2256289,14138282,Hessische Tracht: Katholische Tracht in Schröck im Kreis Marburg,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1990 - 1999
2256290,14138283,Hessische Tracht: Katholische Tracht in Schröck im Kreis Marburg,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier, PE Papier",Allgemein,1990 - 1999
2256291,14138284,Hessische Tracht: Katholische Kirchgangskleidung in Mardorf im Kreis Marburg,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier, PE Papier",Allgemein,1990 - 1999
2256292,14138285,Hessische Tracht: Bäuerin in Werktagstracht in Schrecksbach in der Schwalm,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier, PE Papier",Allgemein,1990 - 1999
2256293,14138286,Hessische Tracht: Trachtenverein in der Schwalm,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier, PE Papier",Allgemein,1990 - 1999
2256294,14138287,"Hessische Tracht: Hochzeitstrachten, Trachtenverein in der Schwalm","Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1990 - 1999
2256295,14138288,Hessische Tracht: Trachtenverein in der Schwalm,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1990 - 1999
2256296,14138289,Hessische Tracht: Altbäuerin in evangelischer Werktagstracht im Ebsdorfer Grund im Kreis Marburg,"Poborsky, Rüdiger",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1980 - 1989
2256297,14138290,Hessische Tracht: Evangelische Werktagstracht in Niederwald im Kreis Marburg,"Poborsky, Josefine",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1980 - 1989
2256298,14138291,Hessische Tracht: Altbäuerin in evangelischer Werktagstracht in Großseelheim im Kreis Marburg,"Poborsky, Josefine",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1990 - 1999
2256299,14138292,Hessische Tracht: Katholische Kirchgangstracht in Mardorf im Kreis Marburg,"Poborsky, Josefine",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier, PE Papier",Allgemein,1990 - 1999
2256300,14138293,Hessische Tracht: Werktagstracht in der Schwalm,"Poborsky, Josefine",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1990 - 1999
2256301,14138294,Hessische Trachten in der Schwalm,"Poborsky, Josefine",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1990 - 1999
2256302,14138295,Hessische Tracht in der Schwalm,"Poborsky, Josefine",KBNeuerwerbungen,"Silbergelatinepapier, Silbergelatinepapier",Allgemein,1990 - 1999
2300623,14139192,"Zeichnungen, Fotografien und Druckgrafik von R. Kalmár-Wilson","Kalmár-Wilson, Ruth",KBNeuerwerbungen,,Allgemein,1938 - 1941
2294139,"2016,025/01-16",Zeitgenössische Plakate,,KBNeuerwerbungen,,Allgemein,2015 - 2016
2294140,"2016,026/001-144",Einladungen und Kleindrucksachen,,KBNeuerwerbungen,,Allgemein,2016
2294141,"2016,026/025a+b",Das Land Bum-Bum,"Bodecker, Albrecht von",KBNeuerwerbungen,"Offsetdruck, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1978
2294211,"2016,036/22",10. Festival Jazzdor Strasbourg Berlin 31.05.-03.06.2016,Helmo,KBNeuerwerbungen,"Siebdruck, Druckfarbe & Papier, Siebdruck",Allgemein,2016
2294144,"2016,036/23",10. Festival Jazzdor Strasbourg Berlin 31.05.-03.06.2016,Helmo,KBNeuerwerbungen,"Siebdruck, Druckfarbe & Papier, Siebdruck",Allgemein,2016
2294149,"2016,036/24",10. Festival Jazzdor Strasbourg Berlin 31.05.-03.06.2016,Helmo,KBNeuerwerbungen,"Siebdruck, Druckfarbe & Papier, Siebdruck",Allgemein,2016
2294150,"2016,036/25",10. Festival Jazzdor Strasbourg Berlin 31.05.-03.06.2016,Helmo,KBNeuerwerbungen,"Siebdruck, Druckfarbe & Papier, Siebdruck",Allgemein,2016
2255631,"2016,052/072-074","Kunststifung NRW, Heft 5 und 6,2005, H. 17, 2010","Bose, Günter Karl",KBNeuerwerbungen,Offsetdruck,Allgemein,2005 - 2010
2255636,"2016,052/072-074","Kunststifung NRW, Heft 5 und 6,2005, H. 17, 2010","Bose, Günter Karl",KBNeuerwerbungen,Offsetdruck,Allgemein,2005 - 2010
2255639,"2016,052/102-105",Programmflyer für musica viva 2013-2016,"Bose, Günter Karl",KBNeuerwerbungen,Offsetdruck,Allgemein,2013 - 2016
2294151,"2016,065","BGW (Berliner Glühlampenwerk), Lampenverpackung","Nitzsche, Günter",KBNeuerwerbungen,,Allgemein,1959
