ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1614775,,"68 Blatt Füllungen und Friese: B. 194, 195, 197-199, 201-203, 206, 11, 213-216, 222-226, 229-238, 240-251, 253-256, 257.II, 260, 261, 266, 69, 271 (=278), 272-277, 279, 281-289.","Aldegrever, Heinrich",KBOSKatalog,"Papier, Kupferstich",Midas-Objekt,1528 - 1553
1819728,,,Unbekannter Künstler,KBOSKatalog,,Allgemein,
1819729,,,Unbekannter Künstler,KBOSKatalog,,Allgemein,
1853767,,VEVE ET PERSPECTIVE DE LA GROTTE ET D’VNE PARTIE DV CANAL aus: Plan und Ansichten von Vaux Le Vicomte. [meist bez:] Israel Siluestre delineauit et sculpsit ...,"Silvestre, Israel",KBOSKatalog,"Papier, Kupferstich",Midas-Objekt,1650/1675
1853769,,VEVE ET PERSPECTIVE DV PARTERRE DES FLEVRS aus: Plan und Ansichten von Vaux Le Vicomte. [meist bez:] Israel Siluestre delineauit et sculpsit ...,"Silvestre, Israel",KBOSKatalog,"Papier, Kupferstich",Midas-Objekt,1650/1675
910073,,"Representation ... des chateaux de Weissenstein ... Wahrhaffte Vorstellung beyder ... Schlösser Weissenstein ob Pommersfeld und Geibach ... nach denen von ... Salomon Kleiner verfertigten Zeichnungen, in Kupfer gestochen und herausgegeben Auf Kösten und Verlag Ieremiae Wolffens seel. Erben in Augspurg. 1728.","Kleiner, Salomon",KBOSKatalog,"Papier, Kupferstich",Midas-Objekt,1728
910076,,"Views Of Picturesque Cottages With Plans ... (Nebentitel:) Cottage Architecture ... By William Atkinson ... London, Printed for T. Gardiner ... 1805.","Atkinson, William (1773)",KBOSKatalog,"Papier, Kupferstich, koloriert, Typendruck",Midas-Objekt,1805
910080,,"Relation Des Fêtes Données Par La Ville De Strasbourg A Leurs Majestés Impériales Et Royales ... 1806, A Leur Retour D'Allemagne ... Strasbourg, De L'Imprimerie De Levrault ... 1806","Zix, Benjamin",KBOSKatalog,"Papier, Kupferstich, Typendruck",Midas-Objekt,1806
910082,,Schreibkunst ... Durch Antonium Newdörffer ...,"Neudörfer, Anton",KBOSKatalog,Papier,Midas-Objekt,
910085,,Systematische Anweisung zum Schön- und Geschwindschreiben und zur Prüfung deutscher Hand- und Druckschriften nach mathematischen Grundsätzen ... bearbeitet von Christian Gottlob Roßberg ...,"Rossberg, Christian Gottlob",KBOSKatalog,Papier,Midas-Objekt,1793-1817
910087,,"(Erster Theil) ... Dresden und Leipzig, im Verlage des Verfassers und in Commission der Hilscherschen Buchhandlung 1793.",Hilschersche Buchhandlung,KBOSKatalog,,Midas-Objekt,1793
910088,,"Zweiter Theil ... Dresden und Leipzig, im Verlage des Verfassers. 1806. (Widmung:) 1807.","Rossberg, Christian Gottlob",KBOSKatalog,,Midas-Objekt,1806-1807
910089,,... Erster Theil ... (Tafelband).,"Rossberg, Christian Gottlob",KBOSKatalog,Radierung,Midas-Objekt,1793-1817
910090,,Zweyter Theil ... (Tafelband).,"Rossberg, Christian Gottlob",KBOSKatalog,Radierung,Midas-Objekt,1793-1817
910093,,(1) Livre De Tombeaux Composés Et Gravés par F. Bo ... A Paris chés la V.e de F. Chereau ...,"Boucher, François (der Jüngere)",KBOSKatalog,"Papier, Kupferstich",Midas-Objekt,1768/1774
910096,,4 Folgen: Säulenordnungen. Dessiné par J. Ch. Delafosse ... et Gravé par J. B. Lucien [L. Fr. Duruisseau] ... Par les soins de J. F. Chereau. A Paris chez Chereau rue des Mathurins ...,"Delafosse, Jean Charles",KBOSKatalog,"Papier, Aquatinta",Midas-Objekt,1776/1780
910098,,"Sacra Exequialia In Funere Jacobi II. Magnae Britanniae Regis ... Exhibita ... In Templo ... Sancti Laurentii in Lucina, Descripta A Carolo De Aquino Societatis Jesu. Romae, Typis Barberinis. 1702. Excudebat Dominicus Antonius Hercules ...","Aquino, Carlo de",KBOSKatalog,"Papier, Kupferstich, Typendruck",Midas-Objekt,1702
910100,,Columna Theodosiana ... Constantinopoli Erecta ... a Gentile Bellino Delineata Nunc Primum Aere Sculpta ... (Schluß des Textes:) Explicationis Columnae ... Claudii Francisci Menetreji ...,"Menestrier, Claude François",KBOSKatalog,"Papier, Kupferstich, Typendruck",Midas-Objekt,1699/1702
910102,,"Sebalden Behems Kunst und Ler Büchlin, Malen vnd Reissen zu lernen ... Zu Franckfurt, Bei Christian Egenolffs Erben. 1565.","Beham, Sebald",KBOSKatalog,"Druckfarbe (schwarz) & Druckfarbe (rot) & Papier, Holzschnitt, Typendruck",Midas-Objekt,1565
910103,,"Hystoria Iasonis Thessaliae Principis de Colchica velleris aurei expeditione: cum figuris aere excusis, Earvmqve Expositione, versibus Priscorum Poêtarum. (Laut Widmung von Ioannes de Mauregard: Erfinder: Leonardus Tyrius, Stecher: Renatus Boyuinus). Ab Jacobo Gohorio Parisiensi. Parisiis ... 1563. Blatt 26 bez: Leonardus Thiri inue. Renatus F.","Thiry, Leonard",KBOSKatalog,"Papier, Kupferstich?",Midas-Objekt,1563
910104,,Livre De Diverses Pensées Alegoriques Pour les Sujets meslez de Figures et d'Ornement. Inventée et dessinée par le Sieur Fouquet - Gravée par Mademoiselle Renard du Bos. A Paris chez du Change ...,"Fouquet, (?)",KBOSKatalog,Papier,Midas-Objekt,um 1700
910107,,"Nachbildung: Ein new kunstbüchlein, von mancherley schönen Trinkgeschiren, zu gut der ybenden jugend der Goldschmidt, Durch Hansen Brösamer ... Fuld, an tag gegeben","Brosamer, Hans",KBOSKatalog,Papier,Midas-Objekt,1882
910108,,3 Folgen Möbel,"Hauer, Jean Jacques",KBOSKatalog,Papier,Midas-Objekt,
910112,,"10 Platten auf 9 Blättern Beschläge, besonders Schloßbeschläge","Torner, Didier",KBOSKatalog,Papier,Midas-Objekt,1622-1625
910113,,"Petrus Iordan Lectori S. D. ... Iohannis Stoeslerini ... uariorum Astrolabiorum compositionem ... in meliorem formam quàm antea fuerant, redigenda. atqz imprimenda curauimus ... 1535 ... (am Schluß:) Mugvntiae Petrvs Iordan excudebat, impensis Petri Quentel ciuis Coloniensis ...","Stöffler, Johannes",KBOSKatalog,"Papier, Typendruck, Holzschnitt",Midas-Objekt,1535
910114,,Architectvra vnd Ausstheilung der V^BF. Seüln.,"Dietterlin, Wendel (der Ältere)",KBOSKatalog,"Papier, Typendruck, Kupferstich",Midas-Objekt,
910115,,"(1. Band:) Architectvra vnd Ausstheilung der V^BF. Seülen. Das Erst Buch. Durch Wendel Ditterlein ... 1593 ... (am Schluß:) Getruckt in ... Stuttgart, im Jar ... 1593.","Dietterlin, Wendel (der Ältere)",KBOSKatalog,,Midas-Objekt,1593
910116,,"(2. Band:) Architectvr von Portalen vnnd Thürgerichten, mancherley arten. Das Annder Buch...1594 (am Schluß:) Gedruckt zu Strassburg bey Bernhard Jobins Erben. Anno 1594 ... (am Schluß:) Gedruckt zu Strassburg, bey Bernhardt Jobins Erben. Anno. 1594.","Jobin, Bernhard (Erben)",KBOSKatalog,,Midas-Objekt,1594
910118,,1 Blatt großer Schmuckstrauß,"Langlois, Francois",KBOSKatalog,Papier,Midas-Objekt,
910119,,Fêtes données ... par La Ville de Paris ... 1782. à ... la Naissance de Monseigneur le Dauphin. Jnventé par P. L. Moreau ... en 1782. Dessiné d'apres nature et gravé par J. M. Moreau le J.e ... Le Festin Royal. (und:) Le Bal Masque.,"Moreau, Jean Michel",KBOSKatalog,"Papier, Kupferstich",Midas-Objekt,1782
910121,,"Machern. (Sommersitz des Reichsgrafen von Lindenau zwischen Leipzig und Wurzen) ... Gezeichnet von Christian Ferdinand Müller. Beschrieben von P. C. G. A(ndrae) ... Leipig, bei Voß und Compagnie. 1798.","Andrae, P. C. G.",KBOSKatalog,"Papier, Kupferstich, koloriert, Typendruck",Midas-Objekt,1798
