ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1547558,,Royal Academy Pictures. Beiing the Royal Academy Supplement to the magazine of Art,"Day, Lewis Foreman",KBPlakat,"Buchdruck, Druckfarbe (blau) & Druckfarbe (schwarz) & Papier, Buchdruck",Allgemein,1894
1567479,,No Smoking,,KBPlakat,,Allgemein,1973
1567659,,"Lady Gaga """"""""The Naked Truth",Terry Richardson,KBPlakat,"Papier, Offsetdruck auf Papier",Druckgraphik,2010
1568262,,Emporio Armani (Victoria Beckham),Mert Alas,KBPlakat,Offsetdruck auf Papier,Allgemein,2009
1568368,,6+ Antwerpse Mode in het Vlaams Parlement,"Boudens, Paul",KBPlakat,Offsetdruck auf Papier,Grafik,2007
1568375,,Palmers. La Belle,"Peters, Vincent",KBPlakat,Offsetdruck auf Papier,Allgemein,2009
1568437,,Vasarely,"Vasarely, Victor",KBPlakat,,Allgemein,
1568445,,To be or (war) not be?,,KBPlakat,,Allgemein,
1586169,,Krater und Wolke Nummer 1,"Penck, A. R. (eigentlich Ralf Winkler)",KBPlakat,,Allgemein,1982
1586764,,Man Ray,"Bexte, Bernd",KBPlakat,,Allgemein,1979
1586766,,Mats Gustavson,,KBPlakat,,Allgemein,
1586979,,Unikate,Trio,KBPlakat,"Druckfarbe (gelb) & Druckfarbe (rot) & Druckfarbe (schwarz) & Papier, Offsetdruck",Midas-Objekt,1995
1590675,,Gruau,"Gruau, René",KBPlakat,,Allgemein,
1611618,,6+ Antwerp Fashion,"Boudens, Paul",KBPlakat,Offsetdruck auf Papier,Allgemein,2003
1612321,,United Colors of Benetton (Behinderte),"Toscani, Oliviero",KBPlakat,"Druckfarbe (blau) & Druckfarbe (rot) & Druckfarbe (gelb) & Druckfarbe (schwarz) & Papier, Offsetdruck",Midas-Objekt,1994
1612953,,Totem Fashion,,KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Druckgraphik,2007
1725998,,Lest die Nationalpost,"Albrecht, Ernst Oscar",KBPlakat,,Allgemein,1925
1816369,,Alte Nationalgalerie Schinkel,"Ott, Nicolaus",KBPlakat,"Papier, Druckfarbe, Offsetdruck auf Papier",Allgemein,2001
2389160,,Berliner Illustrierte Zeitung,"De Finetti, Gino (Cavaliere)",KBPlakat,,Allgemein,
2429257,,Kieler Woche 16 - 24 Juni 2018,"Panholzer, Verena",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,2018
2551563,,Anwendungsbeispiel für das Firmenzeichen Lunch Bier Kennzeichnung von Firmenfahrzeugen,"Stankowski, Anton",KBPlakat,"Farbfotografie, Farbfotografie",Allgemein,1965
2552835,,"[UNFERTIG] Layout für ein Manual der Kreissparkasse Ludwigsburg, 6 Blatt",Grafisches Atelier Stankowski + Duschek,KBPlakat,,Allgemein,
2552894,,[UNFERTIG] Markenzeichen Deutsche Börse AG (Siebdruck aus der Jahresendkarte 1995/96),Grafisches Atelier Stankowski + Duschek,KBPlakat,,Allgemein,
2552901,,"[UNFERTIG] Haniel, Entwurf einer Geschäftsdrucksache mit dem Firmenlogo",Grafisches Atelier Stankowski + Duschek,KBPlakat,,Allgemein,1987
2552910,,"[UNFERTIG] GFM, Entwurf einer Aktenmappe",Grafisches Atelier Stankowski + Duschek,KBPlakat,,Allgemein,
2552922,,[UNFERTIG] Entwürfe für ein Markenzeichen der Kreissparkasse Esslingen-Nürtingen,Grafisches Atelier Stankowski + Duschek,KBPlakat,,Allgemein,
2552964,,[UNFERTIG] Viessmann-Werbeanzeige: Lizenzen statt Grenzen. Japaner sind unsere Lizenz-Nehmer,"Stankowski, Anton",KBPlakat,,Allgemein,1967
2553000,,"[UNFERTIG] VHS, Volkshochschulverband Baden-Württemberg e. V., Entwurf eines Gestaltungssystems für Informationsfaltblätter",Grafisches Atelier Stankowski + Duschek,KBPlakat,,Allgemein,
2553025,,"[UNFERTIG] Planbau / Confair / Zabel und Partner, Entwurf für Firmenlogos",Grafisches Atelier Stankowski + Duschek,KBPlakat,,Allgemein,
2553027,,[UNFERTIG] VIessmann-Funktionsgrafik,Grafisches Atelier Stankowski + Duschek,KBPlakat,,Allgemein,
2560173,,Kaufhaus Schocken Entwurf zur Beschriftung der Firmenfahrzeuge,"Weise, Ernst Paul",KBPlakat,"Bleistiftzeichnung & Zeichnung (Tusche), Bleistift & Tusche & Karton, Bleistiftzeichnung & Zeichnung (Tusche)",Allgemein,1926
2560203,,Kaufhaus Schocken Buchstabenmarke S,"Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Karton, Zeichnung (Tusche)",Allgemein,1926
2560206,,Kaufhaus Schocken Schriftzug Schocken,"Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Karton, Zeichnung (Tusche)",Allgemein,1926
2560279,,Kaufhaus Schocken Warenzeichen Buchstabenmarke S,"Weise, Ernst Paul",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1926 - 1928
2560281,,"Schriftentwurf für das Kaufhaus Schocken Versalien M, W, V, I, F, X, Y","Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Papier, Zeichnung (Tusche)",Allgemein,1926
2560284,,"Schriftentwurf für das Kaufhaus Schocken Versalien L, N, Y, T","Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Papier, Zeichnung (Tusche)",Allgemein,1926
2560294,,"Schriftentwurf für das Kaufhaus Schocken Kleinbuchstaben q, r, s, t","Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Papier, Zeichnung (Tusche)",Allgemein,1926
2560304,,"Schriftentwurf für das Kaufhaus Schocken Kleinbuchstaben a, b, c, d","Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Papier, Zeichnung (Tusche)",Allgemein,1926
2560306,,"Schriftentwurf für das Kaufhaus Schocken Kleinbuchstaben d, o, u, w","Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Papier, Zeichnung (Tusche)",Allgemein,1926
2560307,,"Schriftentwurf für das Kaufhaus Schocken Kleinbuchstaben e, h, g, i, k, l","Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Papier, Zeichnung (Tusche)",Allgemein,1926
2560309,,"Schriftentwurf für das Kaufhaus Schocken Kleinbuchstaben v, f, w, u, x","Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Papier, Zeichnung (Tusche)",Allgemein,1926
2560311,,"Schriftentwurf für das Kaufhaus Schocken Kleinbuchstaben y, z, s, [?], j","Weise, Ernst Paul",KBPlakat,"Zeichnung (Tusche), Tusche & Papier, Zeichnung (Tusche)",Allgemein,1926
2560882,,BASF,Grafisches Atelier Stankowski + Duschek,KBPlakat,"Collage & Zeichnung (Tusche), Tusche & Fotografie (s/w) & Papier, Collage & Zeichnung (Tusche)",Allgemein,1983
2584774,,,,KBPlakat,,Allgemein,
2592531,,Super Kunststrom. Performance Electrics im E-WERK Luckenwalde,"Klingebiel, Lorenz",KBPlakat,Offsetdruck auf Papier,Allgemein,2020
2592537,,Super Super Super Kunst Strom. Performance Electrics im E-WERK Luckenwalde,"Klingebiel, Lorenz",KBPlakat,Offsetdruck auf Papier,Allgemein,2020
2592538,,Trafo. Low-Carbon Kitchen. Samuel Treindl,"Klingebiel, Lorenz",KBPlakat,Offsetdruck auf Papier,Allgemein,2020
930023,,Hans Baldung Grien im Kunstmuseum Basel,Wassermann AG (Basel),KBPlakat,"Druckfarbe & Papier, Offsetdruck",Midas-Objekt,1978
1081561,,Graetz - Lampe,"Wennerberg, Brynolf",KBPlakat,"Lithographie, Druckfarbe, Lithographie",Allgemein,20. Jh. erstes Viertel
2260683,"1-1989,1",Peter Ustinov Beethovens Zehnte,"Matthies, Holger",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1988
2441381,"1-1989,41",Le neveu de Rameau.,Grapus,KBPlakat,"Siebdruck, Druckfarbe & Papier, Siebdruck",Allgemein,1981
2441434,"1-1989,49",Georges Aperghis Liebestod un Opera,Grapus,KBPlakat,"Siebdruck, Druckfarbe & Papier, Siebdruck",Allgemein,1981
2428812,1/2006/6 (5),Radikal Trockenfeuerlöscher,"Dexel, Walter",KBPlakat,"Buchdruck, Druckfarbe & Papier, Buchdruck",Allgemein,1925
2222490,14064908,Landesgewerbeamt. Geschäftsbrief,"Kapitzki, Herbert W.",KBPlakat,"Buchdruck, Feder, schwarze Tusche, Collage, Druckfarbe (schwarz) & schwarze Tusche & Klebstoff & Papier, Buchdruck, Federzeichnung in Schwarz, Collage",Allgemein,1959
2223780,14064929,Mass für Mass,"Matthies, Holger",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1989
2223781,14064930,Nachtasyl,"Matthies, Holger",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1987
2223782,14064931,Wladimir Majakowski Tragödie / Werkstatt,"Matthies, Holger",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1983
2223784,14064932,Unbefleckte Empfängnis,"Matthies, Holger",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1989
2223785,14064933,Wir öffnen Ihnen die Augen !,"Matthies, Holger",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1982
2223788,14064934,Die Tragödie des Macbeth,"Matthies, Holger",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1988
2223792,14064935,Wladimir Majakowski Tragödie / Werkstatt,"Matthies, Holger",KBPlakat,"Offsetdruck auf Papier, Druckfarbe & Papier, Offsetdruck auf Papier",Allgemein,1983
