ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2289034,WZ 00001,"Buchstaben/Ziffern - mehr als drei Buchstaben (Worte/Namen) - Anfangsbuchstabe W - WHATMAN - frei, mit Beizeichen - Buchstaben - J",,KBWasserzeichen,Durchzeichnung,Allgemein,1794
2288443,WZ 00002,Wappen - Gemeine Figuren - Flora - Lilie - eine Lilie (Schild bekrönt) - ohne weitere Belegung - Marke,,KBWasserzeichen,"(1) Durchzeichnung, (2) Foto",Allgemein,
2289912,WZ 00003, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289913,WZ 00004, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289914,WZ 00005, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289915,WZ 00006,Wappen - Gemeine Figuren - Flora - Lilie - eine Lilie (Schild bekrönt) - ohne weitere Belegung - Marke,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289916,WZ 00007,Flora - Blatt/Blüte/Baum - Baum (s. auch Wappen) - Baum/Strauch/mehrblättrige Pflanze - frei - ohne Beizeichen - Laubbaum,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289917,WZ 00008, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289918,WZ 00009,"Wappen - Heroldsbilder - Schild mit Schrägteilung, frei - Doppelbalken - Balken nicht belegt - ohne Belegung - Lilie",,KBWasserzeichen,Durchzeichnung,Allgemein,
2289919,WZ 00010, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289920,WZ 00011, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289921,WZ 00012, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289922,WZ 00013,"Buchstaben/Ziffern - mehr als drei Buchstaben (Worte/Namen) - Anfangsbuchstabe B - BLAUW - frei, mit Beizeichen - Buchstaben - D und C",,KBWasserzeichen,Durchzeichnung,Allgemein,
2289923,WZ 00014, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289926,WZ 00015, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289927,WZ 00016, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289928,WZ 00017, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289929,WZ 00018,"Buchstaben/Ziffern - mehr als drei Buchstaben (Worte/Namen) - Anfangsbuchstabe U/V - VANDERLEY - frei, ohne Beizeichen",,KBWasserzeichen,Durchzeichnung,Allgemein,
2289930,WZ 00019,"Buchstaben/Ziffern - mehr als drei Buchstaben (Worte/Namen) - Anfangsbuchstabe H - HONIG - frei, mit Beizeichen - Buchstaben - C und I",,KBWasserzeichen,Durchzeichnung,Allgemein,
2289931,WZ 00020, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
2289968,WZ 00021, ,,KBWasserzeichen,Durchzeichnung,Allgemein,
