ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1925373,,PRO Stuhl mit C-Gestell,"Grcic, Konstantin",KGMAlleInventare,,Allgemein,
1970994,,,,KGMAlleInventare,,Allgemein,
1972243,,,,KGMAlleInventare,,Allgemein,
1972248,,Sandalette,,KGMAlleInventare,,Allgemein,
2014545,,"Purpurstoff """"""""Schreitender Löwe",,KGMAlleInventare,,Allgemein,
2028886,,Henkelkreuz,,KGMAlleInventare,,Allgemein,
2029289,,"Hellblauer-grauer Herrenanzug, Modell: Dries van Noten",,KGMAlleInventare,"Material: 100% Baumwolle in Panamabindung"";"" Futter: 100% Cupro in Weiß",Allgemein,2000
2035276,,Cremefarbende Kasel mit weißem Stab und goldfarbenen Kreuz,,KGMAlleInventare,"Material: Seide, Baumwolle, Leinen"";"" Technik: gewebt, """"""""cannelé"""""""", frisé, broschiert, aufsteigende Blütenranken""; Stab: Seide, weiß;"" Kreuz: À disposition",Allgemein,1. Hälfte 19. Jahrhundert
2035482,,Cremefarbende Kasel mit Rosen- und Vergissmeinnichtranken,,KGMAlleInventare,"Material: Seide in creme, vielfarbend""; Borte: Metallvergoldet; Futter: bräunliches Leinen;, Gewebe: Taft, liseré, broschiert; von Hand genäht;"",Allgemein",1760-1770,
2035544,,Roter Manipel mit Fransenbesatz,,KGMAlleInventare,"Material: Seide, erdbeerfarben, grün, rot, lila, weiß""; Futter: grün/braunes Leinenfutter;, gewebt; Atlas; broschiert; Handnähte;"",Allgemein",1750,
2036571,,"Weißes, rotbedrucktes Baumwollgewebe """"""""Pferdetränke",,KGMAlleInventare,"Material: Baumwolle, Leinwandbindung""; Walzendruck;"",Allgemein",1820,
2036592,,Gelbe Decke mit Blütenranken.,,KGMAlleInventare,"Material: Seide, gelb, zweierlei rosa, zweierlei rot, zweierlei blau, grün""; Metal;, Seidendamast; broschiert; lanciert;"",Allgemein",1720,
2036683,,Rote Damastdecke mit goldenen Ranken,,KGMAlleInventare,"Material: Seide in Rot, dreierlei Rosa, Weiß, Hellgrün""; Metallgespinnstfaden, Silberlahn um weiße Seele; Goldlahn um gelbe Seele;, Damast; broschiert;"",Allgemein",um 1720,
2037995,,Trotteur Pumps,,KGMAlleInventare,"Material: Leder, Braun""; Krokodilleder, Braun;, geklebt; genäht;"",Allgemein",1930er Jahre,
2038228,,Decke mit geklöppelter Metallspitzenkante,,KGMAlleInventare,"Material: Seide, 3x Grün, 3 x Blau, 3 x Rosa, Weiß, Schwarz, Rot""; Metalllahn versilbert, glatt, um Seele; Metalllahn, vergoldet, um Seele; reiner Metalllahn vergoldet; Futter: Baumwollköper in Graugrün(nachträglich);, gewebt, Gros de Tours, broschiert; liseré; geklöppelt;"",Allgemein",1730 (um),
2040079,,,,KGMAlleInventare,"Silber, gegossen und getrieben",Allgemein,1785 - 1787
2043029,,,,KGMAlleInventare,,Allgemein,
2043047,,Faltfächer mit Nadelspitze,,KGMAlleInventare,"Leinen, Creme"";, genadelt;"",Allgemein",um 1860/1870,
2043189,,Barbe in Mailänder Technik,,KGMAlleInventare,"geklöppelt"";"",Allgemein",18. Jahrhundert (?),
2043190,,Barbe in Mailänder Technik,,KGMAlleInventare,"geklöppelt"";"",Allgemein",18. Jahrhundert (?),
2278178,,Olivgrüner Mantel,"Richter, Uli",KGMAlleInventare,"Obermaterial Kostüm: Wolle in Dreherbindung (Bouclé)""; Futter: Seidentaft und Seidenorganza, curryfarben; Bluse: bedruckter Seidentwill, rosa und currygelb mit hellgrauer Kontur;"" zwei mit dem Oberstoff bezogene Knöpfe",Allgemein,1958
2309638,,Handschuhkasten,,KGMAlleInventare,"Bleistift, Gouache auf Karton",Allgemein,
2322230,,"Adler und Devise """"""""Non soli cedit",,KGMAlleInventare,,Allgemein,
2339757,,Bleucielfarbenes Abendkleid,"Richter, Uli",KGMAlleInventare,,Allgemein,1995
2339783,,Silbergrauer Angora Pullover,"Richter, Uli",KGMAlleInventare,"Material: Wolle, Angora, silbergrau, Schulterpolster"";"" Technik: Gestrickt an Flachstrickmaschine",Allgemein,1989
2339857,,Elfenbeinfarbener Pullover,"Richter, Uli",KGMAlleInventare,,Allgemein,um 1989
2391060,,"Halsschmuck """"""""Silberne Frösche","Prühl, Dorothea",KGMAlleInventare,"Material: Silber (925) Gold (585), Lederband"";"" Technik: Treibarbeit, Montage",Allgemein,1986
2449099,,Naturfarbenes Angora-Jersey Kostüm,"Richter, Uli",KGMAlleInventare,"Wolle, """"""""Jersey"""""""" von Agnona, in Fischgratdessinierung",Allgemein,1974
2449125,,Fraisefarbenes Kleid mit eingesetzter Knopfblende,"Richter, Uli",KGMAlleInventare,"Wolle """"""""Voile"""""""", fraisefarben",Allgemein,1975
2468281,,Schäferpaar,"Kaendler, Johann Joachim",KGMAlleInventare,Porzellan mit Malerei und Vergoldung,Allgemein,um 1740
2552117,,Der Herbst,Porzellanmanufaktur Limbach,KGMAlleInventare,Porzellan mit Aufglasur- und Goldmalerei,Allgemein,um 1775
2560697,,Herbstlaubfarbenes Kostüm mit Bluse,"Chanel, Gabrielle",KGMAlleInventare,"Material: Jacke und Rock: Wolle, Loop-Tweed in Herbstlaubfarben, großkariert""; Wollborte rotbraun; Futter: Bouretteseide, creme;"" Bluse: Bouretteseide, creme, goldfarbene Panzerkette zur Saumbeschwerung, Löwenköpfe",Allgemein,um 1965
2560861,,,,KGMAlleInventare,Messing,Allgemein,um 1830
2561320,,Elefantengrauer Schaftstiefel,"Richter, Uli",KGMAlleInventare,,Allgemein,um 1972
2561763,,,,KGMAlleInventare,,Allgemein,
2576932,,,,KGMAlleInventare,,Allgemein,
2580489,,,,KGMAlleInventare,,Allgemein,
2601020,"1867,5",Raspelkästchen ohne Deckel,,KGMAlleInventare,Elfenbein geschnitzt,Allgemein,Anfang 18. Jahrhundert
