ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
881706,,Kleid,"Kuhnau, Egon",KGMDesign,,Midas-Objekt,um 1965
881707,,Jacke,"Kuhnau, Egon",KGMDesign,,Midas-Objekt,um 1965
881708,,Kappe,"Kuhnau, Egon",KGMDesign,,Midas-Objekt,um 1965
883721,,Suppentasse,"Engler, Heinz H.",KGMDesign,,Midas-Objekt,1960
883722,,Untertasse,"Engler, Heinz H.",KGMDesign,,Midas-Objekt,1960
884313,,Suppentasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
884314,,Untertasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
884320,,Tasse mit Untertasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
885136,,Hocker,"Mattà, Roberto Sebastian",KGMDesign,"Kunststoff (Polyurethanschaum) & Stoff (Jersey, grün)",Midas-Objekt,1966/1968
885137,,Bank,"Mattà, Roberto Sebastian",KGMDesign,"Kunststoff (Polyurethanschaum) & Stoff (Jersey, schwarz)",Midas-Objekt,1966/1968
885138,,Sessel,"Mattà, Roberto Sebastian",KGMDesign,"Kunststoff (Polyurethanschaum) & Stoff (Jersey, schwarz)",Midas-Objekt,1966/1968
885139,,Sessel,"Mattà, Roberto Sebastian",KGMDesign,"Kunststoff (Polyurethanschaum) & Stoff (Jersey, schwarz)",Midas-Objekt,1966/1968
885140,,Sessel,"Mattà, Roberto Sebastian",KGMDesign,"Kunststoff (Polyurethanschaum) & Stoff (Jersey, schwarz)",Midas-Objekt,1966/1968
885774,,Teetasse mit Untertasse,"Kantner, Lieselotte",KGMDesign,,Midas-Objekt,1973
885811,,Kaffeekanne,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1959/1960
885812,,Sahnekännchen,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1959/1960
885814,,Kuchenteller,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1959/1960
885815,,Tasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1959/1960
885816,,Untertasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1959/1960
886324,,Sauciere,"Karnagel, Wolf",KGMDesign,,Midas-Objekt,1977
886325,,Untersatz,"Karnagel, Wolf",KGMDesign,,Midas-Objekt,1977
886584,,Smokingjacket,,KGMDesign,,Midas-Objekt,um 1960
886585,,Smokinghose,,KGMDesign,,Midas-Objekt,um 1960
887786,,Suppentasse mit Untertasse,"Engler, Heinz H.",KGMDesign,,Midas-Objekt,1972
889114,,Tasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1971
889115,,Untertasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1971
889509,,Suppentasse,"Westmann, Marianne",KGMDesign,,Midas-Objekt,1975
889510,,Unterteller,"Westmann, Marianne",KGMDesign,,Midas-Objekt,1975
889515,,Tasse,"Westmann, Marianne",KGMDesign,,Midas-Objekt,1975
889912,,Uhr,"Sapper, Richard",KGMDesign,Kunststoff (gelb) & Kunststoff (schwarz),Midas-Objekt,1971
889913,,Uhr,"Sapper, Richard",KGMDesign,Kunststoff (rot) & Kunststoff (weiß),Midas-Objekt,1971
890537,,Waage,"Busse, Rido",KGMDesign,,Midas-Objekt,1976
890538,,Waage,"Busse, Rido",KGMDesign,Kunststoff (weiß),Midas-Objekt,1976
890539,,Waagschale,"Busse, Rido",KGMDesign,Kunststoff (weiß),Midas-Objekt,1976
890540,,Waage,"Busse, Rido",KGMDesign,,Midas-Objekt,1976
890541,,Waage,"Busse, Rido",KGMDesign,Kunststoff (weiß),Midas-Objekt,1976
890542,,Waagschale,"Busse, Rido",KGMDesign,Kunststoff (rot),Midas-Objekt,1976
891610,,Suppentasse,"Löffelhardt, Heinrich",KGMDesign,,Midas-Objekt,1979
891611,,Untertasse,"Löffelhardt, Heinrich",KGMDesign,,Midas-Objekt,1979
891617,,Tasse mit Untertasse,"Löffelhardt, Heinrich",KGMDesign,,Midas-Objekt,1979
891849,,Handschuhe,,KGMDesign,Leder (rot),Midas-Objekt,1960/1969
891850,,Handschuhe,,KGMDesign,Leder (beige),Midas-Objekt,1960/1969
891851,,Handschuhe,,KGMDesign,Leder (braun),Midas-Objekt,1960/1969
892267,,,"Decho, Ilse",KGMDesign,,Midas-Objekt,1965/1967
892276,,Kaffeeservice,"Decho, Ilse",KGMDesign,,Midas-Objekt,1965/1967
893968,,Terrine mit Deckel,"Wirkkala, Tapio",KGMDesign,,Midas-Objekt,1962
893969,,"Unterschale, tief","Wirkkala, Tapio",KGMDesign,,Midas-Objekt,1962
893976,,Tasse,"Wirkkala, Tapio",KGMDesign,,Midas-Objekt,1962
893977,,Untertasse,"Wirkkala, Tapio",KGMDesign,Porzellan (Basaltporzellan),Midas-Objekt,1962
894081,,Schreibzeugschale,"Zeischegg, Walter",KGMDesign,,Midas-Objekt,1967?
894082,,Schreibzeugschale,"Zeischegg, Walter",KGMDesign,,Midas-Objekt,1967?
894083,,Schreibzeugschale,"Zeischegg, Walter",KGMDesign,,Midas-Objekt,1967?
894252,,Kaffeekanne,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
894256,,"Schale, rechteckig","Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
894257,,"Schale, quadratisch","Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
894258,,Aschenbecher,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
894259,,Eierbecher,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
894260,,Salzstreuer,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
894261,,Pfefferstreuer,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1972
894464,,Kleid,,KGMDesign,,Midas-Objekt,1960/1969
894465,,Jacke,,KGMDesign,,Midas-Objekt,1960/1969
895098,,Karaffe mit Untersatz,"Boch, Helen von",KGMDesign,,Midas-Objekt,1973
895712,,Kleid,,KGMDesign,,Midas-Objekt,um 1965
895713,,Jacke,,KGMDesign,,Midas-Objekt,um 1965
895760,,Suppentasse,"Engler, Heinz H.",KGMDesign,,Midas-Objekt,1977
895761,,Untertasse,"Engler, Heinz H.",KGMDesign,,Midas-Objekt,1977
895954,,Tasse,,KGMDesign,"Kunststoff (Valon, Polycarbonat, beige)",Midas-Objekt,1963
895955,,Untertasse,,KGMDesign,"Kunststoff (Valon, Polycarbonat, braun)",Midas-Objekt,1963
895957,,Tasse,,KGMDesign,"Kunststoff (Valon, Polycarbonat, gelb)",Midas-Objekt,1963
895958,,Untertasse,,KGMDesign,"Kunststoff (Valon, Polycarbonat, gelb)",Midas-Objekt,1963
896084,,Tasse mit Untertasse,"Pucci, Emilio",KGMDesign,,Midas-Objekt,1979/1980
896488,,Untertasse,"Colani, Luigi",KGMDesign,,Midas-Objekt,1971
899375,,Sauciere,"Sabattini, Lino",KGMDesign,,Midas-Objekt,1992
899542,,Suppentasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1974
899543,,Untertasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1974
899545,,"Teller, flach","Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1974
899546,,"Teller, tief","Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1974
899551,,Tasse mit Untertasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1974
900291,,Tasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1988
900630,,Sauciere,"Wagenfeld, Wilhelm",KGMDesign,,Midas-Objekt,1954
900631,,Unterschale,"Wagenfeld, Wilhelm",KGMDesign,,Midas-Objekt,1954
901624,,Suppentasse,"Kantner, Lieselotte",KGMDesign,,Midas-Objekt,1975
901625,,Untertasse,"Kantner, Lieselotte",KGMDesign,,Midas-Objekt,1975
901633,,Mokkatasse,"Kantner, Lieselotte",KGMDesign,,Midas-Objekt,1975
901634,,Untertasse,"Kantner, Lieselotte",KGMDesign,,Midas-Objekt,1975
902469,,"Krug, TEKA-Universal","Decho, Ilse",KGMDesign,,Midas-Objekt,1950-1974
902470,,Einsatz,"Decho, Ilse",KGMDesign,,Midas-Objekt,1950-1974
903006,,Suppentasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1977
903007,,Untertasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1977
903012,,Tasse mit Untertasse,"Baumann, Hans Theo",KGMDesign,,Midas-Objekt,1977
903211,,Tasse mit Untertasse,"Engler, Heinz H.",KGMDesign,,Midas-Objekt,1960
903772,,Gemüseschale mit Deckel,"Wagenfeld, Wilhelm",KGMDesign,,Midas-Objekt,1964
903773,,Gemüseschale mit Deckel,"Wagenfeld, Wilhelm",KGMDesign,,Midas-Objekt,1964
903810,,Waage,"Busse, Rido",KGMDesign,Kunststoff (braun),Midas-Objekt,1970/1981
903811,,Waagschale,"Busse, Rido",KGMDesign,Kunststoff (beige),Midas-Objekt,1970/1981
904312,,Tasse,"Karnagel, Wolf",KGMDesign,bedruckt,Midas-Objekt,1971
904313,,Untertasse,"Karnagel, Wolf",KGMDesign,bedruckt,Midas-Objekt,1971
904963,,Tasse,"Scharrer, Richard",KGMDesign,,Midas-Objekt,1961/1962
