ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2014976,,"Form """"""""Brühl'scher Durchbruch",Porzellan-Manufaktur Meissen,KGMFremdbesitz,Porzellan mit Aufglasurmalerei,Allgemein,um 1761
1854717,F-1-K,Krug mit Hirsch und Pinienzapfen,,KGMFremdbesitz,Majolika,Allgemein,Ende 14. Jahrhundert
1851475,F-10-K,Zweihenkeltopf mit Blütenpflanzen,,KGMFremdbesitz,Majolika,Allgemein,1410 - 1430
1852359,F-100-K,Teller mit Landschaft,,KGMFremdbesitz,Majolika,Allgemein,um 1730 - 1760
1852357,F-101-K,Teller mit Landschaft,,KGMFremdbesitz,Majolika,Allgemein,um 1730 - 1760
1852509,F-102-K,Teller mit mit Noahs Dankopfer,,KGMFremdbesitz,Majolika,Allgemein,1740 - 1755
1853570,F-103-K,Teller mit Moses und Aaron vor dem Pharao,,KGMFremdbesitz,Majolika,Allgemein,1740 - 1755
1854123,F-104-K,Teller mit ländlicher Szene und einem Wappen,,KGMFremdbesitz,Majolika,Allgemein,Mitte 18. Jahrhundert
1854126,F-105-K,"Teller mit Apollo, Urania und Calliope",,KGMFremdbesitz,Majolika,Allgemein,Mitte 18. Jahrhundert
1854130,F-106-K,Teller mit Genreszene,,KGMFremdbesitz,Majolika,Allgemein,3. Viertel 18. Jahrhundert
1854312,F-11-K,Albarello mit Blütenpflanzen,,KGMFremdbesitz,Majolika,Allgemein,1510 - 1520
1959339,F-13-K,Statue des hl. Laurentius,,KGMFremdbesitz,Majolika,Allgemein,um 1510
1852348,F-14-K,Teller (Tondino) mit Eichenzweig in Blau auf hellem Grund,"Jacopo, Maestro",KGMFremdbesitz,Majolika,Allgemein,um 1510
1854698,F-15-K,Teller mit heiligem Bischof,,KGMFremdbesitz,Majolika,Allgemein,1515 - 1520
1840839,F-16-K,Teller mit Flechtwerk,,KGMFremdbesitz,Majolika,Allgemein,2. Hälfte 16. Jahrhundert
1851489,F-17-K,Teller mit Flechtwerk,,KGMFremdbesitz,Majolika,Allgemein,2. Hälfte 16. Jahrhundert
1851491,F-18-K,Dreieckfliese mit Wappen Piccolomini,,KGMFremdbesitz,Majolika,Allgemein,um 1507
1851492,F-19-K,Albarello mit blühender Pflanze,,KGMFremdbesitz,Majolika,Allgemein,1505 - 1520
1854307,F-2-K,Krug mit Initialie M. Ranken und Franziskanerstrick,,KGMFremdbesitz,Majolika,Allgemein,2. Hälfte 15. Jahrhundert
1853571,F-20-K,Trinkflasche (?) in Buchform,,KGMFremdbesitz,Majolika,Allgemein,letztes Viertel 15. Jahrhundert
1851497,F-21-K,Becken (Bacile) mit Mädchenbildnis Diana,,KGMFremdbesitz,Majolika,Allgemein,Anfang 16. Jahrhundert
1853548,F-22-K,Apothekenkanne (Orciuolo) mit Grotesken,,KGMFremdbesitz,Majolika,Allgemein,1507
1851498,F-23-K,Apothekenkanne (Orciuolo) mit Grotesken,,KGMFremdbesitz,Majolika,Allgemein,Anfang 16. Jahrhundert
1851730,F-25-K,Fußschale mit Grotesken,,KGMFremdbesitz,Majolika,Allgemein,1530 - 1550
1854212,F-26-K,Teller mit Wappen und Grotesken,,KGMFremdbesitz,Majolika,Allgemein,1535 - 1540
1854174,F-27-K,Teller mit Wappen und Grotesken,,KGMFremdbesitz,Majolika,Allgemein,Mitte 16. Jahrhundert
1854737,F-28-K,Fußschale mit Mädchenbildnis im STrahlenkranz,,KGMFremdbesitz,Majolika,Allgemein,um 1510
1854210,F-29-K,Teller mit Blattrosette im Strahlenkranz,,KGMFremdbesitz,Majolika,Allgemein,1. Drittel 16. Jahrhundert
1854727,F-3-K,Krug mit blühender Pflanze,,KGMFremdbesitz,Majolika,Allgemein,um 1500
1854132,F-30-K,Teller mit Pflanzenmotiven und Spitzbögen,,KGMFremdbesitz,Majolika,Allgemein,1. Viertel 16. Jahrhundert
