ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
881790,,Tasse und Schale mit bunten Blumen und Vögeln,,KGMGlaser,Porzellan,Midas-Objekt,
881791,,,,KGMGlaser,,Midas-Objekt,
881792,,,,KGMGlaser,,Midas-Objekt,
882044,,,,KGMGlaser,,Midas-Objekt,um 1816
882045,,,,KGMGlaser,,Midas-Objekt,um 1816
882064,,"Kleiner, geschweifter Teller mit bunten Blumen",,KGMGlaser,"Porzellan, Bemalung",Midas-Objekt,
882130,,Gebuckelte Flasche,,KGMGlaser,"Glas, Schliff",Midas-Objekt,1701/1800
882134,,Vase mit Blumen,,KGMGlaser,"Porzellan, x",Midas-Objekt,
882409,,Amor auf Waffen sitzend,,KGMGlaser,"Porzellan, x",Midas-Objekt,um 1750
882578,,Großer Sahnetopf mit Blumen und Vögeln,,KGMGlaser,"Porzellan, x",Midas-Objekt,um 1700
882619,,Kaffeekanne mit Landschaft und zwei Reitern,,KGMGlaser,"Porzellan, x, Zeichnung",Midas-Objekt,
882648,,Terrine mit gewundenen Rippen,,KGMGlaser,"Porzellan, gerippt, Malerei",Midas-Objekt,um 1750
882649,,,,KGMGlaser,,Midas-Objekt,um 1750
882650,,,,KGMGlaser,,Midas-Objekt,um 1750
882651,,Sechsseitiger Teller mit Japanerin im Haus,,KGMGlaser,"Porzellan, x",Midas-Objekt,
882693,,Großer vierseitiger Becher,,KGMGlaser,"Glas, geschliffen",Midas-Objekt,1701/1800
882736,,Großer Humpen mit Darstellung der Apostel,,KGMGlaser,"Fayence / Steingut & Zinn, Relief, Montierung",Midas-Objekt,1630
882841,,,,KGMGlaser,,Midas-Objekt,1810
882842,,,,KGMGlaser,,Midas-Objekt,1810
882845,,Kurg mit stilisierten Blumen,,KGMGlaser,"Fayence, x",Midas-Objekt,um 1715
882856,,,,KGMGlaser,,Midas-Objekt,
882857,,,,KGMGlaser,,Midas-Objekt,
882920,,,,KGMGlaser,,Midas-Objekt,
882921,,,,KGMGlaser,,Midas-Objekt,
882923,,Schüssel mit regelmäßigem großen Muster,,KGMGlaser,"Porzellan, x",Midas-Objekt,1701/1800
882967,,,,KGMGlaser,,Midas-Objekt,
882968,,,,KGMGlaser,,Midas-Objekt,
883046,,,,KGMGlaser,,Midas-Objekt,
883047,,,,KGMGlaser,,Midas-Objekt,
883144,,Dreieckiger Salznapf mit bunten Vögeln,,KGMGlaser,"Porzellan, Vergoldung, Bemalung",Midas-Objekt,um 1800
883263,,Sechsseitig geschweifte Teebüchse,,KGMGlaser,"Porzellan, x, Relief",Midas-Objekt,um 1740
883298,,Pokal mit reichem Ornament und böhmischem Wappen,,KGMGlaser,"Glas, geschliffen",Midas-Objekt,1701/1800
883338,,,,KGMGlaser,,Midas-Objekt,
883339,,,,KGMGlaser,,Midas-Objekt,
883358,,Kleine Kaffeekanne mit chinesischen Blumen,,KGMGlaser,"Porzellan, x, Malerei",Midas-Objekt,
883360,,,,KGMGlaser,,Midas-Objekt,1760/1770
883361,,,,KGMGlaser,,Midas-Objekt,1760/1770
883401,,,,KGMGlaser,,Midas-Objekt,1701/1800
883402,,,,KGMGlaser,,Midas-Objekt,1701/1800
883433,,Kaffeekanne mit geometrischem Muster,,KGMGlaser,"Porzellan, x, gezeichnet",Midas-Objekt,1701/1800
883496,,Kaffeekanne mit Weidengeflecht,,KGMGlaser,"Porzellan, x, Malerei",Midas-Objekt,1801/1900
883602,,Ovaler Becher mit Fadeneinlage,,KGMGlaser,"Glas, geschliffen, Fadeneinlage",Midas-Objekt,1701/1800
883752,,,,KGMGlaser,,Midas-Objekt,
883753,,,,KGMGlaser,,Midas-Objekt,
883833,,,,KGMGlaser,,Midas-Objekt,um 1720
883834,,,,KGMGlaser,,Midas-Objekt,um 1720
883841,,Teller mit Korbgeflecht am Rand,,KGMGlaser,"Porzellan, x, Korbgeflecht, Malerei",Midas-Objekt,
883871,,Potpourri,,KGMGlaser,"Porzellan, x, durchbrochen, Relief",Midas-Objekt,vor 1750
883872,,Reitknecht mit Pferd,Königliche Porzellanmanufaktur Berlin,KGMGlaser,Porzellan,Midas-Objekt,
883929,,Geriffelter Krug,,KGMGlaser,"Fayence & Zinn, geriffelt, Montierung",Midas-Objekt,1758
883995,,Kleid,,KGMGlaser,,Midas-Objekt,um 1965
883996,,Cape,,KGMGlaser,,Midas-Objekt,um 1965
884066,,Teller mit Baum und Sträuchern,,KGMGlaser,"Porzellan, x",Midas-Objekt,
884068,,Oval geschweifter Pokal mit bischöflichem Wappen und Namenszug,,KGMGlaser,"Glas, geschliffen",Midas-Objekt,1701/1800
884085,,Schüssel,"Persson-Melin, Signe",KGMGlaser,Glas,Midas-Objekt,
884086,,Untersetzer,"Persson-Melin, Signe",KGMGlaser,Kork,Midas-Objekt,
884088,,Schüssel,"Persson-Melin, Signe",KGMGlaser,Glas,Midas-Objekt,
884089,,Untersetzer,"Persson-Melin, Signe",KGMGlaser,Kork,Midas-Objekt,
884117,,,,KGMGlaser,,Midas-Objekt,
884118,,,,KGMGlaser,,Midas-Objekt,
884238,,Tasse und Schale mit Blumen innen,,KGMGlaser,Porzellan,Midas-Objekt,
884239,,,,KGMGlaser,,Midas-Objekt,
884240,,,,KGMGlaser,,Midas-Objekt,
884251,,Teller mit Blumen in blau und gold,,KGMGlaser,"Porzellan, x",Midas-Objekt,
884357,,"Spülnapf mit Blumen, Vögeln und Hirschen",,KGMGlaser,"Porzellan, x",Midas-Objekt,vor 1871
884377,,Profilbild eines Mädchens in Rollwerkrahmen,,KGMGlaser,,Midas-Objekt,1851/1900
884450,,Teller mit Reliefornament unter der Glasur,,KGMGlaser,"Porzellan, x, Relief, Glasur, Relief unter der Glasur",Midas-Objekt,
884510,,Teller mit Rand von Streublumen und Störchen,,KGMGlaser,"Porzellan, x",Midas-Objekt,
884854,,Gefäß in Gestalt eines Felsens mit einer Schildkröte,,KGMGlaser,Porzellan,Midas-Objekt,
884882,,"Tasse und Schale mit bunten, chinesischen Streublumen",,KGMGlaser,"Porzellan, Malerei",Midas-Objekt,
884883,,,,KGMGlaser,,Midas-Objekt,
884884,,,,KGMGlaser,,Midas-Objekt,
884918,,Teebüchse mit lesender Frau und Dienerin,,KGMGlaser,"Porzellan, x, durchbrochen (Fuß)",Midas-Objekt,
885133,,,,KGMGlaser,,Midas-Objekt,
885134,,,,KGMGlaser,,Midas-Objekt,
885214,,,,KGMGlaser,,Midas-Objekt,1701/1800
885215,,,,KGMGlaser,,Midas-Objekt,1701/1800
885273,,Hohe Kaffeekanne mit Masken,,KGMGlaser,"Porzellan, x, geriffelt",Midas-Objekt,1770/1780
885300,,,,KGMGlaser,,Midas-Objekt,um 1720
885301,,,,KGMGlaser,,Midas-Objekt,um 1720
885380,,Spülnapf mit Relief und blauer Borte,,KGMGlaser,"Porzellan, Relief, Glasur",Midas-Objekt,
885388,,Tasse und Schale mit bunten Blumen und Vögeln,,KGMGlaser,"Porzellan, Malerei",Midas-Objekt,1701/1800
885389,,,,KGMGlaser,,Midas-Objekt,1701/1800
885390,,,,KGMGlaser,,Midas-Objekt,1701/1800
885939,,,,KGMGlaser,,Midas-Objekt,um 1790
885940,,,,KGMGlaser,,Midas-Objekt,um 1790
886006,,Teebüchse in Gestalt einer kleinen Urne,,KGMGlaser,"Porzellan, x, durchbrochen (Fuß)",Midas-Objekt,
886034,,Spülnapf mit Genreszene,,KGMGlaser,"Porzellan, gefaßt",Midas-Objekt,um 1720
886096,,Urne mit Kranich im Rohr und Ornament,,KGMGlaser,"Porzellan, x",Midas-Objekt,
886155,,Flasche mit Relief eines Kindes mit Huhn,,KGMGlaser,"Porzellan, x, Relief",Midas-Objekt,
886210,,Untertasse,,KGMGlaser,"Porzellan, Bemalung",Midas-Objekt,
886261,,Spülnapf mit Schmetterling innen,,KGMGlaser,"Porzellan, x, Relief, Glasur, Relief unter der Glasur",Midas-Objekt,1701/1800
886427,,Urne mit goldenem Ornament,,KGMGlaser,"Glas (blau), Goldmalerei",Midas-Objekt,1701/1800
886428,,Tasse und Schale mit Blumen und Bändern,,KGMGlaser,Porzellan,Midas-Objekt,
886429,,,,KGMGlaser,,Midas-Objekt,
886430,,,,KGMGlaser,,Midas-Objekt,
886578,,Tasse und Schale mit Hirsch und Schmetterling,,KGMGlaser,"Porzellan (Frittenporzellan), Bemalung",Midas-Objekt,um 1710
886579,,,,KGMGlaser,,Midas-Objekt,um 1710
886580,,,,KGMGlaser,,Midas-Objekt,um 1710
886581,,Kaffeekanne mit Blumen und Spruchband,,KGMGlaser,"Lack & Fayence, Malerei",Midas-Objekt,1815
886730,,Muschelförmiges Glas mit Vergoldung,,KGMGlaser,"Glas, geschliffen, vergoldet, vergoldet",Midas-Objekt,1701/1800
886925,,Gelbe Schale mit Blumen,,KGMGlaser,"Porzellan, x",Midas-Objekt,
886931,,Henkelbecher mit Schale,,KGMGlaser,"Porzellan, bemalt",Midas-Objekt,
887200,,Napf mit zwei Henkeln und Streublumen,,KGMGlaser,"Glas, geschliffen, facettiert",Midas-Objekt,1701/1800
887321,,,,KGMGlaser,,Midas-Objekt,1701/1800
887322,,,,KGMGlaser,,Midas-Objekt,1701/1800
887376,,Achteckige Schale mit Ornament und Tierfigürchen,,KGMGlaser,"Glas, geschliffen, geschliffen",Midas-Objekt,1701/1800
887405,,Facettierter Kelch mit goldener Genredarstellung,,KGMGlaser,"Glas (grün), Malerei (gold), facettiert",Midas-Objekt,1701/1800
887407,,,,KGMGlaser,,Midas-Objekt,um 1770
887408,,,,KGMGlaser,,Midas-Objekt,um 1770
887441,,Humpen,,KGMGlaser,"Fayence & Zinn, Montierung",Midas-Objekt,1701/1800
887529,,Becher mit frommem Bild und Spruch,,KGMGlaser,"Glas, geschliffen",Midas-Objekt,1701/1800
887554,,Pokal mit Darstellung der vier Weltteile,,KGMGlaser,"Glas, geschliffen, Goldmalerei",Midas-Objekt,1701/1800
887913,,Pokal mit Rosetten und österreichischem Wappen,,KGMGlaser,"Glas, geschliffen, facettiert",Midas-Objekt,1701/1800
888024,,Tasse und Schale mit Blütenzweigen und Figuren,,KGMGlaser,"Porzellan, Malerei",Midas-Objekt,
888025,,,,KGMGlaser,,Midas-Objekt,
888026,,,,KGMGlaser,,Midas-Objekt,
888068,,Tasse mit Untertasse,"Schütz, Siegmund",KGMGlaser,,Midas-Objekt,1953/1954
888162,,Leuchter mit kurzen Rippen,,KGMGlaser,"Glas, gekniffen, geschliffen, facettiert, gerippt",Midas-Objekt,1701/1800
888192,,Stehender Mann,,KGMGlaser,"Porzellan, x, Malerei",Midas-Objekt,
888203,,Kaffekanne mit weißen Blumen,,KGMGlaser,"Fayence, Auflage",Midas-Objekt,um 1780
888247,,Spülnapf mit Relief und bunten Blumen,,KGMGlaser,"Porzellan, x, Relief, Glasur, Relief unter Glasur",Midas-Objekt,
888323,,Kleiner Teller in Form einer Muschel,,KGMGlaser,"Porzellan & Metall, x, Montierung",Midas-Objekt,
888324,,Tasse und Schale mit Ranken und Feldern mit Blumen,,KGMGlaser,Porzellan,Midas-Objekt,
888325,,,,KGMGlaser,,Midas-Objekt,
888326,,,,KGMGlaser,,Midas-Objekt,
888544,,Urne mit Blumen,,KGMGlaser,"Porzellan, x",Midas-Objekt,
888811,,Flache Vase mit zwei plastischen Kinderfiguren,,KGMGlaser,"Porzellan, x, Aufmodellierung, Malerei",Midas-Objekt,vor 1871
889160,,Kaffeekanne mit Adler und Bäumen,,KGMGlaser,"Fayence, Relief",Midas-Objekt,1801/1900
889178,,Vase mit Blumen und Vasen,,KGMGlaser,"Porzellan, Malerei",Midas-Objekt,1707/1726
889326,,Deckeltasse und Schale mit Blumen,,KGMGlaser,Porzellan,Midas-Objekt,
889327,,,,KGMGlaser,,Midas-Objekt,
889328,,,,KGMGlaser,,Midas-Objekt,
889333,,Achtseitige Schüssel mit Dammhirschen,,KGMGlaser,"Porzellan, x",Midas-Objekt,
889338,,Facettierter Napf mit zwei Griffen,,KGMGlaser,"Glas (grün), facettiert",Midas-Objekt,1701/1800
889382,,Tasse mit Schale mit eingeschliffenen Blumen,,KGMGlaser,"Rubinglas, geschliffen",Midas-Objekt,1701/1715
889383,,,,KGMGlaser,,Midas-Objekt,1701/1715
889384,,,,KGMGlaser,,Midas-Objekt,1701/1715
889546,,,,KGMGlaser,,Midas-Objekt,
889547,,,,KGMGlaser,,Midas-Objekt,
889638,,"Schüssel mit Trauerweiden, Blumen und Blumenkorb",,KGMGlaser,"Porzellan, x",Midas-Objekt,
889639,,Tasse mit Landschaft und Figuren,,KGMGlaser,"Porzellan, x",Midas-Objekt,
889745,,Tasse mit Rebhühnern und Blumenstauden,,KGMGlaser,"Porzellan, x",Midas-Objekt,1701/1800
889748,,Kaffeekanne mit seitwärts stehendem Stiel,,KGMGlaser,"Porzellan, x, Malerei",Midas-Objekt,1701/1800
889915,,Dose auf vier Füßen mit Reliefverzierung,,KGMGlaser,"Porzellan, x, Relief",Midas-Objekt,um 1740
889997,,Urne mit Ranken und Blumenwerk in Relief,,KGMGlaser,"Porzellan, x, Relief",Midas-Objekt,
890082,,"Kanne mit runden Facetten, Sternen und Medaillon",,KGMGlaser,"Glas, geschliffen",Midas-Objekt,1701/1800
890083,,Tasse und Schale mit regelmäßigem roten Rand,,KGMGlaser,"Porzellan, Malerei",Midas-Objekt,
890084,,,,KGMGlaser,,Midas-Objekt,
890116,,,,KGMGlaser,"Glas, geschliffen, vergoldet",Midas-Objekt,1701/1800
890156,,Teller mit Blumen und Früchten,,KGMGlaser,"Fayence, Auflage, Bemalung",Midas-Objekt,1701/1800
890212,,,,KGMGlaser,,Midas-Objekt,um 1770
890213,,,,KGMGlaser,,Midas-Objekt,um 1770
890530,,"Teekanne mit Hafen, Seeschiffen und Palmen am Ufer",,KGMGlaser,"Porzellan (Frittenporzellan), Malerei",Midas-Objekt,um 1710
890531,,Tasse und Schale mit Chinesen und Vögeln,,KGMGlaser,"Porzellan, Malerei",Midas-Objekt,um 1710
890531,,Tasse und Schale mit Chinesen und Vögeln,,KGMGlaser,"Porzellan, Malerei",Midas-Objekt,um 1720
890532,,,,KGMGlaser,,Midas-Objekt,um 1710
890533,,,,KGMGlaser,,Midas-Objekt,um 1710
890684,,"Kelchförmige, vierseitig geschweifte Porzellanvase",,KGMGlaser,"Porzellan, x, Malerei",Midas-Objekt,
890717,,,,KGMGlaser,,Midas-Objekt,1701/1800
890718,,,,KGMGlaser,,Midas-Objekt,1701/1800
