ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1929208,,Neujahrskarte an Friedrich Wilhelm III.,,KGMKeramik,,Allgemein,
851504,,Medaillen Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851512,,Pfeilerspiegel,,KGMKeramik,,Midas-Objekt,
851516,,Plakette,,KGMKeramik,Eisen,Midas-Objekt,1790
851518,,Modell,,KGMKeramik,,Midas-Objekt,
851531,,Unterkleid (der Königin Luise?),,KGMKeramik,Seide (hellblau),Midas-Objekt,
851534,,Medaille,,KGMKeramik,,Midas-Objekt,
851543,,Orden,,KGMKeramik,,Midas-Objekt,
851547,,Statuette,,KGMKeramik,,Midas-Objekt,
851557,,Tisch,,KGMKeramik,Holz (Mahagoni),Midas-Objekt,um 1830
851558,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851576,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851577,,Glas,,KGMKeramik,,Midas-Objekt,
851580,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851581,,Kasten,,KGMKeramik,,Midas-Objekt,
851582,,Buch,,KGMKeramik,,Midas-Objekt,
851588,,Kette,,KGMKeramik,,Midas-Objekt,
851599,,Stadtbefestigung Berlin-Köln,Unbekannter Künstler,KGMKeramik,,Midas-Objekt,
851601,,Brief,,KGMKeramik,,Midas-Objekt,
851605,,Petschaft,,KGMKeramik,,Midas-Objekt,
851611,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851612,,Ruhebetten,,KGMKeramik,,Midas-Objekt,
851614,,Holzgefäß,,KGMKeramik,Holz,Midas-Objekt,
851621,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851622,,Autograph,,KGMKeramik,,Midas-Objekt,
851623,,Gedicht,,KGMKeramik,,Midas-Objekt,
851647,,Plakette Kronprinzessin Elisabeth von Preußen,,KGMKeramik,,Midas-Objekt,
851650,,Truhe,,KGMKeramik,,Midas-Objekt,
851651,,Briefumschlag,,KGMKeramik,,Midas-Objekt,
851654,,Armlehnstuhl,,KGMKeramik,,Midas-Objekt,
851655,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851657,,Pantoffel,,KGMKeramik,"Seide & Samt, gestickt",Midas-Objekt,
851662,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851663,,Orden,,KGMKeramik,,Midas-Objekt,
851668,,Ring aus dem Sarg des Kurfürsten Johann Georg,,KGMKeramik,Gold & Email (weiß) & Diamant,Midas-Objekt,
851672,,Polsterstuhl,,KGMKeramik,Holz (Mahagoni) & Bronze & Samt (blau) & Seidenschnur (orange),Midas-Objekt,um 1800
851674,,Plakette,,KGMKeramik,Eisen,Midas-Objekt,1820
851678,,Kartenspiel,,KGMKeramik,,Midas-Objekt,1807
851698,,Hocker,,KGMKeramik,,Midas-Objekt,
851701,,Photographie von dem im Dom aufgestellten Denkmal des Kurfürsten Johann (Cicero),,KGMKeramik,,Midas-Objekt,
851703,,Medaille,,KGMKeramik,,Midas-Objekt,1812
851709,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851710,,Adresse,,KGMKeramik,,Midas-Objekt,
851711,,"Konvolut von 14 Speisetellern zum """"""""Jap. Service",KPM,KGMKeramik,Porzellan,Midas-Objekt,1769/1770
851729,,Buch,,KGMKeramik,,Midas-Objekt,
851733,,Kartenspiel,,KGMKeramik,,Midas-Objekt,um 1820
851747,,Marmorgruppe,,KGMKeramik,,Midas-Objekt,
851749,,Konvolut von 2 Kerzenständern,,KGMKeramik,Holz & Lack (schwarz) & Elfenbein,Midas-Objekt,
851754,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851758,,Brieföffner,,KGMKeramik,,Midas-Objekt,
851764,,Orden,,KGMKeramik,,Midas-Objekt,
851765,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851768,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851771,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851780,,Korb mit Ostereiern,,KGMKeramik,Porzellan & Metall,Midas-Objekt,
851797,,Tabatière (Kunersdorf),,KGMKeramik,Gold & Email,Midas-Objekt,um 1755
851798,,Schale,,KGMKeramik,Porzellan,Midas-Objekt,1701/1800
851799,,Telegramm,,KGMKeramik,,Midas-Objekt,
851801,,Medaillen Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851802,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851808,,Becher,,KGMKeramik,Glas,Midas-Objekt,
851811,,Skizzenbuch des Baumeisters Knobelsdorff,"Knobelsdorff, Clemens Wenzeslaus",KGMKeramik,,Midas-Objekt,
851812,,"Medaille auf Karl Friedr. Schinkel, Rs. Genius u. Architekturteile, 1841","Fischer, August",KGMKeramik,AE,Midas-Objekt,1841
851813,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851814,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851815,,Mantel Schwarzer Adlerorden,,KGMKeramik,Textil,Midas-Objekt,
851816,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851819,,"Friedrich Wilhelm IV., 600 Jahrfeier Königsberg 1855","Kullrich, Wilhelm",KGMKeramik,AR,Midas-Objekt,1855
851824,,Schreibkommode,,KGMKeramik,,Midas-Objekt,1886/1900
851828,,Tabatière,,KGMKeramik,Gold & Email & Brillianten,Midas-Objekt,1765/1770
851835,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851836,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851842,,Untertasse,,KGMKeramik,Porzellan,Midas-Objekt,1601/1700
851843,,Orden,,KGMKeramik,,Midas-Objekt,
851844,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851845,,Gebrauchsinventar,,KGMKeramik,,Midas-Objekt,
851846,,Dankschreiben der Königin Elisabeth Christine an die Glogausche Oberamtsregierung,,KGMKeramik,,Midas-Objekt,
851847,,"Handschrift """"""""Vorlesung der Stellen der Heiligen Schrift bei der Feier der Beisetzung S.M. des Königs Friedrich Wilhelms IV.",,KGMKeramik,,Midas-Objekt,
851862,,Medaille Wilhelm II.,,KGMKeramik,,Midas-Objekt,
851865,,Stab,,KGMKeramik,,Midas-Objekt,1401/1500
