ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
881576,,Flaches Becken mit dem Hl. Christopherus,,KGMKunstkammersogKInventar,"Messing, getrieben",Midas-Objekt,1401/1500
881649,,Palmette,,KGMKunstkammersogKInventar,Steinpappe,Midas-Objekt,1801/1900
881738,,Bäckerzeichen,,KGMKunstkammersogKInventar,"Eisen, geschmiedet, durchbrochen, getrieben",Midas-Objekt,1751
881747,,,,KGMKunstkammersogKInventar,,Midas-Objekt,1751/1800
881748,,,,KGMKunstkammersogKInventar,,Midas-Objekt,1751/1800
881814,,Teller mit Blumen,,KGMKunstkammersogKInventar,"Fayence, Bemalung",Midas-Objekt,1601/1700
881815,,Leuchter mit kleinen bunten Blumen,,KGMKunstkammersogKInventar,"Fayence, Bemalung",Midas-Objekt,1701/1800
881839,,Episoden aus der Legende Apolls,"Courteys, Pierre",KGMKunstkammersogKInventar,,Midas-Objekt,1546/1555
881840,,Allegorie der Tugend und Rollwerk,"Courteys, Pierre",KGMKunstkammersogKInventar,,Midas-Objekt,1546/1555
881934,,Dreieckiges Battisttuch mit Fantasieblumen,,KGMKunstkammersogKInventar,"Leinen, Weberei (Battist), Stickerei",Midas-Objekt,1601/1700
881954,,Pilasterkapitell mit Palmetten,,KGMKunstkammersogKInventar,Steinpappe,Midas-Objekt,1801/1900
882021,,Schwarzer Seidendamast mit Blumenranken,,KGMKunstkammersogKInventar,"Seide, Weberei (Damast)",Midas-Objekt,1701/1800
882028,,Schreitender Greif,,KGMKunstkammersogKInventar,Steinpappe,Midas-Objekt,1801/1900
882054,,Sogenannter Sternkrug mit Schnörkeln und Blüten,,KGMKunstkammersogKInventar,"Ton (grau) & Zinn, Einpressung, Auflage, Montierung",Midas-Objekt,1601/1700
882054,,Sogenannter Sternkrug mit Schnörkeln und Blüten,,KGMKunstkammersogKInventar,"Ton (grau) & Zinn, Einpressung, Auflage, Montierung",Midas-Objekt,1701/1800
882060,,Türhespe,,KGMKunstkammersogKInventar,"Eisen, geschmiedet, durchbrochen, Gravur",Midas-Objekt,1601/1700
882206,,Humpen mit Blumen und Turm,,KGMKunstkammersogKInventar,"Fayence & Zinn, Bemalung, Montierung",Midas-Objekt,1701/1800
882222,,Humpen mit Herz und Spruch,,KGMKunstkammersogKInventar,"Ton (grau) & Zinn, x, Relief, Montierung, Beschlag",Midas-Objekt,1706
882251,,Türgriff,,KGMKunstkammersogKInventar,"Eisen, geschmiedet",Midas-Objekt,1501/1600
882263,,Becher mit Ornament,,KGMKunstkammersogKInventar,"Ton (rot), Schnitt",Midas-Objekt,vor 1871
882305,,Viereckige Dose mit Genreszenen,,KGMKunstkammersogKInventar,"Kupfer? & Email, Email, Malerei",Midas-Objekt,1701/1800
882360,,Türklopfer in Gestalt eines Hammers,,KGMKunstkammersogKInventar,"Eisen, geschmiedet",Midas-Objekt,1501/1600
882406,,Krug mit Zinndeckel,,KGMKunstkammersogKInventar,"Ton (braun) & Zinn, Montierung",Midas-Objekt,1685
882459,,Großer Türklopfer mit Schnörkeln und Masken,,KGMKunstkammersogKInventar,"Eisen, geschmiedet",Midas-Objekt,1501/1600
882507,,Antike Tempelruinen,,KGMKunstkammersogKInventar,"Seide, Stickerei",Midas-Objekt,
882616,,Buchbeschlag,,KGMKunstkammersogKInventar,"Bronze, durchbrochen",Midas-Objekt,1501/1515
882641,,Teile eines Efeukranzes,,KGMKunstkammersogKInventar,Steinpappe,Midas-Objekt,1801/1900
882812,,Bildtafel mit Geißelung Christi,,KGMKunstkammersogKInventar,"Glasfluß & Metalloxyd & Gold & Kupfer, emailliert, Peinture en émail, Kleine Tafel mit halbrundem oberen Abschluß. Farbloses Contre-Email, auf der Vorderseite  weißes Grundemail, darüber, auf blauem Fond, Bemalung in grau, grün und rot schattierten Weißtönen, die in starkem Relief auf der Oberfläche aufliegen. Die Haare der Figuren sind als Goldfläche gestaltet, aus denen Locken ausradiert sind. Die dunkle Zeichnung ist nur sparsam goldgehöht.",Midas-Objekt,1601/1615
882813,,Holzrahmen mit Front aus Drahtgeflecht,,KGMKunstkammersogKInventar,"Holz & Draht, geflochten, Rahmen aus zwei flankierenden Säulen mit hohem Sockel und Gebälk. Besatz mit unterschiedlichen Rosetten aus Drahtgeflecht (sog. Klosterarbeit).",Midas-Objekt,1601/1615
882864,,Platte mit Rosetten auf gelbem Grund,Maw and Co.,KGMKunstkammersogKInventar,"Porzellan, Bemalung",Midas-Objekt,vor 1871
882881,,Krug mit dem Medaillon des Königs von Polen auf dem Deckel,,KGMKunstkammersogKInventar,"Ton (grau) & Zinn, Schnitt, Montierung",Midas-Objekt,1701/1800
882910,,Kanne mit schlankem Hals,,KGMKunstkammersogKInventar,"Ton (weiß?) & Zinn, Schnitt, Einpressung, Montierung",Midas-Objekt,1575/1600?
882937,,"Kleiner, runder Teller mit geometischem Muster",,KGMKunstkammersogKInventar,"Messing, getrieben?",Midas-Objekt,
882971,,Gesimsstück mit Akanthus und Zahnschnitt,,KGMKunstkammersogKInventar,"Ton, Glasur (grün)?",Midas-Objekt,
882985,,Hespe mit Schnörkeln,,KGMKunstkammersogKInventar,"Eisen, geschmiedet, durchbrochen, Gravur",Midas-Objekt,1601/1700
882986,,Frieseckkachel mit Masken und Füllhörnern,,KGMKunstkammersogKInventar,"Ton, Glasur (grün)",Midas-Objekt,
883092,,Schild in Stil Ludwig XIV.,,KGMKunstkammersogKInventar,"Messing, gepreßt, Vergoldung",Midas-Objekt,vor 1869
883213,,Ornamental gestaltete Rückseite,"Reymond, Pierre",KGMKunstkammersogKInventar,,Midas-Objekt,nach 1568
883215,,Leuchter auf breitem Fuß,,KGMKunstkammersogKInventar,Messing,Midas-Objekt,1701/1715
883335,,Kachelabformung mit Christophorus,,KGMKunstkammersogKInventar,Ton,Midas-Objekt,1601/1700?
883355,,Krug mit drei Medaillons,,KGMKunstkammersogKInventar,"Ton (gelb) & Zinn, Montierung",Midas-Objekt,
883379,,,,KGMKunstkammersogKInventar,,Midas-Objekt,
883380,,,,KGMKunstkammersogKInventar,,Midas-Objekt,
883426,,,,KGMKunstkammersogKInventar,,Midas-Objekt,1601/1700
883427,,,,KGMKunstkammersogKInventar,,Midas-Objekt,1601/1700
883491,,Flacher Napf mit Gastmahl zu Kanaan,,KGMKunstkammersogKInventar,"Zinn, gegossen",Midas-Objekt,1601/1700
883792,,Humpen mit Knotenwerk und Blüten,,KGMKunstkammersogKInventar,"Ton (grau) & Zinn, Schnitt, Montierung",Midas-Objekt,1701/1800
883793,,Humpen mit Linien weißer Punkte,,KGMKunstkammersogKInventar,"Ton (grau) & Zinn, Relief, montiert, Beschlag",Midas-Objekt,1707
883849,,Kleiner Krug als Kinderspielzeug,,KGMKunstkammersogKInventar,"Fayence & Zinn, Bemalung, Montierung",Midas-Objekt,1601/1700
883963,,Kanne mit Streublumen und Zinndeckel,,KGMKunstkammersogKInventar,"Fayence & Zinn, Bemalung, Montierung",Midas-Objekt,1601/1700
883966,,Decke mit Fanatsieblumen,,KGMKunstkammersogKInventar,"Seide, Stepparbeit, Applikation",Midas-Objekt,1701/1800
884213,,Blume als Pfostenkrönung,,KGMKunstkammersogKInventar,"Eisen, geschmiedet",Midas-Objekt,1701/1800
884364,,,,KGMKunstkammersogKInventar,,Midas-Objekt,
884365,,,,KGMKunstkammersogKInventar,,Midas-Objekt,
884422,,,,KGMKunstkammersogKInventar,,Midas-Objekt,
884423,,,,KGMKunstkammersogKInventar,,Midas-Objekt,
884431,,Fries mit Bögen und Engelsköpfen,,KGMKunstkammersogKInventar,Kalkstein (istrisch),Midas-Objekt,1401/1500
884478,,Teekanne mit aufgelegten Blumen,,KGMKunstkammersogKInventar,"Fayence, Auflage",Midas-Objekt,1701/1800
884494,,Kleiner Arm,,KGMKunstkammersogKInventar,"Eisen, geschmiedet, durchbrochen",Midas-Objekt,1601/1700
