ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
883933,,Jacke,"Richter, Uli",KGMModeKamerRuf,,Midas-Objekt,1960/1969
883934,,Rock,"Richter, Uli",KGMModeKamerRuf,,Midas-Objekt,1960/1969
883935,,Bluse,"Richter, Uli",KGMModeKamerRuf,,Midas-Objekt,1960/1969
905983,,Manteau einer zweiteiligen Galarobe,,KGMModeKamerRuf,,Midas-Objekt,um 1775/1780
905984,,Rock einer zweiteiligen Galarobe,,KGMModeKamerRuf,,Midas-Objekt,um 1775/1780
2391043,"2003,KR 1399","Brauner Strohhut """"""""Wagenrad"""""""" mit Rosenschmuck",,KGMModeKamerRuf,"Obermaterial: Braunes Strohgeflecht, Futter: cremefarbene Taftseide, brauner Baumwollsamt, Verzierung: blauer Baumwollsamt, Seidenblumen in Rosatönen an grünen Blattzweigen",Allgemein,um 1913
884617,"2003,KR 356",Braune Lederjacke mit schwarzen Kordeln,,KGMModeKamerRuf,"Leder (braun) & Leinen (braun) & Seide (schwarz), gegerbt, posamentiert, Leder, braun""; Leinen, braun, Leinenbindung, Chintz;"" Flechtkordel, Seide, schwarz",Midas-Objekt,um 1846
892027,"2003,KR 361",Bunt bedruckter Hausmantel aus Türkischrot,,KGMModeKamerRuf,"Baumwolle & Leinen, gewebt, bedruckt, gesteppt, posamentiert, Perlmutt, Baumwolle, rot, gelb, grün, blau, weiß, feinfädig, Leinenbindung, dichte Batistqualität, gefärbt in Türkischrot mit Reservierungen und bunt bedruckt""; Muster: Blatt- und Blütenmotive im türkischen Stil zwei identische Gewebelagen sind mit einer Zwischenlage aus Baumwollvlies/Daunen mit einander versteppt; gleichmäßig breite vertikale Wellenstreifen, auf die Steppnähte ist ein rotweißes Flechtband appliziert;"" innenwendig am Kragen ein zusätzliches bedrucktes Baumwollgewebe (braun, beige und grün bedruckt) in Köperbindung",Midas-Objekt,um 1860
892751,"2003,KR 373",Weißes Leinenhemd,,KGMModeKamerRuf,"Leinen (weiß), gewebt, Perlmutt, Leinenbindung",Midas-Objekt,um 1846
900001,"2003,KR 374",Elfenbeinfarbenes Leinenhemd,,KGMModeKamerRuf,"Leinen (elfenbein), gewebt, Leinenbindung",Midas-Objekt,um 1815
904110,"2003,KR 376",Weißes Leinenhemd,,KGMModeKamerRuf,"Leinen (weiß), gewebt, gestickt, Leinen, feinfädig, Leinenbindung",Midas-Objekt,um 1815
890689,"2003,KR 377",Weißes Leinenhemd,,KGMModeKamerRuf,"Leinen (weiß), gewebt, gestickt, Leinen, feinfädig, Leinenbindung",Midas-Objekt,um 1803
894960,"2003,KR 378",Cremefarbenes Leinenhemd mit Weißstickerei,,KGMModeKamerRuf,"Leinen (creme), gewebt, gestickt, Leinen, cremefarben, feinfädig, Leinenbindung, Chintzausrüstung"";"" Weißstickerei: Leinen, weiß, Flachstich: vertikale Borten mit strengen Blattmotiven",Midas-Objekt,um 1850
882177,"2003,KR 379",Weißes Baumwollhemd,,KGMModeKamerRuf,"Baumwolle (weiß) & Leinen (weiß), gewebt, Perlmutt, Baumwolle, weiß, Leinenbindung""; Leinen, weiß, Leinenbindung, gestärkt;"" Leinen, weiß, feinfädig, Leinenbindung",Midas-Objekt,um 1850
894027,"2003,KR 380",Weißes Baumwollhemd mit Volantbesatz,,KGMModeKamerRuf,"Baumwolle (weiß) & Leinen, gewebt, gestickt, Baumwolle, weiß, feinfädig, Leinenbindung"";"" Zierknöpfe: Leinen, Netz- und Reliefstickerei",Midas-Objekt,um 1850
907433,"2003,KR 381",Weißes Baumwollhemd,,KGMModeKamerRuf,"Baumwolle (weiß) & Leinen (weiß), gewebt, Perlmutt, Baumwolle, weiß, feinfädig, Leinenbindung, Batistqualität"";"" Leinen, weiß, feinfädig, Leinenbindung.",Midas-Objekt,um 1850
893923,"2003,KR 484",Weißes Ballkleid aus plissierter Spitze,"Balenciaga, Cristóbal",KGMModeKamerRuf,"Baumwolle (weiß) & Seide (elfenbein) & regenerierte Zellulose, gewebt, gewirkt, Metall, Baumwolle, weiß, ungemusterter Maschinentüll in unterschiedlicher Stärke""; Ausrüstung: in unterschiedliche Stärke mit Steifausrüstung; Baumwolle, weiß, Maschinenspitze mit grobmaschigem Grund und feinmaschigem Flächenmuster mit Konturfäden: ineinander greifende Blattranken; Seide, elfenbeinfarben, Leinenbindung, Crêpe de Chine; regenerierte Zellulose (Kunstseide), elfenbeinfarben, Leinenbindung, Futtertaft;"" versteifende Einlage: breites Band aus Chemiefaser auf synthetischer Basis, großmaschiges Flechtband: 9 und 10 cm breite Spitzenbänder, feinplissiert oder unplissiert",Midas-Objekt,um 1958
888874,"2003,KR 542",Braune Jacke,"Schiaparelli, Elsa",KGMModeKamerRuf,"Wolle (schwarz) & Wolle (lachs), gewebt, Pelz (Persianer) & Kunststoff, Wolle, schwarz, lachsrot (Melange mit roten Stichelhaaren), Köperbindung, geraut, sehr dicke und weiche Qualität""; Seide/Chemiefaser, Leinenbindung, Crêpe de Chine;"" Pelz, naturfarbener Persianer",Midas-Objekt,um 1938
894844,"2003,KR 586 b","Tagesmini, Latzrock zu Ensemble """"""""Dolly Bird","Courrèges, André",KGMModeKamerRuf,"Baumwolle (weiß) & regenerierte Zellulose (Kunstseide), Knöpfe (Glas), mit Kunststoff beschichtetes Trägergewebe: orangefarbener Kunststoff auf Trägergewebe (Lacklederimitat)""; Baumwolle, weiß, Rundkordel mit Flechtmuster; weiße Glasknöpfe;"" Kunstseide, orange, Leinwandbindung, Futtertaft mit Damastmuster: gleichmäßig gestreutes Courrèges-Emblem",Midas-Objekt,um 1968
906586,"2003,KR 100 c",Lachsrosa Culotte mit Droguetmuster,,KGMModeKamerRuf,,Allgemein,um 1760
895230,"2003,KR 11 a",Gestreifter Manteau,,KGMModeKamerRuf,"Seide (creme), Futter: Leinen, weiß, Futter, Seide, creme, Taft, mehrfarbig gestreift, Creme, Rot, Grün, Gelb",Allgemein,um 1780
895231,"2003,KR 11 b",Rock einer zweiteiligen Robe,,KGMModeKamerRuf,"Seide (grün), Taft, Grün",Allgemein,um 1780
