ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
882083,,"Haarnadel, über büstenförmigem Knauf Kopf einer Mohrin mit Halbmond, Federschmuck und Perlen im Haar",,KGMSchmuck,"Silber & Stein & Perle & Email, vergoldet",Midas-Objekt,1601/1700
882734,,Büchse mit Europa auf dem Stier,,KGMSchmuck,"Silber, getrieben, Emailmalerei",Midas-Objekt,1701/1715
887885,,,,KGMSchmuck,,Midas-Objekt,1601/1700
887886,,,,KGMSchmuck,,Midas-Objekt,1601/1700
887887,,,,KGMSchmuck,,Midas-Objekt,1601/1700
897078,,,,KGMSchmuck,,Midas-Objekt,1680/1690
897079,,,,KGMSchmuck,,Midas-Objekt,1680/1690
899186,,Große Haarnadel,,KGMSchmuck,"Silber & Stein, Draht, gedreht",Midas-Objekt,1701/1800
899850,,Messerteil,,KGMSchmuck,"Silber, Vergoldung",Midas-Objekt,1701/1715
900590,,kleine Pfeife,,KGMSchmuck,"Silber, vergoldet, graviert",Midas-Objekt,1501/1600
900661,,Drei silberne Röhren,,KGMSchmuck,,Midas-Objekt,1868
900664,,Silberne Röhre zum Saugen von Tee aus Teekannen,,KGMSchmuck,Silber,Midas-Objekt,1868
902243,,Halsschmuck zur Tracht der Bauern in der Werra-Gegend,,KGMSchmuck,"Silber & Blei & Gold & Stein, vergoldet, gepreßt, Filigran",Midas-Objekt,1884
904465,,,,KGMSchmuck,,Midas-Objekt,1601/1700
904466,,,,KGMSchmuck,,Midas-Objekt,1601/1700
906868,,,,KGMSchmuck,,Midas-Objekt,1701/1715
906869,,,,KGMSchmuck,,Midas-Objekt,1701/1715
909252,,Schlüsselhaken,,KGMSchmuck,"Bronze & Stoff, durchbrochen",Midas-Objekt,1701/1715
2596248,"1885,850 a,b",Tazza mit Deckel (Nachbildung),,KGMSchmuck,"Silber oder Kupfer (?) als Galvanoplastik, versilbert",Allgemein,19. Jh.(2. Hälfte des)
2596235,"1887,46",Kettenflasche (Nachbildung),,KGMSchmuck,"Silber oder Kupfer (?) als Galvanoplastik, versilbert (?),  vergoldet",Allgemein,19. Jh.(2. Hälfte des)
897240,"1867,220 a-b",Messer und Gabel,Wedgwood,KGMSchmuck,"Silber & Steingut, graviert",Midas-Objekt,vor 1867
906279,"1867,396",Armband,,KGMSchmuck,"Silber, gegossen",Midas-Objekt,1867
891623,"1867,397",Halskette,,KGMSchmuck,"Silber, Filigran, gegossen, ziseliert",Midas-Objekt,1867
906615,"1867,40",Bouquethalter in Form eines Delphins mit Füllhorn im Maul,,KGMSchmuck,"Silber, emailliert",Midas-Objekt,1867
