ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2570767,,,"Weitsch, Friedrich Georg",KK19JhDruckgraphik,,Druckgraphik,1816
2592965,,"Ah bah!... Le locataire du premier qui..., Nr. 20 aus Emotions Parisiennes","Daumier, Honoré",KK19JhDruckgraphik,Lithographie,Druckgraphik,1839
2593026,,"Oui, Monsieur, vous voyez en moi une victime, Nr. 3 aus: Robert Macaire","Daumier, Honoré",KK19JhDruckgraphik,Lithographie,Druckgraphik,1840
2569319,1-1916,Geplante Festblatt für den Verleger Kongress Leipzig 1901 1. Zustand f. Druck,"Klinger, Max",KK19JhDruckgraphik,Radierung auf Japanpapier. In Bleistift signiert u.r.,Druckgraphik,1915
2589234,1-2020,"James Rousseau: Physologie du Robert Macaire, mit Illustrationen von Honoré Daumier, Paris 1842","Daumier, Honoré",KK19JhDruckgraphik,,Buch,1842
2589239,2-2020,"Le Restaurateur, Nr. 11 aus: Types Français","Daumier, Honoré",KK19JhDruckgraphik,"Lithographie, Lithographie",Druckgraphik,1836
2339249,3-128,Wanderbursche. Der Peter in der Fremde,"Reubke, Gustav",KK19JhDruckgraphik,Kreidelithographie auf Papier (vélin),Druckgraphik,
2589242,3-2020,"Le bon morceau. - A Tidbit., Nr. 5 aus: Galerie Physionomique","Daumier, Honoré",KK19JhDruckgraphik,"Lithographie, Lithographie",Druckgraphik,1836
2589244,4-2020,"La renommée des glaces. - The good ices, Nr. 7 aus: Galerie Physionomique","Daumier, Honoré",KK19JhDruckgraphik,"Lithographie, Lithographie",Druckgraphik,1837
2589245,5-2020,"La carte à payer, Nr. 11 aus: Galerie Physionomique","Daumier, Honoré",KK19JhDruckgraphik,"Lithographie, Lithographie",Druckgraphik,1837
2589251,6-2020,"Bertrand, j'adore l'industrie, Nr. 1 aus: Les Robert Macaire","Daumier, Honoré",KK19JhDruckgraphik,"kolorierte Lithographie, sur blanc, Lithographie",Druckgraphik,1836
2589256,7-2020,"Robert Macaire Philantrope, Nr. 2 aus: Les Robert Macaire","Daumier, Honoré",KK19JhDruckgraphik,"kolorierte Lithographie, sur blanc",Druckgraphik,1836
1928599,1-128,Johann Nepomuk Rust,"Rettberg, Ralf von",KK19JhDruckgraphik,"Lithographie, Lithographie",Druckgraphik,
