ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1961906,,????ersetzen,"Lissitzky, El",KKBucherMappennach1800,"Papier, Lithographie",Midas-Objekt,1924
2307826,,Dorotheen-Stadt. Die Linden und die neu erbaute Academie,"Müller, Leopold Ludwig",KKBucherMappennach1800,,Zeichnung,o.J.
851035,(280-1844)1998,"Buchdeckel des Buches """"""""Vues de quelques Monuments de Paris..."""""""" mit Aquarellen von Jacques Félix Duban, Jacques Félix Duban","Duban, Jacques Félix",KKBucherMappennach1800,"Leder (rot), Goldschnitt, Leder (rot), Goldschnitt",Buch,
851037,(280-1844)1998,"Vorsatz des Buches """"""""Vues de quelques Monuments de Paris..."""""""" mit Aquarellen von Jacques Félix Duban, Jacques Félix Duban","Duban, Jacques Félix",KKBucherMappennach1800,"Leder (rot und violett), Goldschnitt, Leder (rot und violett), Goldschnitt",Buch,
851039,(280-1844)1998,"Titelblatt des Buches """"""""Vues de quelques Monuments de Paris..."""""""" mit Aquarellen von Jacques Félix Duban","Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851041,(280-1844)1998 - Tafel 1,Paris - Außenansicht des Außenministeriums,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851056,(280-1844)1998 - Tafel 10,Paris - Außenansicht der Kirche Notre Dame de Lorette,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851057,(280-1844)1998 - Tafel 11,Paris - Innenansicht der Kirche Notre Dame de Lorette,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851058,(280-1844)1998 - Tafel 12,Paris - Sehenswürdigkeiten,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851043,(280-1844)1998 - Tafel 2,Paris - Innenansicht des Außenministeriums,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851044,(280-1844)1998 - Tafel 3,Paris - Blick auf den Arc de Triomphe de l'Etoile,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851046,(280-1844)1998 - Tafel 4,Paris - Außenansicht der Kirche La Madeleine,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851047,(280-1844)1998 - Tafel 5,Paris - Innenansicht der Kirche La Madeleine,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851048,(280-1844)1998 - Tafel 6,Paris - Blick auf Place de la Concorde und die Aufrichtung des Obelisken (oben),"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851051,(280-1844)1998 - Tafel 7,++Paris - École Royale des Beaux Arts,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851053,(280-1844)1998 - Tafel 8,Paris - École Royale des Beaux Arts,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
851054,(280-1844)1998 - Tafel 9,Paris - Denkmal für die Julirevolution 1830,"Duban, Jacques Félix",KKBucherMappennach1800,"Deckfarben, Deckfarben",Zeichnung,
1722935,[2958d],Tyll Eulenspiegel,"Ramberg, Johann Heinrich",KKBucherMappennach1800,Papier,Midas-Objekt,
1867207,& B 2083 &ZB 56.1720,Anleitung zur Landschaft-Zeichnung in Handzeichnungs-Manier,"Wagenbauer, Max Josef",KKBucherMappennach1800,"Papier, Lithographie",Midas-Objekt,1817
2607980,30-1981,Ohne Titel (Praesentia),"Batuz, Nicholas",KKBucherMappennach1800,"Farbiges Papierbild, Unikat",Druckgraphik,1979
2607982,71-1983,Ertrinkender,"Bosman, Richard",KKBucherMappennach1800,"Farbholzschnitt, 2. Zustand, Ex. 7/30, Farbholzschnitt",Druckgraphik,1981
2603344,"1-2004, 1-22","#74, Hebräisches Alphabet, 7.2001 mal rechte Hand, mal linke Hand","Ben-Hur, Daniel",KKBucherMappennach1800,"Akkuschrauber, elektrische Bohrmaschine und Bleistift auf Papier",Zeichnung,
1700702,51-1976,Aus dem Jenseits - Offenbarungen einer Seele,"Orlik, Emil",KKBucherMappennach1800,"Holzschnitt, Papier",Midas-Objekt,1921
1852557,54-61,Der Nachtwandler,"Tappert, Georg",KKBucherMappennach1800,"Mappe mit 8 Holzschnitten auf Papier, in Kartonumschlag, Ex. 75/130, Papier, Holzschnitt",Allgemein,1920
