ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1835650,,Fragment des Sündenfalls.,Unbekannt,KKBuchmalerei,,Midas-Objekt,um 1420/1430
1835658,,"Fragment einer Beschneidung mit Text: """"""""Hie sagt moyses von der Beschneidung und das Ahrahe sein nam gewann",Unbekannt,KKBuchmalerei,,Midas-Objekt,1400
1835664,,"Fragment, Moses am Quellwasser mit Text: """"""""das die wasser marat suezz wurden . . .",Unbekannt,KKBuchmalerei,,Midas-Objekt,1400
1835667,,"Darstellung eines Opfers mit Text: """"""""das die Priester anhuben ze opphern . . . an dem achten tage do chündet moyses.",Unbekannt,KKBuchmalerei,,Midas-Objekt,1400 - 1430
1835669,,"Fragment, Gottvater, mit Text: von dem oppher und das ässen . . .",Unbekannt,KKBuchmalerei,,Midas-Objekt,1400
1835678,,"Fragment, Simson mit den Toren von Gaza",Unbekannt,KKBuchmalerei,,Midas-Objekt,1400 - 1430
1835727,,Fragment einer gotischen Kirchenkuppel.,Unbekannt,KKBuchmalerei,,Midas-Objekt,1400 - 1430
1835761,,,Unbekannt,KKBuchmalerei,Kolorierte Federzeichnung auf Papier,Midas-Objekt,um 1420/1430
934851,,,Unbekannt,KKBuchmalerei,Pergament & Tinte (rot) & Tinte (schwarz),Midas-Objekt,um 1480
934852,,Einband und Verschluß,Unbekannt,KKBuchmalerei,"Samt (rot) & Silber, vergoldet, graviert",Midas-Objekt,um 1480
1036115,,Zwei Initialseiten aus einem Psalterium in Großfolio,Unbekannt,KKBuchmalerei,,Midas-Objekt,1450/1500
1036363,,Zwei Ausschnitte aus einem Missale,Unbekannt,KKBuchmalerei,,Midas-Objekt,1200/1300
1036901,,"Acht Illustrationen aus Siegmund Meisterlins """"""""Chronik der Stadt Augsburg"""""""" von 1457, mit zweispaltigem Text geschrieben von Conrad Vaihinger, 1490",Unbekannt,KKBuchmalerei,,Midas-Objekt,um 1490
1037355,,"Sechs Monatsdarstellungen aus einem livre d'heures = drei doppelseitig bemalte Ausschnitte aus einem Kalendarium, ohne Text, mit Halbfiguren, in der Mitte geteilt.",Unbekannt,KKBuchmalerei,,Midas-Objekt,1457/1521
1037720,,"Zwei ausgeschnittene Bildblätter aus Otto von Passau, Die vierundzwanzig Alten.",Unbekannt,KKBuchmalerei,,Midas-Objekt,um 1450
1038481,,"Zwei Ausschnitte aus einem Chorbuch, Paris um 1540",Unbekannt,KKBuchmalerei,,Midas-Objekt,um 1540
1039520,,Zwei Ausschnitte aus einem Coralbuch,Unbekannt,KKBuchmalerei,,Midas-Objekt,1300/1350
1041128,,"Zwei Ausschnitte aus einem Gebetbuch, Salzburg um 1480",Unbekannt,KKBuchmalerei,,Midas-Objekt,1470/1490
1041139,,Zwei Ausschnitte aus einer Civitas die (Cité de dieu) des hl. Augustin.,Unbekannt,KKBuchmalerei,,Midas-Objekt,gegen 1470
1041451,,Drei Initialausschnitte aus einer liturgischen Handschrift,Unbekannt,KKBuchmalerei,,Midas-Objekt,1480/1490
