ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1961167,107-1975,Der pazifistische Söldner,"Altenbourg, Gerhard",KKDDRKunst,Lithographie,Druckgraphik,1966
2021281,107-1986,Dachfenster,"Mattheuer, Wolfgang",KKDDRKunst,Linolstich,Druckgraphik,1981
1961171,108-1975,Verlöschende Spuren,"Altenbourg, Gerhard",KKDDRKunst,Holzschnitt,Druckgraphik,1966
2021282,108-1986,Aussteiger,"Mattheuer, Wolfgang",KKDDRKunst,Linolstich,Druckgraphik,1981
1937946,110-1986,Versuchende Imprägnation affektuöser Vorgänge mit Sprachdenken. Blatt II.,"Claus, Carlfriedrich",KKDDRKunst,Radierung und Kaltnadel,Midas-Objekt,1975
1937947,111-1986,Versuchende Imprägnation affektuöser Vorgänge mit Sprachdenken. Blatt III.,"Claus, Carlfriedrich",KKDDRKunst,Radierung und Kaltnadel,Midas-Objekt,1975
1937948,112-1986,Versuchende Imprägnation affektuöser Vorgänge mit Sprachdenken. Blatt IV.,"Claus, Carlfriedrich",KKDDRKunst,Radierung und Kaltnadel,Midas-Objekt,1975
1938357,127-1984,"Mann am Strand (aus der Serie """"""""Strand"""""""", 8 Radierungen)","Morgner, Michael",KKDDRKunst,Radierung und Aquatinta,Druckgraphik,1983
1938452,127-1984 kopie,"Mann am Strand (aus der Serie """"""""Strand"""""""", 8 Radierungen)","Morgner, Michael",KKDDRKunst,Radierung und Aquatinta,Druckgraphik,1983
1970156,"13-1985,101","Seite 101 in Mappenwerk: """"""""Wund-Denkmale","Altenbourg, Gerhard",KKDDRKunst,Farbholzschnitt,Midas-Objekt,1982 [1984]
1970149,"13-1985,43","Seite 43 in Mappenwerk: """"""""Wund-Denkmale","Altenbourg, Gerhard",KKDDRKunst,Farbholzschnitt,Midas-Objekt,1982 [1984]
1970143,"13-1985,5","Titel. Seite 5 in Mappenwerk: """"""""Wund-Denkmale","Altenbourg, Gerhard",KKDDRKunst,Holzschnitt,Midas-Objekt,1982 [1984]
1970152,"13-1985,65","Seite 65 in Mappenwerk: """"""""Wund-Denkmale","Altenbourg, Gerhard",KKDDRKunst,Farbholzschnitt,Midas-Objekt,1982 [1984]
1970153,"13-1985,73","Seite 73 in Mappenwerk: """"""""Wund-Denkmale","Altenbourg, Gerhard",KKDDRKunst,Farbholzschnitt,Midas-Objekt,1982 [1984]
1970155,"13-1985,95","Seite 95 in Mappenwerk: """"""""Wund-Denkmale","Altenbourg, Gerhard",KKDDRKunst,Farbholzschnitt,Midas-Objekt,1982 [1984]
1565468,"13-1985/1-30,a",Wund-Denkmale. Exemplar 49/50,"Altenbourg, Gerhard",KKDDRKunst,"Papier, Holzschnitt (farbig)",Midas-Objekt,1982 [1984]
2459372,27-2019,Ohne Titel,"Göschel, Eberhard",KKDDRKunst,"Radierung und Aquatinta in Schwarz und Braun, Ex. 57/100",Druckgraphik,1979
2459377,28-2019,Stillleben,"Grüttner, Roswitha (geb. 1939)",KKDDRKunst,"Holzschnitt (vier Farben) auf schwarzem Karton, Ex. 32/50",Druckgraphik,1987
2299784,AM 68-1992,Graphische Etüden. Sachlich - konstruktiv - experimentell (Grafikedition XIII.),"Bartnig, Horst",KKDDRKunst,"Mappe mit 8 Drucken (unterschiedliche Techniken) und zwei Texten von K. Malewitsch und E. Lissitzky, Ex. 183/225",Allgemein,1982
2299787,"AM 68-1992,1", ,"Bartnig, Horst",KKDDRKunst,"Siebdruck, nicht nummeriert",Druckgraphik,1982
2299694,AM 77-1989,Drei Frauen. Dreiergruppe,Strawalde,KKDDRKunst,"Farbradierung, Ex. 22/40, Farbradierung, Ex. 22/40",Druckgraphik,1984
2319312,"AM 108-1980,1-10",Sing-map,"Weidensdorfer, Claus",KKDDRKunst,"Mappe mit Titelblatt und 10 Radierungen, Ex. 3/30, Mappe mit Titelblatt und 10 Radierungen, Ex. 3/30",Midas-Objekt,1980/85
2319313,AM 119-1984,Singwonzmor,"Weidensdorfer, Claus",KKDDRKunst,"Mappe mit 16 Offset(?)drucken, Ex. 1/15, Mappe mit 16 Offset(?)drucken, Ex. 1/15",Midas-Objekt,1983
2295429,AM 158-1986,Der Dirigent Igor Markevitch (aus: Studien aus dem Konzertsaal I),"Schultheiß, Arnd",KKDDRKunst,"Radierung auf grünlichem Papier, teilw. farbig (Weißhöhung) bearbeitet, Ex. 12/30, Radierung auf grünlichem Papier, teilw. farbig (Weißhöhung) bearbeitet, Ex. 12/30",Druckgraphik,1985
2315951,"AM 158-1986,(gesamt)",Studien aus dem Konzertsaal I,"Schultheiß, Arnd",KKDDRKunst,"Mappe mit Textblatt und 15 Radierungen, teilw. farbig (Weißhöhungen) bearbeitet Ex. 12/30, Mappe mit Textblatt und 15 Radierungen, teilw. farbig (Weißhöhungen) bearbeitet Ex. 12/30",Allgemein,1985
2295433,AM 160-1989,Studien aus dem Konzertsaal II,"Schultheiß, Arnd",KKDDRKunst,"Mappe mit Textblatt und 17 Radierungen, teilw. farbig (Weißhöhungen) bearbeitet, Ex. 12/30, Mappe mit Textblatt und 17 Radierungen, teilw. farbig (Weißhöhungen) bearbeitet, Ex. 12/30",Allgemein,1988-1989
2299696,AM 165-1989,"Ohne Titel (Figuren, 8.7.86)",Strawalde,KKDDRKunst,"Siebdruck, mit Pinsel und Kreide überzeichnet, Siebdruck, mit Pinsel und Kreide überzeichnet",Druckgraphik,1987
2299698,AM 167-1989,"Ausstellungsplakat (?) """"""""Figuren",Strawalde,KKDDRKunst,"Siebdruck, mit Ölfarbe und Farbkreide übermalt und überzeichnet, Siebdruck, mit Ölfarbe und Farbkreide übermalt und überzeichnet",Druckgraphik,1988
