ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1618944,,Ars Moriendi - 13 Blatt,Meister M Z,KKDeutscheDruckgraphik16Jh,Kupferstich,Allgemein,
1869659,,Die Dornenkrönung Christi,Unbekannt,KKDeutscheDruckgraphik16Jh,Holzschnitt,Allgemein,
1869660,,Geburt Christi,Unbekannt,KKDeutscheDruckgraphik16Jh,Holzschnitt,Allgemein,
1869663,,Christus am Ölberg,Unbekannt,KKDeutscheDruckgraphik16Jh,"Holzschnitt, koloriert",Allgemein,
1869665,,Die Gefangennahme Christi,Unbekannt,KKDeutscheDruckgraphik16Jh,"Holzschnitt, koloriert",Allgemein,
1869667,,Der Tod der hl. Jungfrau,Unbekannt,KKDeutscheDruckgraphik16Jh,,Allgemein,
1869669,,Christus am T-Kreuz,Unbekannt,KKDeutscheDruckgraphik16Jh,"Holzschnitt, koloriert",Druckgraphik,
1869670,,Die Kreuzabnahme,Unbekannt,KKDeutscheDruckgraphik16Jh,"Holzschnitt, koloriert",Allgemein,
943898,,Gebetbuchillustrationen ohne Text,Unbekannt,KKDeutscheDruckgraphik16Jh,Deckfarbe : Pergament,Midas-Objekt,1470/1485
968688,,Friedrich II. nach der Schlacht von Kolin (Böhmen) am 18. Juni 1757,"Berger, Daniel (1744)",KKDeutscheDruckgraphik16Jh,"Radierung, Radierung",Druckgraphik,1801
1036099,,Die Ansichten in und um Nürnberg,"Strauch, Lorenz",KKDeutscheDruckgraphik16Jh,Radierung,Midas-Objekt,1598
1036187,,Jüdischer Tempelschmuck und der Hohepriester Aaron,"Woensam, Anton",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,
1036237,,Die sieben Planeten und Tierkreiszeichen. Folge von 8 Blatt,"Beham, Sebald",KKDeutscheDruckgraphik16Jh,Kupferstich,Midas-Objekt,um 1539
1036250,,"Verschiedene Vögel, Insekten und andere Tiere.","Solis, Virgilius (der Ältere)",KKDeutscheDruckgraphik16Jh,Radierung,Midas-Objekt,
1036279,,Festons von Früchten Folge von 10 Blatt,"Sibmacher, Johann",KKDeutscheDruckgraphik16Jh,Radierung,Midas-Objekt,
1036376,,Serie von 12 Landschaften,"Lautensack, Hans Sebald",KKDeutscheDruckgraphik16Jh,Kupferstich,Midas-Objekt,
1036404,,Offiziere und Soldaten,"Binck, Jacob",KKDeutscheDruckgraphik16Jh,Kupferstich,Midas-Objekt,1555
1036409,,Acht Phantasiewappen,"Solis, Virgilius (der Ältere)",KKDeutscheDruckgraphik16Jh,Radierung,Midas-Objekt,
1036418,,8 Blatt: Die sieben Planeten,"Pencz, Georg",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,
1036470,,Porträt des Hieronymus Tragus,"Kandel, David",KKDeutscheDruckgraphik16Jh,Holzschnitt,Druckgraphik,
1036568,,Christuspassion,"Traut, Wolf",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,
1036635,,Zwei Blätter mit dem Alphabet,"Weiditz, Hans (2)",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,
1036651,,"Der große Triumphwagen (5. Ausg., 1589, vollständige Folge von 8 Blatt, v. Nagler)","Dürer, Albrecht",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,1522
1036651,,"Der große Triumphwagen (5. Ausg., 1589, vollständige Folge von 8 Blatt, v. Nagler)","Dürer, Albrecht",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,
1036701,,"Vier Illustrationen aus: Geiler von Keysersberg, Das irrig Schaf, Straßburg 1514",Unbekannt,KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,
1036763,,"Martin Luther. Das Neu Testament ... Augsburg, Silvan Otmar 11 Juni 1523.","Otmar, Silvan",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,1523
1036780,,Dornenkrönung,"Cranach, Lucas (der Ältere)",KKDeutscheDruckgraphik16Jh,,Midas-Objekt,
1036889,,Monatsdarstellungen. Folge von zwölf Blatt,"Sibmacher, Johann",KKDeutscheDruckgraphik16Jh,Radierung,Midas-Objekt,
1037056,,Einzug des Fürsten und Erzherzogs Ernst von Österreich in Nürnberg 1593,Unbekannt,KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,1593
1037069,,Postilla Guillermi Averni Super Epistolas Et Evangelia ...,Unbekannt,KKDeutscheDruckgraphik16Jh,,Midas-Objekt,
1037133,,"Hans Hauq zum Freystein. Der Hungern Chronica. Wien, H. Metzker 1534.","Metzker, H.",KKDeutscheDruckgraphik16Jh,,Midas-Objekt,1534
1037158,,Serie von Landschaften mit biblischen Themen: Die Flucht nach Ägypten,"Lautensack, Hans Sebald",KKDeutscheDruckgraphik16Jh,Kupferstich,Druckgraphik,1555
1037214,,Ritter nach rechts,"Burgkmair, Hans (der Ältere)",KKDeutscheDruckgraphik16Jh,,Midas-Objekt,
1037222,,"Feierabend, Wappenbuch, verso: Königlich Böhmisches Wappen","Ammann, Jost",KKDeutscheDruckgraphik16Jh,,Midas-Objekt,
1037249,,Die neun Musen,"Solis, Virgilius (der Ältere)",KKDeutscheDruckgraphik16Jh,Radierung,Midas-Objekt,
1037301,,Die klugen und törichten Jungfrauen,"Manuel, Niklaus (1)",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,1518
1037388,,"Christus, die Apostel und Paulus","Cranach, Lucas (der Ältere)",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,
1037399,,Das Gleichnis vom armen Lazarus und dem reichen Mann,"Aldegrever, Heinrich",KKDeutscheDruckgraphik16Jh,Kupferstich,Midas-Objekt,1554
1037430,,Der Triumhzug des Kaisers Maximilian I.,"Treitzsaurwein, Marx",KKDeutscheDruckgraphik16Jh,Holzschnitt,Midas-Objekt,
1037444,,"Die kleinen Hochzeitstänzer, 1538","Aldegrever, Heinrich",KKDeutscheDruckgraphik16Jh,Kupferstich,Midas-Objekt,1538
1037493,,Die Geschichte der Türkenkriege von H. Ortelius Folge von 58 Blatt,"Sibmacher, Johann",KKDeutscheDruckgraphik16Jh,Radierung,Midas-Objekt,
1037501,,Initiale V mit der Aussendung des heiligen Geistes,"Breu, Jörg (1)",KKDeutscheDruckgraphik16Jh,,Midas-Objekt,1515
1037525,,April,"Beham, Sebald",KKDeutscheDruckgraphik16Jh,,Midas-Objekt,
1037543,,Betbüchlein,"Solis, Virgilius (der Ältere)",KKDeutscheDruckgraphik16Jh,Radierung,Midas-Objekt,
1037743,,Leutefridus,"Burgkmair, Hans (der Ältere)",KKDeutscheDruckgraphik16Jh,,Midas-Objekt,
1037751,,"Feierabend, Wappenbuch, verso: Wappen der Kühorn","Ammann, Jost",KKDeutscheDruckgraphik16Jh,,Midas-Objekt,
1037806,,Die sieben Planeten,"Ladenspelder, Johann",KKDeutscheDruckgraphik16Jh,Kupferstich,Midas-Objekt,
1037896,,Verschiedene Darstellungen,"Ammann, Jost",KKDeutscheDruckgraphik16Jh,Radierung,Midas-Objekt,
1037964,,Die Geschichte von Adam und Eva,"Aldegrever, Heinrich",KKDeutscheDruckgraphik16Jh,Kupferstich,Midas-Objekt,1540
1037983,,"Feierabend, Wappenbuch, verso: Wappen des Johannes Wimpheling","Ammann, Jost",KKDeutscheDruckgraphik16Jh,,Midas-Objekt,
