ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1510591,,Häfen nach Vernet,"Lebas, Jacques-Philippe",KKFranSpanEngDruckgraphik,,Midas-Objekt,1760 - 1780
1514063,,Heirat nach der Mode,"Hogarth, William",KKFranSpanEngDruckgraphik,,Midas-Objekt,1797
1514632,,Das Leben eines Wüstlings,"Hogarth, William",KKFranSpanEngDruckgraphik,,Midas-Objekt,1735
1514780,,die vier Stadien der Grausamkeit,"Hogarth, William",KKFranSpanEngDruckgraphik,,Midas-Objekt,1751
1514854,,"Sammlung der schönsten Ruinen von Lissabon, verursacht durch das Erdbeben und das Feuer des ersten November 1755","Lebas, Jacques-Philippe",KKFranSpanEngDruckgraphik,,Midas-Objekt,1757
2042393,,Die Flucht nach Ägypten,"Bourdon, Sébastien",KKFranSpanEngDruckgraphik,"Radierung, Radierung",Midas-Objekt,um 1653 - 1657
2049439,,"Illustrationen zu """"""""Fiestas de la S. Iglesia Metropolitana, y Patriarcal de Sevilla: al nuevo culto del señor rey S. Fernando el Tercero de Castilla y de Leon ..."""""""" von Fernando de la Torre Farfan","Arteaga y Alfaro, Francisco de",KKFranSpanEngDruckgraphik,"Radierung, Radierung",Midas-Objekt,1671 - 1673
2267486,,"Serie """"""""Lux claustri / La lumière du cloître"""""""" (Das Licht des Klosters)","Callot, Jacques",KKFranSpanEngDruckgraphik,"Radierung, Radierung",Midas-Objekt,um 1626 - 1628
2267488,,"Serie """"""""Lux claustri / La lumière du cloître"""""""" (Das Licht des Klosters)","Callot, Jacques",KKFranSpanEngDruckgraphik,"Radierung, Radierung",Midas-Objekt,um 1626 - 1628
2338685,3-2017,"Die Buße / Christus im Hause des Simon, Maria Magdalena trocknet Christus die Füße mit ihren Haaren ab (aus einer Serie der sieben Sakramente)",Unbekannt,KKFranSpanEngDruckgraphik,"Kupferstich und Radierung auf Vergépapier, Kupferstich und Radierung auf Vergépapier",Druckgraphik,1692 - 1696
2338686,4-2017,"Iris (trägt die Wasser des Flusses Styx auf den Olymp, damit die Götter darauf schwören können)","Bonnefoy, Jacques",KKFranSpanEngDruckgraphik,"Farbstich, Farbstich",Druckgraphik,um 1800
