ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1841525,,Apoll und Daphne,"Mazzola, Francesco",KKItalZeichnung,"Feder in Braun, braun laviert, auf Papier",Midas-Objekt,um 1532-1535
933970,,"Kniende weibliche Figur"";"" Hand mit Buch","Sogliani, Giovannantonio di Francesco",KKItalZeichnung,"Stift (schwarz) & Papier, Schwarzer Stift auf Papier, Schwarzer Stift auf Papier",Midas-Objekt,
934103,,Text Inferno XXVI,"Mangona, Nicolaus",KKItalZeichnung,"Tinte (braun), regliert",Midas-Objekt,um 1495
934156,,Text Purgatorio IX,"Mangona, Nicolaus",KKItalZeichnung,"Tinte (braun), regliert",Midas-Objekt,um 1495
934215,,Text Purgatorio XVII,"Mangona, Nicolaus",KKItalZeichnung,"Tinte (braun), regliert",Midas-Objekt,um 1495
934307,,Text Paradiso XXIII,"Mangona, Nicolaus",KKItalZeichnung,"Tinte (braun), regliert",Midas-Objekt,um 1495
934460,,Text Paradiso IV,"Mangona, Nicolaus",KKItalZeichnung,"Tinte (braun), regliert",Midas-Objekt,um 1495
934921,,"Studie von drei Männern, die an einem Seil ziehen","Scaramuccia, Luigi",KKItalZeichnung,"Stift (grau) & Tinte (braun) & Deckweiß & Papier, gehöht (weiß), bestrichen (hellbraun), Pinsel, Pinsel in Braun, weiß gehöht, teilweise oxydiert, über Vorzeichnung mit grauem Stift, auf hellbraun bestrichenem Papier",Midas-Objekt,1601/1700
934922,,Flußlandschaft mit Fischern und einer Dorfansicht,"Scaramuccia, Luigi",KKItalZeichnung,"Tinte (braun) & Tinte (dunkelbraun) & Stift (grau) & Papier, Feder, Feder in zwei Brauntönen über Vorzeichnung mit grauem Stift",Midas-Objekt,1601/1700
934923,,Krieger und zwei weitere Figuren in einer Gruppe,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (schwarz) & Papier, Schwarzer Stift",Midas-Objekt,1601/1700
934924,,"Szenische Studie einer Figurengruppe mit einem knienden Mann, der einem sitzenden Mann ein Album zeigt, zwei Kriegern und einer weiteren Figur","Scaramuccia, Luigi",KKItalZeichnung,"Stift (schwarz) & Papier, Schwarzer Stift",Midas-Objekt,1601/1700
934925,,Studie eines sitzenden Jünglings und eines stehenden älteren Mannes,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (braun) & Papier, Brauner Stift",Midas-Objekt,1601/1700
934926,,Studie eines knienden Mannes sowie eines schreitenden Mannes und einer vor ihm knienden jungen Frau vor weiteren Figuren,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (schwarz) & Papier, Schwarzer Stift",Midas-Objekt,1601/1700
934927,,Predigt eines Mönches,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (grau) & Tusche (grau) & Deckfarbe (weiß) & Deckfarbe (orangebraun) & Papier, gehöht (weiß), Pinsel, Grauer Stift, Pinsel in Grau, Orangebraun und Weiß, auf hellbraun bestrichenem Papier",Midas-Objekt,1601/1700
934928,,Moses vor dem brennenden Dornbusch,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (grau) & Tusche (graubraun) & Tusche (braun) & Deckfarbe (weiß) & Deckfarbe (orangebraun) & Papier, bestrichen (hellbraun), gehöht (weiß), Pinsel, Grauer Stift, Pinsel in Graubraun, Braun, Orangebraun und Weiß, auf hellbraun bestrichenem Papier",Midas-Objekt,1601/1700
934929,,Szenische Studie einer von einem hinter einer Mauer hervorguckenden Bären in Aufruhr gebrachten Figurengruppe,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (grau) & Papier, bestrichen (blau), Grauer Stift auf blau bestrichenem Papier",Midas-Objekt,1601/1700
934930,,Eine Bündel tragende Familie auf der Wanderung,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (grau) & Tusche (graubraun) & Tinte (braun) & Deckfarbe (weiß) & Deckfarbe (orangebraun) & Papier, bestrichen (hellbraun), Pinsel, Grauer Stift, Pinsel in Graubraun, Braun, Orangebraun und Weiß, auf hellbraun bestrichenem Papier",Midas-Objekt,1601/1700
934931,,Szenische Studie einer göttlichen Erscheinung mit am Boden knienden Figuren,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (grau) & Stift (weiß) & Papier, bestrichen (blau), Grauer und weißer Stift auf blau bestrichenem Papier",Midas-Objekt,1601/1700
934932,,"Szenische Studie einer Figurengruppe, die vor einem Stier flüchtet","Scaramuccia, Luigi",KKItalZeichnung,"Stift (schwarz) & Stift (weiß) & Papier, bestrichen (blau), Schwarzer Stift, weiß gehöht, auf blau bestrichenem Papier",Midas-Objekt,1601/1700
934933,,"Am Boden lagernde, rastende Figurengruppe","Scaramuccia, Luigi",KKItalZeichnung,"Stift (braun) & Papier, Brauner Stift",Midas-Objekt,1601/1700
934934,,"Studie eines sitzenden nackten Mannes und zweier vor ihm stehender Männer, die gemeinsam etwas tragen","Scaramuccia, Luigi",KKItalZeichnung,"Stift (braun) & Papier, Brauner Stift",Midas-Objekt,1601/1700
934935,,"Szenische Studie eines musizierenden, sitzenden nackten Mannes und einer zuschauenden, liegenden Figur","Scaramuccia, Luigi",KKItalZeichnung,"Stift (schwarz) & Papier, Schwarzer Stift",Midas-Objekt,1601/1700
934936,,Studie dreier nackter Männer,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (braun) & Papier, Brauner Stift",Midas-Objekt,1601/1700
934937,,Studie eines knienden Mannes sowie einer sitzenden und einer knienden Figur,"Scaramuccia, Luigi",KKItalZeichnung,"Stift (braun) & Papier, Brauner Stift",Midas-Objekt,1601/1700
934938,,"Studie einer sitzenden Frau und eines stehenden Mannes, der einen Stab in den Händen hält.","Scaramuccia, Luigi",KKItalZeichnung,"Stift (schwarz) & Papier, Schwarzer Stift",Midas-Objekt,1601/1700
