ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1724549,,Alcune vedute di Archi Trionfali ed altri monumenti,"Piranesi, Giovanni Battista",KKItalienischeDruckgraphik,"Radierung, Radierung",Midas-Objekt,1748
1724589,,Caprices de Berlin,"Costa, Giovanni Francesco (1750)",KKItalienischeDruckgraphik,Radierung,Midas-Objekt,ca. 1743
1724639,,"Geschichten von Bertoldo, Bertoldino und Cacasenno","Crespi, Giuseppe Maria",KKItalienischeDruckgraphik,Radierung,Midas-Objekt,
838772,###,Vedute di Roma. Veduta interna della Chiese della Madonna degli Angioli detto della Certosa,"Piranesi, Giovanni Battista",KKItalienischeDruckgraphik,"Radierung, Radierung",Druckgraphik,
1629950,(43009),Hl. Albert von Trapani (kolorierter Einblattdruck in ein Holzkästchen geklebt),Unbekannt,KKItalienischeDruckgraphik,"Holzschnitt (grauer Reiberdruck), feuerrot, gelbgrün und schwarz koloriert, eingeklebt auf den Boden einer eisenbeschlagenen, hölzernen Kassette, Holzschnitt, koloriert",Druckgraphik,um 1470
2255600,6-1910,"Mit Holzschnitten beklebter Cassone, an den Schmalseiten aufgemalt das Wappen der Familie Albizzi",Unbekannt,KKItalienischeDruckgraphik,"Holzschnitte auf Papier, aufgeklebt auf Holz, Holzschnitt",Druckgraphik,um 1470
1966394,1-2015,Ansicht der Stadt Rom vom Gianicolo aus (Prospetto dell'Alma Città di Roma visto del Monte Gianicolo),"Vasi, Giuseppe",KKItalienischeDruckgraphik,"Radierung, Radierung",Druckgraphik,1765
1681403,2-20,Landschaft in einem Oval von Genien umgeben,Unbekannt,KKItalienischeDruckgraphik,"Radierung, Radierung",Druckgraphik,
1569867,3-24,Adam und Eva mit Kain und Abel,"Robetta, Cristofano",KKItalienischeDruckgraphik,"Kupferstich, Kupferstich",Druckgraphik,um 1500-1510
2260490,16-2016,Veduta della Dogana di Terra a Piazza di Pietra,"Piranesi, Giovanni Battista",KKItalienischeDruckgraphik,Radierung,Druckgraphik,1753
2604166,17-1889,"Porträt von Agostino Barbarigo (1486-1501), Doge von Venedig",Unbekannt,KKItalienischeDruckgraphik,Holzschnitt,Druckgraphik,1500 - 1599
