ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2026404,,Paar,"Steger, Milly",KKKlassischeModerne,Bleistift,Midas-Objekt,
2026422,,Hockender weiblicher Akt,"Steger, Milly",KKKlassischeModerne,Bleistift,Midas-Objekt,
2291770,,"Streckenarbeiterinnen. Blatt 7 aus Mappe """"""""Rhytmus der Arbeit","Hasse, Sella",KKKlassischeModerne,Holzschnitt,Druckgraphik,
2320529,,Symbole der Zeit,"Slevogt, Max",KKKlassischeModerne,,Druckgraphik,1916
2441752,,Ohne Titel (Offene See mit vier Booten),"Nolde, Emil",KKKlassischeModerne,Tusche und Aquarell auf Papier,Zeichnung,
2441757,,Ohne Titel (Stillleben),"Dülberg, Peter",KKKlassischeModerne,"Bleistift, Deckfarben und Filzstift auf Papeir",Zeichnung,26.2.1965
2441759,,Ohne Titel (Waldstück mit Lichtung),"Steinhausen, Wilhelm August Theodor",KKKlassischeModerne,Kaltnadel auf Papier,Druckgraphik,
2441760,,Selbstbildnis beim Malen,"Kalckreuth, Leopold von (Graf)",KKKlassischeModerne,Radierung auf Papier,Druckgraphik,1923
2441762,,Bauerngefährt auf dem Weg ins Dorf,"Kalckreuth, Leopold von (Graf)",KKKlassischeModerne,Radierung auf Papier,Druckgraphik,um 1890
2441763,,Ohne Titel (Tanzende Gruppe),"Hofmann, Ludwig von",KKKlassischeModerne,Holzschnitt (vier Farben) auf Papier,Druckgraphik,
2441764,,Raub der Europa,"Hofmann, Ludwig von",KKKlassischeModerne,Lithographie auf Papier,Druckgraphik,
2464850,,Ohne Titel,"Dülberg, Peter",KKKlassischeModerne,Kugelschreiber und Aquarell auf Papier,Zeichnung,21.5.1961
2464855,,Ohne Titel,"Dülberg, Peter",KKKlassischeModerne,Blauer Kugelschreiber und Filzstifte (?) auf Papier,Zeichnung,13.9.1973
2464856,,Groteske (Sich verlustierende Frauen oder Männer auf einer Südseeinsel),"Preetorius, Emil",KKKlassischeModerne,"Aquarell über Bleistift, etwas Deckfarben",Zeichnung,1919 (1929)
2563991,,Berlin,"Jauss, Anne Marie",KKKlassischeModerne,"Bleistift auf Papier, Bleistift auf Papier",Zeichnung,1930-1932
2563992,,Berlin - An der Spree,"Jauss, Anne Marie",KKKlassischeModerne,"Bleistift auf Papier, Bleistift auf Papier",Zeichnung,1930-1932
2563993,,Mädchen im Wind,"Jauss, Anne Marie",KKKlassischeModerne,"Kaltnadel auf Papier, Ex. ohne Nr., Kaltnadel auf Papier, Ex. ohne Nr.",Druckgraphik,1923
2563994,,Vorstadthäuser Madrid,"Jauss, Anne Marie",KKKlassischeModerne,"Kaltnadel auf Papier, Ex. ohne Nr., Kaltnadel auf Papier, Ex. ohne Nr.",Druckgraphik,1926
2563995,,Salamander,"Jauss, Anne Marie",KKKlassischeModerne,"Kaltnadel auf Papier (PM Fabriano (1940)), Ex. 8/30, Kaltnadel auf Papier (PM Fabriano (1940)), Ex. 8/30",Druckgraphik,1929
2563996,,Chiemsee (bei Feldwies),"Jauss, Anne Marie",KKKlassischeModerne,"Kaltnadel auf Papier (PM Fabriano), Ex. 4/15, Kaltnadel auf Papier (PM Fabriano), Ex. 4/15",Druckgraphik,1929
2563997,,Kleines Mädchen im Spitzenkleid,"Jauss, Anne Marie",KKKlassischeModerne,"Kaltnadel auf Papier (PM Fabriano), Ex.6/25, Kaltnadel auf Papier (PM Fabriano), Ex.6/25",Druckgraphik,1929
2564000,,"Treppenhaus, Kronprinzenpalais Berlin","Jauss, Anne Marie",KKKlassischeModerne,"Aquarell auf Papier, Aquarell auf Papier",Zeichnung,1931
2596779,,"Ohne Titel (Paradiso 4,139 bis 5,12)","Wrage, Klaus",KKKlassischeModerne,"Holzschnitt, Velinpapier, Holzschnitt, nicht nummeriertes Exemplar",Druckgraphik,1924
2301580,??,"Figürliche Szene (aus: Revue Verve, Nr. 27-28)","Miró, Joan",KKKlassischeModerne,"Farblithographie ?, Farblithographie ?",Druckgraphik,1952
2611551,1-2021,"Die Giganten im Brunnen. Illustration zur """"""""Hölle"""""""" (31. Gesang) der Göttlichen Komödie (Einzelblatt)","Jaeckel, Willy",KKKlassischeModerne,"Radierung, nicht num. Ex.",Druckgraphik,um 1923 - 1923
2386297,2-1983,"Die Nacht (Blatt 31 aus """"""""Shakespeare-Visionen"""""""")","Beckmann, Max",KKKlassischeModerne,"Kaltnadelradierung, Kaltnadelradierung",Druckgraphik,1914
2423177,3-1965,"Bildnis Frau H. M. (Naila) (Blatt 2 aus der """"""""Mappe der Gegenwart"""""""")","Beckmann, Max",KKKlassischeModerne,"Holzschnitt, Velinpapier, Holzschnitt, nicht num. (aus der Auflage von 220 Ex.).",Druckgraphik,1923
2470127,"3-1966,a-l","Zehn Lithographien (Euphorion-Verlag, Berlin)","Abbo, Jussuff",KKKlassischeModerne,"Zehn Lithographien und ein Verzeichnis der Blätter, Zehn Lithographien und ein Verzeichnis der Blätter",Allgemein,1923
2303500,3-1983,Gilgamesch,"Götz, Karl Otto",KKKlassischeModerne,"Lackdruck in Grün, Ex: Variante Einzeldruck/15, Lackdruck in Grün, Ex: Variante Einzeldruck/15",Druckgraphik,1947
