ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1584099,,Trilogie Ö.K.,"Klinge, Dietrich (1954)",KKKunstseit1960,"Zyklus von 183 Radierungen auf Zerkall-Bütten in vier Kapiteln und acht Mappen , Ex. 8/15 (?)",Allgemein,1982 - 1985
1585916,,Kurz vor der Dämmerung. 1. Werksatz Nr. 32,"Walther, Franz Erhard",KKKunstseit1960,"Foto, Foto",Midas-Objekt,1967
1872180,,"Ohne Titel (in: ZET. Das Zeichenheft für Literatur und Graphik, Bd. ##)","Sonderborg, K. R. H.",KKKunstseit1960,"Radierung, Ex. 34/99 (aus der Kassette mit den Heften 1-12. hg. von Wolfgng Rothe. Mit Originalen. Beilage: 1 Prägedruck und 11 Radierungen., Radierung, Ex. 34/99 (aus der Kassette mit den Heften 1-12. hg. von Wolfgng Rothe. Mit Originalen. Beilage: 1 Prägedruck und 11 Radierungen.",Midas-Objekt,1975
1874034,,aus: Kunstpreis der Künstler 1987 - für H. C. Artmann,"Lüpertz, Markus",KKKunstseit1960,"Radierung, Vernis mou und Kaltnadel auf Rives-Velin-Papier, Ex. 1/10, Radierung, Vernis mou und Kaltnadel auf Rives-Velin-Papier, Ex. 1/10",Druckgraphik,
1900531,,Ohne Titel,"Castellani, Enrico",KKKunstseit1960,,Druckgraphik,
1941893,,Ohne Titel,Unbekannt,KKKunstseit1960,"Bleistift, Filz- und Buntstift, Bleistift, Filz- und Buntstift",Midas-Objekt,2006
2005227,,Potsdam-Stadtansicht - Von Westen gesehen,"Kahlen, Wolf",KKKunstseit1960,blau übermalte Postkarte mit historischer Stadtansicht,Zeichnung,1986
2012160,,Blue/Black,"Kelly, Ellsworth",KKKunstseit1960,"Farblithographie, Ex.  A.P. IV, Farblithographie, Ex.  A.P. IV",Druckgraphik,1970
2460994,,Debussy: Prélude à l´Après-midi d´un faune,"Kees, Peter",KKKunstseit1960,"Graphit auf Papier, Graphit auf Papier",Zeichnung,2012
2460996,,Wagner: Parsifal III: Karfreitagszauber,"Kees, Peter",KKKunstseit1960,"Graphit auf Papier, Graphit auf Papier",Zeichnung,2012 (?)
