ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
1921629,,Landsknecht mit Schwert und Speer. Farbdruckplatte zum recto?,Unbekannt,KKPlattenarchiv,,Midas-Objekt,
1921680,,(unfertige?) Farbplatte zum recto.,Unbekannt,KKPlattenarchiv,,Midas-Objekt,
1922192,,Verso Farbplatte (?),Unbekannt,KKPlattenarchiv,,Midas-Objekt,
1922196,,Verso: Farbplatte (?).,Unbekannt,KKPlattenarchiv,,Midas-Objekt,
1922779,,Antikenfigur (?) und F.P.I.V.,Unbekannt,KKPlattenarchiv,,Midas-Objekt,
1922799,,Schnittspuren,Unbekannt,KKPlattenarchiv,,Midas-Objekt,1556
1922852,,Sich putzender Bär,Unbekannt,KKPlattenarchiv,,Midas-Objekt,
2285439,64-1973,Familienwappen von Rohrbach und von Holzhausen,Monogrammist b g,KKPlattenarchiv,"Kupferstich-Druckplatte, Kupferstich-Druckplatte",Midas-Objekt,um 1480
2393374,Derschau 203.2,Drei männliche Figuren in Raum,"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1922851,349-1936,Maria mit dem Kind und zwei Knaben,"Altdorfer, Albrecht",KKPlattenarchiv,"Kupferdruckplatte, graviert",Midas-Objekt,1507
1706840,733-1851,"Zwölf Entwürfe für ornamentale Wappenhalter, Handtuchhalter, Spiegel etc.","Hopfer, Daniel (1)",KKPlattenarchiv,"Druckplatte (Eisenradierung), Radierung",Midas-Objekt,o.J.
1922795,C III 54,Fahnenträger,"Altdorfer, Albrecht",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1513
1922793,C III 56,"Von der Frau des Ritters, die einen Pfaffen liebhaben wollte.","Schäufelein, Hans Leonhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,um 1536
1922792,C III 57,Heilige Sippe,"Altdorfer, Albrecht",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1513
2562016,E 337 (Druckplatte),Wallfahrt nach Französisch Buchholz. E. 337,"Chodowiecki, Daniel Nikolaus",KKPlattenarchiv,"Radierungs-Druckplatte, Kupfer",Midas-Objekt,1775
1912551,Derschau 001,"Eingeborene mit Herde, aus: Indienreise","Burgkmair, Hans (der Ältere)",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1912825,Derschau 002,"	Römische Kaiser: Julius Cäsar, Tiberius, Augustus, Caligula, Claudius, Nero, Galba, Otho, Vitellus, Vespasian, Titus, Domitian, Nerva, Trajan","Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1912844,Derschau 003,Die Kirchweih von Mögelsdorf,"Beham, Barthel",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1913023,Derschau 004,Schuß auf den toten Vater,"Lorichs, Melchior",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1551
1921256,Derschau 005,Taufe Christi in der Pegnitz,Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921258,Derschau 006,Passionsszenen in Landschaft,Monogrammist H W (1501),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921257,Derschau 007,Abendmahl (8 Stöcke),Monogrammist H W (1501),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921298,Derschau 007v,Kruzifix mit Maria und Johannes,Monogrammist H W,KKPlattenarchiv,,Midas-Objekt,
1921260,Derschau 008,Bekehrung Pauli (nach Baldung (?)),"Weigel, Martin",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921265,Derschau 009,Marienaltar mit der schönen Maria von Regensburg,"Altdorfer, Albrecht",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921263,Derschau 010,Hl. Christopherus,"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921264,Derschau 011,"Allegorie der Tyrannei """"""""Der arm gemein Esel"""""""". Tyrannei, Wucher und Heuchelei im Kampf mit dem Wort Gottes","Flötner, Peter (1485)",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921262,Derschau 012,Die geistliche Kornmühle,Monogrammist H R (1501),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921259,Derschau 013,Madonna,"Lorichs, Melchior",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921377,Derschau 013v,Katze,Unbekannt,KKPlattenarchiv,,Midas-Objekt,
1921261,"Derschau 014, 1",Christus am Kreuz mit drei Engeln,"Dürer, Albrecht",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921379,"Derschau 014, 2",Christus am Kreuz mit drei Engeln,"Dürer, Albrecht",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921876,Derschau 0143,Bildnis Karl V.,"Weigel, Hans (der Ältere)",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1556
1921380,Derschau 015,Belagerung der Stadt Münster,"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921383,Derschau 016,Christus mit der hl. Veronika,Monogrammist M W (1501),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921384,Derschau 017,"Der verlorene Sohn: Abreise, Festmahl, Hüten der Herde, Rückkehr","Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921386,Derschau 018,Figurenalphabet,"Amman, Jost",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1567
1921387,Derschau 019,Bildnis Hans Sachs,"Ostendorfer, Michael",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1545
1921391,Derschau 021,Hochzeit von Kanaa (4 Stöcke),"Weigel, Martin",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,1556
1921392,Derschau 022,Belagerung von Bethuba (4 Stöcke),"Schäufelein, Hans Leonhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921393,Derschau 023,Landsknecht und Frau,"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921420,Derschau 024,Fries: Sündenfall & Rechtfertigung (6 Stöcke ),Monogrammist N G,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921424,Derschau 025,Graf Babo von Abendsberg empfängt die Lehen für Regensburg von Kaiser Heinrich II (2 Stöcke),Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,16. Jahrhundert
1921428,Derschau 026,Christus vor Kaiphas (4 Stöcke),Monogrammist M W (1501),KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921451,Derschau 027,Auferstehung Christi (8 Stöcke),"Vogtherr, Heinrich (der Jüngere)",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921454,Derschau 028,Verkündigung (8 Stöcke),Monogrammist M K,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921459,Derschau 029,Auferweckung des Lazarus (8 Stöcke),"Schäufelein, Hans Leonhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921460,Derschau 030,Luther als Mönch (Kopie nach Holl 7 (Kupferstich)),"Cranach, Lucas (der Ältere)",KKPlattenarchiv,"Holzstock, Holzschnitt",Midas-Objekt,1520
1921461,Derschau 030v,Öffnung des sechsten Siegel,Unbekannt,KKPlattenarchiv,,Midas-Objekt,
1921462,Derschau 031,Geburt Christi und Anbetung der Hirten,Unbekannt,KKPlattenarchiv,Holzdruckstock,Midas-Objekt,15. Jahrhundert
1921463,Derschau 031v,Hieronymus in der Wildnis (Kopie nach Stock 113),Unbekannt,KKPlattenarchiv,,Midas-Objekt,1401
1921465,Derschau 032,Schmale Leiste mit den Vier Jahreszeiten,"Beham, Hans Sebald",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
1921469,Derschau 034,Drei Tondi,"Schön, Erhard",KKPlattenarchiv,Holzdruckstock,Midas-Objekt,
