ID,IdentNr,Titel,Beteiligte,Bereich,MatTech,Objekttyp,Datierung
2015699,KdZ 29497,Ohne Titel (R 40),"LeWitt, Sol",KKSlgMarzona,"zerrissenes weißes Papier, auf Karton collagiert, zerrissenes weißes Papier, auf Karton collagiert",Zeichnung,1972
1573501,Marzona 0090,Abstract Drawing,"Bladen, Ronald",KKSlgMarzona,,Midas-Objekt,1983
1573505,Marzona 0110,Raiko Construction,"Bladen, Ronald",KKSlgMarzona,,Midas-Objekt,1973
1573891,Marzona 0523,Ohne Titel,"Sharits, Paul",KKSlgMarzona,,Zeichnung,1969
2224278,KdZ 31130,Ohne Titel,"Morris, Robert",KKSlgMarzona,,Zeichnung,1966
1059903,KdZ 29467,Ohne Titel (7/5 index),"Darboven, Hanne",KKSlgMarzona,"Bleistift auf Papier (vélin), Bleistift auf Papier (vélin)",Zeichnung,1972/1973
1059736,KdZ 29468,Index: 1 x 100 Abläufe,"Darboven, Hanne",KKSlgMarzona,"Tinte (schwarz) & Kugelschreiber (rot) : Papier, mit Tinte und rotem Kugelschreiber auf Papier gezeichnet und geschrieben",Zeichnung,1972
1060178,KdZ 29471,Ohne Titel,"Darboven, Hanne",KKSlgMarzona,"Bleistift auf liniertem Papier (Olymp-Schulheft), Papier, Bleistiftzeichnung",Zeichnung,1972
1060713,KdZ 29472,ohne Titel,"Darboven, Hanne",KKSlgMarzona,"schwarzer und roter Filzstift auf grau kariertem Papier (vélin), schwarzer und roter Filzstift auf grau kariertem Papier (vélin)",Zeichnung,1972
1060814,KdZ 29473,Index,"Darboven, Hanne",KKSlgMarzona,"Tinte (schwarz) & Kugelschreiber (blau) : Papier, mit schwarzer Tinte und blauem Kugelschreiber auf kariertem Papier geschrieben",Zeichnung,1969
1059985,KdZ 29474,ohne Titel (Konstruktion),"Darboven, Hanne",KKSlgMarzona,"Bleistift und blauer Kugelschreiber auf blau liniertem Inchpapier, Bleistift und blauer Kugelschreiber auf blau liniertem Inchpapier",Zeichnung,1966
1061216,KdZ 31093,ohne Titel (I see Gravity),"Bochner, Mel",KKSlgMarzona,"Filzstift (schwarz) & Papier : Karton, ausgeschnittene bedruckte Papiere auf Karton mit Klebestreifen collagiert und mit schwarzem Filzstift beschrieben",Zeichnung,1970
1060239,KdZ 31094,ohne Titel (for Franco),"Bochner, Mel",KKSlgMarzona,"Filzstift (schwarz) & Filzstift (rot) & Tusche (rot) : Papier, mit rotem und scharzem Filzstift über einer mit rötlicher Tusche gezogenen Linie geschrieben",Zeichnung,1975
1059567,KdZ 31096,Theory of Boundaries,"Bochner, Mel",KKSlgMarzona,"Filzstift und ölhaltige Kreide auf kariertem Papier, Papier, Filzstift- und Kreidezeichnung",Zeichnung,1970
1061760,KdZ 31108,Shadow Projection,"Campus, Peter",KKSlgMarzona,"Filzstift (blau) : Papier, mit blauem Filzstift auf Papier gezeichnet",Zeichnung,1974
1061464,KdZ 31110,Gothic Shaped Drawing,"De Maria, Walter",KKSlgMarzona,"mit rotem Buntstift auf fünfeckig beschnittenen Blatt Papier gezeichnet und in einem entsprechend geformten Aluminiumrahmen montiert, Bunstift (rot) : Papier, mit rotem Buntstift auf fünfeckig beschnittenen Blatt Papier gezeichnet und in einem entsprechend geformten Aluminiumrahmen montiert.",Zeichnung,1965
1060716,"KdZ 31112 ,1-5",ohne Titel,"Floeter, Ken",KKSlgMarzona,"Bleistift : Papier, mit Bleistift auf Papier gezeichnet",Zeichnung,1975
1059591,KdZ 31113,ohne Titel,"Floeter, Ken",KKSlgMarzona,"Plaka-Farbe & Bleistift & Klebestriefen & Karton : Karton, mit Bleistift und weißer Plaka-Farbe auf Kartonausschnitten gezeichnet, die Ausschnitte auf einen Karton mit Klebestreifen collagiert",Zeichnung,1972
